Protein,Protein ID,Control,Treatment,LogFC
sp|A0A0B4J2A2|PAL4C_HUMAN,A0A0B4J2A2,4,2,-1
sp|A0A0B4J2D5|GAL3B_HUMAN,A0A0B4J2D5,4,5,0.32192809488736235
sp|A0AV96|RBM47_HUMAN,A0AV96,3,3,0
sp|A0MZ66|SHOT1_HUMAN,A0MZ66,9,0,-Inf
sp|A5A3E0|POTEF_HUMAN,A5A3E0,2,1,-1
sp|A5YKK6|CNOT1_HUMAN,A5YKK6,7,8,0.19264507794239583
sp|A6NDG6|PGP_HUMAN,A6NDG6,7,3,-1.222392421336448
sp|A8K0Z3|WASH1_HUMAN,A8K0Z3,5,2,-1.3219280948873622
sp|A8MWD9|RUXGL_HUMAN,A8MWD9,7,4,-0.8073549220576042
sp|A9UHW6|MI4GD_HUMAN,A9UHW6,3,0,-Inf
sp|B5ME19|EIFCL_HUMAN,B5ME19,17,15,-0.18057224564182092
sp|C9JLW8|MCRI1_HUMAN,C9JLW8,2,1,-1
sp|E9PAV3|NACAM_HUMAN,E9PAV3,9,5,-0.84799690655495
sp|L0R6Q1|S35U4_HUMAN,L0R6Q1,4,0,-Inf
sp|O00115|DNS2A_HUMAN,O00115,2,0,-Inf
sp|O00148|DX39A_HUMAN,O00148,1,16,4
sp|O00151|PDLI1_HUMAN,O00151,19,15,-0.34103691783506696
sp|O00154|BACH_HUMAN,O00154,6,4,-0.5849625007211563
sp|O00159|MYO1C_HUMAN,O00159,19,37,0.9615258521853643
sp|O00170|AIP_HUMAN,O00170,8,7,-0.19264507794239588
sp|O00193|SMAP_HUMAN,O00193,6,5,-0.2630344058337938
sp|O00194|RB27B_HUMAN,O00194,2,4,1
sp|O00203|AP3B1_HUMAN,O00203,5,5,0
sp|O00217|NDUS8_HUMAN,O00217,5,5,0
sp|O00231|PSD11_HUMAN,O00231,12,15,0.32192809488736235
sp|O00232|PSD12_HUMAN,O00232,15,14,-0.0995356735509144
sp|O00233|PSMD9_HUMAN,O00233,8,3,-1.415037499278844
sp|O00244|ATOX1_HUMAN,O00244,7,3,-1.222392421336448
sp|O00264|PGRC1_HUMAN,O00264,15,13,-0.20645087746742632
sp|O00273|DFFA_HUMAN,O00273,2,0,-Inf
sp|O00291|HIP1_HUMAN,O00291,5,6,0.2630344058337938
sp|O00299|CLIC1_HUMAN,O00299,20,15,-0.4150374992788438
sp|O00303|EIF3F_HUMAN,O00303,14,6,-1.222392421336448
sp|O00401|WASL_HUMAN,O00401,5,1,-2.321928094887362
sp|O00410|IPO5_HUMAN,O00410,19,11,-0.7884958948062882
sp|O00422|SAP18_HUMAN,O00422,3,3,0
sp|O00425|IF2B3_HUMAN,O00425,12,6,-1
sp|O00429|DNM1L_HUMAN,O00429,15,6,-1.3219280948873622
sp|O00461|GOLI4_HUMAN,O00461,6,7,0.22239242133644802
sp|O00468|AGRIN_HUMAN,O00468,7,5,-0.4854268271702417
sp|O00469|PLOD2_HUMAN,O00469,16,15,-0.09310940439148147
sp|O00483|NDUA4_HUMAN,O00483,4,5,0.32192809488736235
sp|O00487|PSDE_HUMAN,O00487,9,5,-0.84799690655495
sp|O00505|IMA4_HUMAN,O00505,3,0,-Inf
sp|O00541|PESC_HUMAN,O00541,2,5,1.3219280948873624
sp|O00560|SDCB1_HUMAN,O00560,8,6,-0.4150374992788438
sp|O00571|DDX3X_HUMAN,O00571,22,30,0.44745897697122117
sp|O00625|PIR_HUMAN,O00625,4,2,-1
sp|O00629|IMA3_HUMAN,O00629,10,2,-2.321928094887362
sp|O00743|PPP6_HUMAN,O00743,2,3,0.5849625007211562
sp|O00764|PDXK_HUMAN,O00764,6,4,-0.5849625007211563
sp|O00767|SCD_HUMAN,O00767,4,4,0
sp|O14497|ARI1A_HUMAN,O14497,3,0,-Inf
sp|O14521|DHSD_HUMAN,O14521,2,3,0.5849625007211562
sp|O14548|COX7R_HUMAN,O14548,4,4,0
sp|O14561|ACPM_HUMAN,O14561,2,2,0
sp|O14579|COPE_HUMAN,O14579,8,9,0.16992500144231237
