Protein,Protein ID,Control,Treatment,Difference
sp|Q09666|AHNK_HUMAN,Q09666,169,62,-107
sp|P00352|AL1A1_HUMAN,P00352,220,138,-82
sp|P60709|ACTB_HUMAN,P60709,369,287,-82
sp|P21333|FLNA_HUMAN,P21333,192,123,-69
sp|P06733|ENOA_HUMAN,P06733,134,76,-58
sp|Q9Y490|TLN1_HUMAN,Q9Y490,108,56,-52
sp|P11142|HSP7C_HUMAN,P11142,114,67,-47
sp|P58876|H2B1D_HUMAN,P58876,47,0,-47
sp|P04406|G3P_HUMAN,P04406,143,97,-46
sp|P11413|G6PD_HUMAN,P11413,139,95,-44
sp|P42330|AK1C3_HUMAN,P42330,126,82,-44
sp|Q8IVF2|AHNK2_HUMAN,Q8IVF2,55,14,-41
sp|O60218|AK1BA_HUMAN,O60218,155,116,-39
sp|P29401|TKT_HUMAN,P29401,118,79,-39
sp|P52272|HNRPM_HUMAN,P52272,72,33,-39
sp|P00558|PGK1_HUMAN,P00558,103,65,-38
sp|P07900|HS90A_HUMAN,P07900,108,70,-38
sp|Q06830|PRDX1_HUMAN,Q06830,93,55,-38
sp|P31948|STIP1_HUMAN,P31948,73,36,-37
sp|P09651|ROA1_HUMAN,P09651,65,29,-36
sp|P22626|ROA2_HUMAN,P22626,72,38,-34
sp|P18206|VINC_HUMAN,P18206,73,41,-32
sp|O75369|FLNB_HUMAN,O75369,129,98,-31
sp|P78371|TCPB_HUMAN,P78371,55,26,-29
sp|P14618|KPYM_HUMAN,P14618,143,115,-28
sp|P07355|ANXA2_HUMAN,P07355,182,155,-27
sp|P08238|HS90B_HUMAN,P08238,75,48,-27
sp|P13797|PLST_HUMAN,P13797,46,19,-27
sp|P52895|AK1C2_HUMAN,P52895,59,32,-27
sp|P37802|TAGL2_HUMAN,P37802,48,22,-26
sp|P06744|G6PI_HUMAN,P06744,73,48,-25
sp|P23246|SFPQ_HUMAN,P23246,43,18,-25
sp|P63104|1433Z_HUMAN,P63104,66,41,-25
sp|Q92598|HS105_HUMAN,Q92598,41,16,-25
sp|P67936|TPM4_HUMAN,P67936,49,25,-24
sp|P00338|LDHA_HUMAN,P00338,66,43,-23
sp|P04075|ALDOA_HUMAN,P04075,79,56,-23
sp|P42166|LAP2A_HUMAN,P42166,29,6,-23
sp|P60174|TPIS_HUMAN,P60174,66,43,-23
sp|P62937|PPIA_HUMAN,P62937,72,49,-23
sp|O43707|ACTN4_HUMAN,O43707,112,90,-22
sp|P07737|PROF1_HUMAN,P07737,63,41,-22
sp|P0DMV8|HS71A_HUMAN,P0DMV8,61,39,-22
sp|P15121|ALDR_HUMAN,P15121,55,33,-22
sp|P23528|COF1_HUMAN,P23528,44,22,-22
sp|P49327|FAS_HUMAN,P49327,117,95,-22
sp|Q92945|FUBP2_HUMAN,Q92945,42,20,-22
sp|O14979|HNRDL_HUMAN,O14979,30,9,-21
sp|P48643|TCPE_HUMAN,P48643,44,23,-21
sp|Q14980|NUMA1_HUMAN,Q14980,54,33,-21
sp|Q96AE4|FUBP1_HUMAN,Q96AE4,35,14,-21
sp|P05455|LA_HUMAN,P05455,32,12,-20
sp|P52209|6PGD_HUMAN,P52209,72,52,-20
sp|P09936|UCHL1_HUMAN,P09936,43,24,-19
sp|P22234|PUR6_HUMAN,P22234,29,10,-19
sp|P50395|GDIB_HUMAN,P50395,49,30,-19
