Protein,Protein ID,Control,Treatment,Difference
sp|Q15149|PLEC_HUMAN,Q15149,98,239,141
sp|P05787|K2C8_HUMAN,P05787,118,253,135
sp|P05783|K1C18_HUMAN,P05783,104,204,100
sp|P78527|PRKDC_HUMAN,P78527,41,119,78
sp|P57053|H2BFS_HUMAN,P57053,0,70,70
sp|P42704|LPPRC_HUMAN,P42704,35,85,50
sp|P62805|H4_HUMAN,P62805,51,97,46
sp|P35579|MYH9_HUMAN,P35579,151,194,43
sp|P08670|VIME_HUMAN,P08670,71,113,42
sp|P16403|H12_HUMAN,P16403,4,35,31
sp|P31327|CPSM_HUMAN,P31327,31,62,31
sp|Q9Y5B9|SP16H_HUMAN,Q9Y5B9,4,35,31
sp|Q01082|SPTB2_HUMAN,Q01082,42,72,30
sp|P40939|ECHA_HUMAN,P40939,18,46,28
sp|O75643|U520_HUMAN,O75643,5,32,27
sp|P0C0S8|H2A1_HUMAN,P0C0S8,34,61,27
sp|Q6P2Q9|PRP8_HUMAN,Q6P2Q9,3,30,27
sp|P02545|LMNA_HUMAN,P02545,69,94,25
sp|P16615|AT2A2_HUMAN,P16615,5,30,25
sp|Q08211|DHX9_HUMAN,Q08211,11,35,24
sp|Q9BQG0|MBB1A_HUMAN,Q9BQG0,3,27,24
sp|Q9NZM1|MYOF_HUMAN,Q9NZM1,26,50,24
sp|Q14204|DYHC1_HUMAN,Q14204,71,94,23
sp|O75367|H2AY_HUMAN,O75367,4,26,22
sp|P33527|MRP1_HUMAN,P33527,15,36,21
sp|Q02880|TOP2B_HUMAN,Q02880,4,24,20
sp|Q13813|SPTN1_HUMAN,Q13813,50,70,20
sp|P07099|HYEP_HUMAN,P07099,25,44,19
sp|P35580|MYH10_HUMAN,P35580,14,33,19
sp|O00159|MYO1C_HUMAN,O00159,19,37,18
sp|P00367|DHE3_HUMAN,P00367,18,36,18
sp|P10412|H14_HUMAN,P10412,16,34,18
sp|P11021|BIP_HUMAN,P11021,90,108,18
sp|P20700|LMNB1_HUMAN,P20700,18,35,17
sp|Q08945|SSRP1_HUMAN,Q08945,3,20,17
sp|Q92616|GCN1_HUMAN,Q92616,26,43,17
sp|Q9BSJ8|ESYT1_HUMAN,Q9BSJ8,5,22,17
sp|Q14690|RRP5_HUMAN,Q14690,0,17,17
sp|O76021|RL1D1_HUMAN,O76021,4,20,16
sp|P14625|ENPL_HUMAN,P14625,62,78,16
sp|Q5SSJ5|HP1B3_HUMAN,Q5SSJ5,2,18,16
sp|Q9NR30|DDX21_HUMAN,Q9NR30,7,23,16
sp|Q9Y6N5|SQOR_HUMAN,Q9Y6N5,12,28,16
sp|O00567|NOP56_HUMAN,O00567,0,16,16
sp|O00148|DX39A_HUMAN,O00148,1,16,15
sp|O43795|MYO1B_HUMAN,O43795,19,34,15
sp|P05141|ADT2_HUMAN,P05141,30,45,15
sp|P33993|MCM7_HUMAN,P33993,9,24,15
sp|P11387|TOP1_HUMAN,P11387,0,15,15
sp|P09874|PARP1_HUMAN,P09874,13,27,14
sp|P54886|P5CS_HUMAN,P54886,2,16,14
sp|Q00839|HNRPU_HUMAN,Q00839,38,52,14
sp|Q15393|SF3B3_HUMAN,Q15393,5,19,14
sp|Q9NSE4|SYIM_HUMAN,Q9NSE4,5,19,14
