file	sample	sample_name	condition	replicate
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\10_LucyC_MDAMB_A8_100ng.raw	10_LucyC_MDAMB_A8_100ng_1	10_LucyC_MDAMB_A8_100ng_1	10	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\11_LucyC_MDAMB_A9_100ng.raw	11_LucyC_MDAMB_A9_100ng_1	11_LucyC_MDAMB_A9_100ng_1	11	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\15_LucyC_MDAMB_A10_100ng.raw	15_LucyC_MDAMB_A10_100ng_1	15_LucyC_MDAMB_A10_100ng_1	15	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\16_LucyC_MDAMB_A11_100ng.raw	16_LucyC_MDAMB_A11_100ng_1	16_LucyC_MDAMB_A11_100ng_1	16	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\17_LucyC_MDAMB_A12_100ng.raw	17_LucyC_MDAMB_A12_100ng_1	17_LucyC_MDAMB_A12_100ng_1	17	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\18_LucyC_MDAMB_B1_100ng.raw	18_LucyC_MDAMB_B1_100ng_2	18_LucyC_MDAMB_B1_100ng_2	18	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\19ucyC_MDAMB_B2_100ng.raw	19ucyC_MDAMB_B2_100ng_2	19ucyC_MDAMB_B2_100ng_2	19ucyC	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\20_LucyC_MDAMB_B3_100ng.raw	20_LucyC_MDAMB_B3_100ng_2	20_LucyC_MDAMB_B3_100ng_2	20	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\21_LucyC_MDAMB_B4_100ng.raw	21_LucyC_MDAMB_B4_100ng_2	21_LucyC_MDAMB_B4_100ng_2	21	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\22_LucyC_MDAMB_B5_100ng.raw	22_LucyC_MDAMB_B5_100ng_2	22_LucyC_MDAMB_B5_100ng_2	22	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\23_LucyC_MDAMB_B6_100ng.raw	23_LucyC_MDAMB_B6_100ng_2	23_LucyC_MDAMB_B6_100ng_2	23	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\27_LucyC_MDAMB_B7_100ng.raw	27_LucyC_MDAMB_B7_100ng_2	27_LucyC_MDAMB_B7_100ng_2	27	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\28_LucyC_MDAMB_B8_100ng.raw	28_LucyC_MDAMB_B8_100ng_2	28_LucyC_MDAMB_B8_100ng_2	28	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\29_LucyC_MDAMB_B9_100ng.raw	29_LucyC_MDAMB_B9_100ng_2	29_LucyC_MDAMB_B9_100ng_2	29	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\30_LucyC_MDAMB_B10_100ng.raw	30_LucyC_MDAMB_B10_100ng_2	30_LucyC_MDAMB_B10_100ng_2	30	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\31_LucyC_MDAMB_B11_100ng.raw	31_LucyC_MDAMB_B11_100ng_2	31_LucyC_MDAMB_B11_100ng_2	31	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\32_LucyC_MDAMB_B12_100ng.raw	32_LucyC_MDAMB_B12_100ng_2	32_LucyC_MDAMB_B12_100ng_2	32	2
