"ProteinID","female_1_imputed_intensity","female_2_imputed_intensity","female_3_imputed_intensity","female_4_imputed_intensity","female_5_imputed_intensity","female_6_imputed_intensity","male_1_imputed_intensity","male_2_imputed_intensity","male_3_imputed_intensity","male_4_imputed_intensity","male_5_imputed_intensity","male_6_imputed_intensity"
"NUDT4B","13.2356044131029","13.5672431052794","13.1541725484371","13.3995983691201","13.150905509276","13.4939930089572","13.0571963972574","12.8895629020418","13.3217449286165","13.1037664414522","13.0758484669072","12.6774928265151"
"CYP2D6","15.4798749756681","14.7935677494564","13.9166912263804","14.4786369198033","14.2933782442432","14.5580858313914","14.4358785773099","14.4074603055021","14.2403665092003","14.105736671002","14.7643014477245","14.0398872036556"
"SMIM26","12.171802288683","12.0731976475995","11.8534031325876","11.9285479838826","11.8576389363593","12.1419091519314","12.4677201664283","12.3353875630987","12.4111958274713","12.2205959852968","12.6732008472876","12.148146059112"
"GATD3","15.9182366727649","16.0366501384577","16.004202906632","16.2820603850756","16.3257797629046","16.194449079479","16.3912670880849","16.1669103689614","16.2093772078418","16.2737937783642","16.0693238869617","16.364314228168"
"PIGBOS1","12.5306111676953","13.1083921383256","13.9344096105775","14.2627408589142","14.1223912385004","13.301024555533","14.6961470860977","14.169799762062","14.5339623545659","14.4477741798554","13.7442767454173","14.5830827675029"
"RBM47","10.1048865636371","10.0773273571542","9.39681239446074","8.71624672716882","8.84741131903589","8.14228578720953","9.88621936986216","9.67948009950545","9.93123391759678","9.62248017037641","8.52399705117379","9.66281966811304"
"TTC26","12.2183937110768","12.3529427601624","12.0863784235047","11.603260061641","11.9667361493083","12.2842197186097","12.1700032705345","11.9858134811992","11.4731324129975","11.9966358975354","12.266622588761","11.9199284709317"
"TMEM129","10.7794074760907","11.1007674495689","10.9174988878421","11.1829839748493","11.2635802442897","11.2512160969652","11.5094038930604","11.7785166080617","11.3554336911048","11.2729271571039","12.2637592108655","11.9013571805825"
"UBA6","15.6017678872323","15.9670528475682","16.0431063390655","16.1110194901255","16.002659014014","16.0781216132172","16.0625184114538","15.9680637444722","15.9797578736028","16.125181371004","15.8684753403928","15.9882098043381"
"ESYT2","15.3351705000278","15.5245600791634","15.3926763075673","15.1658609200269","15.2782025991821","15.4383370409243","15.3520330774293","15.6882858295965","15.4453382258355","15.3543974737683","15.5823831164988","15.5330437446715"
