Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-25-2024_Slot2-94_3888.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3955.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3959.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3968.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-29-2024_Slot2-94_3994.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-2-2024_Slot2-94_4032.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-3-2024_Slot2-94_4061.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	870.86	938.476		515.599	1129.31	808.349	1013.14
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	752.963	646.139		572.027	674.156	752.909	840.473
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	688.762	697.226	1683.33	937.284	602.339	1080.43	542.117
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	412.513	416.258		432.337	461.469	293.943	376.747
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	1127.76		1264.11		957.373	934.474	353.648
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	347.648	460.243		210.106		217.45	308.37
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	460.055	734.17		523.072		1143.53	440.037
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	229.183					357.732	
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5					1238.73		
A5A3E0	Q6S8J3;A5A3E0;Q6S5H5;Q6S545;P0CG38;A0JP26;B2RU33;P0CG39;A6NI47;Q6S8J7;H3BUK9;A0A0A6YYL3	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	894.432	1016.76		1242.44	1543.95	1406.6	
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	403.304	562.946		679.468	673.023	407.565	800.412
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	909.027	1187.46	1992.21	1418.74	1254.69	2208.22	1819.86
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1344.05	1352.02	1953.17	1527.13	1269.61	1213.25	1589.12
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	182.406				215.605		150.018
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	2951.1	3502.22	2699.11	3635.45	3334.45	3982.41	3847.01
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	244.428	499.976		425.287	393.318	1443.67	
A6NHS7	A6NHS7	MANS4_HUMAN	MANSC4	MANSC domain-containing protein 4				608.003	693.095	735.512	
A6NI72;A8MVU1;P14598	A8MVU1;P14598;A6NI72	NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN	NCF1;NCF1B;NCF1C	Putative neutrophil cytosol factor 1B		3769.78		1084.69	3570.86		3851.06
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase				322.259	212.958		
A6ZKI3;Q17RB0;Q9BWD3	Q9BWD3;Q17RB0;A6ZKI3	RTL8A_HUMAN;RTL8B_HUMAN;RTL8C_HUMAN	RTL8A;RTL8B;RTL8C	Retrotransposon Gag-like protein 8C		533.978		638.052	260.879	416.14	
A7E2Y1	A7E2Y1	MYH7B_HUMAN	MYH7B	Myosin-7B							418.914
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	3927.21	4465.93	4698.29	4104.89	3739.08	3273.92	3596.34
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	2171.8	2176.24	1944.56	2322.53	2534.34	2244.81	2579.59
C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	253.059	413.646		345.218	354.129	898.617	372.348
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		30378.3	30552.9	25173.3	26463.2	31787.1	33324.8	32134.3
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		824.108	978.767	1212.18	819.425	948.739	1129.81	821.871
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		739.882	433.797	507.439	646.13	675.725	565.906	626.44
CONT|P15497|APOA1_BOVIN	CONT|P15497|APOA1_BOVIN	Apolipoprotein	Apolipoprotein						171.84		
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase			427.021		512.182			304.578
CONT|P81644|APOA2_BOVIN	CONT|P81644|APOA2_BOVIN	Apolipoprotein	Apolipoprotein			263.449					
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin		875.03	495.212		569.61	554.029	757.048	634.014
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein					914.813	1333.77	1014.36	
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	2983.79	3273.02	2655.55	2779.21	3382.14	3277.57	3399.47
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	753.692	587.759	1129.17	789.74	695.137	660.898	458.187
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	748.041	710.61			999.087	1172.16	1170.04
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein		515.733		671.003	541.529	367.869	431.13
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	769.656	960.097	474.294	750.425	780.807	927.99	1940.96
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	764.305	798.509	2090.61	1247.2	872.937	1089.51	853.278
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	570.434	777.268		581.961	591.836	454.316	1271.96
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6131.16	5632.67	5451	5522.81	5360.78	5769.22	6051.69
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1116.56	1128.79	1232.4	1156.19	1293.22	1181.5	1189.41
