Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-270_5735.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-271_5736.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-272_5737.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-235_5745.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-236_5746.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-237_5747.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-238_5748.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-239_5749.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-273_5738.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-274_5739.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-275_5740.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-276_5741.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-277_5742.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-278_5743.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-279_5744.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial			2129.45	647.977	2962.7	695.563						1263.03	1573.87		
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1176.61	1322.58	1530.88	744.344		1362.05			1462.29			1402.69	1404.35		
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	725.637	1104.61	992.157			1450.75			1394.17			1145.12	1528.2		
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	626.015	653.541			415.021	1018.25						355.628	358.561		
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1119.58		1146.34	791.972					756.489				595.763		
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	2719.58	1898.1	2615.87			1582.74			1744.89			1522.72	2508.8		
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1371.85	894.791	1366.7			1434.39			1292.13			827.025	1129.91		
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1		907.228		1188.81	868.284	643.141	2083.8		614.271	1016.24	757.732	349.642		1493.25	1173
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	3365.86	4546.73	4412.1	2310.26		3669.49			3262.15			5615.95	3355.49	2293.57	
CONT|A2I7N1|SPA35_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN;CONT|A2I7N1|SPA35_BOVIN;CONT|A2I7N3|SPA37_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	Serpin	Serpin		683.814	2058.37	1415.75	2127.07	1508.83	1664.24	3998.14		1249.01	3716.33	1780.44	1364.59		4789.36	2543.48
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		2.90712e+06	2.68872e+06	2.563e+06	3.9599e+06	2.07054e+06	2.16818e+06	5.53454e+06		2.74641e+06	6.58657e+06	3.66051e+06	1.90276e+06	1.70843e+06	7.41225e+06	5.64577e+06
CONT|P02070|HBB_BOVIN	CONT|P02070|HBB_BOVIN;CONT|P02081|HBBF_BOVIN	Hemoglobin	Hemoglobin		715.305		819.233		1354.11	1476.87	1299.4		1168.64	910.049	1082.13		948.615	1569.94	
CONT|P02662|CASA1_BOVIN	CONT|P02662|CASA1_BOVIN	Alpha-S1-casein	Alpha-S1-casein		1253.24	567.791	799.563	857.667		705.382	1018.08						361.861		
CONT|P02663|CASA2_BOVIN	CONT|P02663|CASA2_BOVIN	Alpha-S2-casein	Alpha-S2-casein			1027.86	957.439	2247.82		1016.65	2118.75		877.052	2142.91	594.287		651.612	1436.74	
CONT|P02666|CASB_BOVIN	CONT|P02666|CASB_BOVIN	Beta-casein	Beta-casein		2489.19	2782.33	3102.23		2247.64				4325.2	7723	4349.48	1642.43	2492.87	6652.06	6106.2
CONT|P02668|CASK_BOVIN	CONT|P02668|CASK_BOVIN	Kappa-casein	Kappa-casein			903.063	704.607	2061.87	364.729	812.568	2850.07			788.46	987.032			2684.15	
CONT|P02672|FIBA_BOVIN	CONT|P02672|FIBA_BOVIN	Fibrinogen	Fibrinogen		690.868	1036.67	750.082	1230.89		898.768	926.861		353.277	963.004	1264.5	586.345		2486.06	1195.43
CONT|P02754|LACB_BOVIN	CONT|P02754|LACB_BOVIN	Beta-lactoglobulin	Beta-lactoglobulin		732.131	773.33		1442.56	883.303	527.126	674.534		793.168	2198.17	1600.92	237.147		708	1308.54
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		3091.66	3137.84	3215.04	4039.93	2599.42	2882.72	7429.74		4013.13	8122.35	4495.45	2493.26	2487.33	10172.4	8478.46
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		1596.12	2292.05	2211.46	4695.55	1441.75	2596.29	3254.83		2411.41	5566.33	2916.94	1095.75	1855.04	5962.54	4193.07
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		1788.27	1609.35	981.468	2004.31	985.073	1060.72	1932.14		1143.9		1058.61	691.85	1046.12	1790.89	4887.07
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin		746.548			356.412							654.027		239.549		
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein		5013.21	5907.31	4878.54	6077.44	2911.49	5259.31	14715.1		5063.11	10036.7	7027.28	3346.11	3500.59	11874.8	8231.06
E7EW31	E7EW31	PROB1_HUMAN	PROB1	Proline-rich basic protein 1	1726.49	2730.91			3268.34	3909.99	5678.75				2274.39	1579.29	2663.93	5812.82	
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	4694.61	5087.69	3617.83	460.969		4272.84			4320.03			4446.29	4681.66	623.723	
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	723.966	1111.38	1250.47	2200.97	1570.96	1035.85					2422.73	1289.09	1212.83		
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	1525.83	697.128	1739.07	755.429		1659.04	1426.06		1529.57			1225.6	1707.48		
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	12191.2	11578.2	13499.5	2095.98	927.921	12904.7	1954.35		15660.9	3360.33	1019.9	11458.2	11349.7	1213.82	
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	4624.53	9303.48	6718.38		462.334	6345.55			6952.78		883.697	4565.88	4102.18	915.501	
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	743.587		898.654			831.592			518.831			462.618	1371.09		
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1404.79	1261.94	1579.62	2111.13	1612.47	1156.75			994.882		1501.74	1370.69	1291.7		
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	329.636		911.021			237.457			489.871				221.873		
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1			850.657	445.18	1085.38						1071.04		2382.86		
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1822.69	1427.17	1528.77	1787.21		2376.72			1987.15			1083.74	2855.65		
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1			1599.63	1690.19	1730.58	851.484			1338.39		1250.42	1563.17	722.495		
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4725.61	3862.02	3005.76	1776.33		3664.02			3397.07			3987.05	3873.05	2040.8	
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	4078.97	4171.91	4283.78	2760.73	760.633	3562.5			4915.92			5021.29	3867.23	1075.58	
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	1540.65	1612.9	2153.34			1535.53			1638.53			1471.37	807.285		
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	2473.16	4214.96	3802.7	8235.49	3735.98	3544.87			2060.29		3093.22	1474.24	2178.45		
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1641.53	2168.03	1538.39	1255.65		2417.46			2348.16			1885.54	1570.51		
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1755.53	1612.52	920.839			1663.96			1903.51			842.714	1216.79		
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	18149.6	13391	17913.5	2363.93	1338.27	10606.3	2738.38		16727.5	6875.41	1841.87	23807.8	15454.8	5135.74	2944.37
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	2723.55	2786.38	3027.55	1150.66		3100.59			2830.67			3561	2842.13		
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	794.636	948.488	780.633	1938.51	1314.05	869.951			1249.78		1187.25	870.576	677.96		
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	1724.76	1895.3	996.165			1502.19						1258.21	1485.35		
O00422	O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	1967.68	845.889	2214.05		3765.15	2524.28			3439.37		1758.92	2228.12	1922.08		
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	2900.91	3114.94	4041.14	1673.51		3648.05			2319.46			2821.6	3458.14	2141.64	
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	2307.77	1699.48	1545.84			1917.06			2135.5			2533.99	1618.26		
O00458	O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	840.616	990.773										486.572	823.873		
