Category,Term,ID,adj_pval,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,Genes
GO:MF,protein binding,GO:0005515,2.12E-15,14.67343899,14838,465,416,20212,"DPPA4,APH1A,IL18,PKP2,SYTL1,PEG10,SLIT2,ANXA3,ALK,BICD1,VAT1L,BAG2,NRP2,FADS2,RAP2A,ABCA1,TCAF2,LSS,TRIM9,KIFC1,PDE1C,FAT1,NQO1,PTPRE,KIF1A,CBS,TOP2A,CPNE4,PLCB4,LTBP1,GPC4,RAB8B,GATM,TPM1,MYO6,IF2B1,MATN2,LMOD1,CEMIP,SDK1,APBA1,ANLN,BPHL,FANCI,DECR2,AMOT,ZEB2,JAG1,AURKB,ACADM,UPP1,VLDLR,MCM7,PPIL3,UTRN,DSG2,TGFB2,ENC1,SNTB1,LIMD2,LZTS1,MSMO1,UHRF1,CETN3,MCM3,SOX2,ARL15,CDC20,ANK2,6PGD,PIR,NUF2,CALD1,ETS1,MOV10,RNF5,MAP1B,TGFB1,FLRT3,AASS,LAMB1,CGNL1,MCM4,PDP1,IGF1R,TLCD4,CD2AP,EFNB2,TRIM4,DYR,GRIA1,RAB32,FEZ2,PRDX3,HDHD3,MOXD1,KIF11,SPC24,FLNB,HABP4,NEDD1,NEDD4,SNX18,BCL10,MTCL1,KIF4A,WWP2,DHRS4,JPH1,PLS3,PDPR,CDK1,TDRKH,TPST2,MTX2,RTN4,CRIM1,ADA,MCM5,SMC4,HTRA2,OPA1,BMP1,SPC25,GALT,TLE4,TUFT1,DMAC2,BCR,CORO7,CDK6,NEBL,SURF1,MCM2,RCN2,NRG1,BICD2,KIF2C,MALT1,UAP1,MCM6,STK26,CRYM,CEP97,STX2,HINT1,DLK1,HAUS8,TSTD1,SYT1,ULBP3,CCNB1,EGLN3,PODXL,LDLR,TPX2,CADM4,SHB,DUT,MACF1,RAB2B,HELLS,CRACD,VDAC1,TRPT1,CDCP1,STX3,MPC2,TMOD2,G6PD,TMUB1,TCAF1,CPT2,PDGFD,COX20,RAB7A,MKRN2,FGD6,COA3,PBX3,MTX1,UBE2C,FRAS1,CSRP2,PECR,RAB31,STX12,GSDMD,ZWINT,PACC1,STMN1,MMP15,VDAC2,MCM9,SACS,WDHD1,STIM1,AP1S2,OXA1L,AGGF1,PDE4B,MYO19,RAB3B,CDS2,ACSF3,SPAG1,TMX3,SYT17,RAB9A,SMTN,ASCC2,SRPX2,EPHX4,SAR1B,PPME1,CDK2,PALLD,RAB3D,HOOK3,STX17,IDH3A,SKA3,ENAH,INF2,FZD5,SPAG5,HACD3,MRTFB,UBE2S,EFR3B,WDFY2,SETD9,NACAD,NPC2,FZD1,EXTL2,SDC1,MGST1,WDFY3,IDH3B,TPM2,SALL1,COQ9,TES,ARAP3,UHRF2,MSRA,TMCC1,MAP2,PCM1,CBL,TTC28,UQCC2,FABP5,GSTM3,TFB1M,CEP55,HAUS1,P4HA3,MED15,CIP2A,ERP44,RTN3,ACAD9,PYGL,DAPK3,AURKA,LOXL3,FOXO1,SPG21,SCYL2,UBE2T,TRNT1,SYVN1,RBM45,SUMF2,PDK3,UNG,TRIM2,PLD3,ZHX2,ECSIT,GPN1,STK25,RAB43,HACD2,PAWR,GRB14,MROH1,NDRG1,PHB2,SYNM,TRIM5,SYNPO,EXOC4,APBA2,ABCB7,CLCC1,PTCD3,AFG1L,TTF2,CISD1,HMOX2,RPAP1,ACLY,BAZ1A,KIF22,GDAP1,GPC6,ACOX1,ASAH1,CAP2,NOMO3,LRBA,MGME1,SMC2,EED,MYH1,SURF4,MAIP1,ABL2,RAB3A,EBP,USP9X,SPRY4,CSRP1,POMP,THEM4,ETFA,PPIC,STBD1,AVEN,DCAF5,MLF2,DNMBP,RIC1,ATR,STX7,GOPC,UBE2H,RAB2A,CHP1,DHCR7,GRHPR,GPX7,COX15,NPC1,COA6,HINT2,MYLK,RTL8C,PENK,KNTC1,CHMP3,ITSN1,TLN2,GHITM,SRP19,ULK1,NID1,COA1,TSR1,LETM1,HERC2,CENPF,FAF2,CROCC,HACD1,AKTIP,VAPB,NRCAM,SDC2,REC8,TRIO,STAU2,CKS2,ATP7B,AKT3,AP2M1,LSAMP,RIF1,PUF60,IDH3G,LPP,WWOX,RAB24,PPIF,BACE1,APOB,TSPO,WWTR1,LIMA1,ISG15,VTI1A,PLCB3,RAB18,ADAM9,MAP7,ERO1A,NOA1,SKA2,FSTL1,WFS1,AP2S1,NOVA1,CYRIB,CALU,BSCL2,PDK1,RNF11,PRPS1,CBR4,UBL5,TPGS2,ACSL3,PTEN"
GO:MF,catalytic activity,GO:0003824,3.35E-15,14.47538112,5758,465,219,20212,"ALK,VAT1L,MGMT,NRP2,FADS2,RAP2A,ABCA1,LSS,TRIM9,KIFC1,PDE1C,GUF1,NQO1,PTPRE,KIF1A,CBS,TOP2A,PLCB4,LTBP1,RAB8B,GATM,CEMIP,BPHL,DECR2,MTHFS,AURKB,ACADM,UPP1,MCM7,PPIL3,HIBCH,NRK,MSMO1,UHRF1,MCM3,ARL15,6PGD,PIR,MOV10,RNF5,AASS,MCM4,DDX3Y,PDP1,IGF1R,TRIM4,DYR,ACAD8,RAB32,ACOT9,PRDX3,MOXD1,NEDD4,WWP2,DHRS4,PDPR,NUDT8,CDK1,TPST2,FADS1,CRIM1,ADA,MCM5,SMC4,HTRA2,OPA1,BMP1,GALT,BCR,CDK6,SURF1,MCM2,ACADS,HKDC1,KIF2C,MALT1,ERAP2,UAP1,MCM6,NEK4,STK26,LDAH,CRYM,HINT1,TSTD1,EGLN3,DUT,RAB2B,HELLS,TRPT1,MANBA,ALPK2,G6PD,ATAD1,CPT2,CHAC2,RAB7A,MKRN2,P4HTM,UBE2C,STK33,PECR,RAB31,MMP15,MCM9,PDE4B,MYO19,RAB3B,CDS2,ACSF3,SPAG1,TMX3,RAB9A,EPHX4,SAR1B,LPIN3,PPME1,CDK2,RAB3D,IDH3A,HACD3,UBE2S,SETD9,EXTL2,MGST1,IDH3B,MANEA,UHRF2,MSRA,CBL,GSTM3,CERS5,TFB1M,ADCK1,P4HA3,ERP44,ACAD9,PYGL,BCAT2,DAPK3,AURKA,LOXL3,SCYL2,UBE2T,TRNT1,SYVN1,PDK3,GPAT3,UNG,TRIM2,MECR,PLD3,GPN1,STK25,RAB43,HACD2,TRIM5,SC5D,PGP,ABCB7,AFG1L,TTF2,CISD1,HMOX2,RPAP1,ACLY,KIF22,ADK,ACOX1,ASAH1,ECI1,MGME1,SMC2,EED,ABL2,RAB3A,EBP,USP9X,THEM4,ETFA,PPIC,ATR,UBE2H,RAB2A,ACYP1,DHCR7,GRHPR,GPX7,COX15,HINT2,MYLK,PANK4,ULK1,TSR1,HERC2,HACD1,AKTIP,TRIO,FAHD1,ATP7B,AKT3,RSBN1,IDH3G,WWOX,RAB24,PPIF,BACE1,PLCB3,SCRN3,RAB18,ADAM9,ERO1A,PIGO,PDK1,RNF11,PRPS1,CBR4,ACSL3,PTEN"
GO:MF,heterocyclic compound binding,GO:1901363,1.79E-14,13.74716303,2325,465,118,20212,"ALK,BAG2,RAP2A,ABCA1,KIFC1,GUF1,KIF1A,CBS,TOP2A,RAB8B,MYO6,MTHFS,AURKB,ACADM,MCM7,NRK,UHRF1,MCM3,ARL15,MOV10,MCM4,DDX3Y,IGF1R,DYR,ACAD8,RAB32,KIF11,KIF4A,CDK1,MCM5,SMC4,OPA1,BCR,CDK6,MCM2,ACADS,HKDC1,KIF2C,MCM6,NEK4,STK26,CRYM,HINT1,EGLN3,DUT,RAB2B,HELLS,ALPK2,G6PD,ATAD1,RAB7A,P4HTM,UBE2C,STK33,RAB31,VDAC2,MCM9,PDE4B,MYO19,RAB3B,ACSF3,SPAG1,RAB9A,SAR1B,CDK2,RAB3D,IDH3A,UBE2S,IDH3B,HTR5A,ADCK1,P4HA3,ACAD9,PYGL,DAPK3,AURKA,SCYL2,UBE2T,TRNT1,PDK3,GPN1,STK25,RAB43,ABCB7,AFG1L,TTF2,CISD1,ACLY,KIF22,ADK,ACOX1,SMC2,MYH1,ABL2,RAB3A,ETFA,ATR,UBE2H,RAB2A,DHCR7,GRHPR,HINT2,MYLK,PANK4,ULK1,TSR1,TRIO,ATP7B,AKT3,IDH3G,RAB24,RAB18,ERO1A,NOA1,PDK1,PRPS1,CBR4,ACSL3"
GO:MF,cytoskeletal protein binding,GO:0008092,3.67E-14,13.43513924,1002,465,70,20212,"BICD1,BAG2,KIFC1,KIF1A,TPM1,MYO6,LMOD1,ANLN,UTRN,ENC1,SNTB1,LIMD2,CETN3,ANK2,NUF2,CALD1,MAP1B,GRIA1,KIF11,SPC24,FLNB,NEDD1,MTCL1,KIF4A,PLS3,OPA1,CORO7,NEBL,BICD2,KIF2C,HAUS8,MACF1,TMOD2,CSRP2,STMN1,STIM1,PDE4B,MYO19,RAB3B,SMTN,PALLD,RAB3D,HOOK3,SKA3,ENAH,INF2,SPAG5,MRTFB,TPM2,MAP2,PAWR,NDRG1,SYNM,SYNPO,KIF22,CAP2,MYH1,ABL2,RAB3A,CSRP1,CHP1,MYLK,TLN2,CENPF,CROCC,VAPB,NRCAM,STAU2,LIMA1,SKA2"
GO:MF,nucleotide binding,GO:0000166,7.84E-14,13.10546743,2187,465,112,20212,"ALK,BAG2,RAP2A,ABCA1,KIFC1,GUF1,KIF1A,TOP2A,RAB8B,MYO6,MTHFS,AURKB,ACADM,MCM7,NRK,UHRF1,MCM3,ARL15,MOV10,MCM4,DDX3Y,IGF1R,DYR,ACAD8,RAB32,KIF11,KIF4A,CDK1,MCM5,SMC4,OPA1,BCR,CDK6,MCM2,ACADS,HKDC1,KIF2C,MCM6,NEK4,STK26,CRYM,HINT1,DUT,RAB2B,HELLS,ALPK2,G6PD,ATAD1,RAB7A,UBE2C,STK33,RAB31,VDAC2,MCM9,PDE4B,MYO19,RAB3B,ACSF3,SPAG1,RAB9A,SAR1B,CDK2,RAB3D,IDH3A,UBE2S,IDH3B,ADCK1,ACAD9,PYGL,DAPK3,AURKA,SCYL2,UBE2T,TRNT1,PDK3,GPN1,STK25,RAB43,ABCB7,AFG1L,TTF2,ACLY,KIF22,ADK,ACOX1,SMC2,MYH1,ABL2,RAB3A,ETFA,ATR,UBE2H,RAB2A,DHCR7,GRHPR,HINT2,MYLK,PANK4,ULK1,TSR1,TRIO,ATP7B,AKT3,IDH3G,RAB24,RAB18,ERO1A,NOA1,PDK1,PRPS1,CBR4,ACSL3"
GO:MF,nucleoside phosphate binding,GO:1901265,8.11E-14,13.09110436,2188,465,112,20212,"ALK,BAG2,RAP2A,ABCA1,KIFC1,GUF1,KIF1A,TOP2A,RAB8B,MYO6,MTHFS,AURKB,ACADM,MCM7,NRK,UHRF1,MCM3,ARL15,MOV10,MCM4,DDX3Y,IGF1R,DYR,ACAD8,RAB32,KIF11,KIF4A,CDK1,MCM5,SMC4,OPA1,BCR,CDK6,MCM2,ACADS,HKDC1,KIF2C,MCM6,NEK4,STK26,CRYM,HINT1,DUT,RAB2B,HELLS,ALPK2,G6PD,ATAD1,RAB7A,UBE2C,STK33,RAB31,VDAC2,MCM9,PDE4B,MYO19,RAB3B,ACSF3,SPAG1,RAB9A,SAR1B,CDK2,RAB3D,IDH3A,UBE2S,IDH3B,ADCK1,ACAD9,PYGL,DAPK3,AURKA,SCYL2,UBE2T,TRNT1,PDK3,GPN1,STK25,RAB43,ABCB7,AFG1L,TTF2,ACLY,KIF22,ADK,ACOX1,SMC2,MYH1,ABL2,RAB3A,ETFA,ATR,UBE2H,RAB2A,DHCR7,GRHPR,HINT2,MYLK,PANK4,ULK1,TSR1,TRIO,ATP7B,AKT3,IDH3G,RAB24,RAB18,ERO1A,NOA1,PDK1,PRPS1,CBR4,ACSL3"
GO:MF,anion binding,GO:0043168,3.74E-11,10.42664246,2452,465,114,20212,"ALK,RAP2A,ABCA1,KIFC1,GUF1,KIF1A,CBS,TOP2A,RAB8B,MYO6,MTHFS,AURKB,ACADM,MCM7,NRK,MCM3,ARL15,MOV10,MCM4,DDX3Y,IGF1R,DYR,ACAD8,RAB32,KIF11,SNX18,KIF4A,CDK1,MCM5,SMC4,OPA1,BCR,CDK6,MCM2,ACADS,HKDC1,KIF2C,MCM6,NEK4,STK26,SYT1,EGLN3,RAB2B,HELLS,STX3,ALPK2,ATAD1,RAB7A,P4HTM,UBE2C,STK33,RAB31,GSDMD,MCM9,PDE4B,MYO19,RAB3B,ACSF3,SPAG1,RAB9A,SAR1B,CDK2,RAB3D,UBE2S,ARAP3,FABP5,GSTM3,ADCK1,P4HA3,ACAD9,PYGL,DAPK3,AURKA,SCYL2,UBE2T,TRNT1,PDK3,GPN1,STK25,RAB43,ABCB7,AFG1L,TTF2,CISD1,ACLY,KIF22,ADK,ACOX1,SMC2,MYH1,ABL2,RAB3A,ETFA,ATR,UBE2H,RAB2A,GRHPR,MYLK,CHMP3,PANK4,ULK1,TSR1,TRIO,ATP7B,AKT3,IDH3G,RAB24,RAB18,ERO1A,NOA1,PDK1,PRPS1,CBR4,ACSL3"
GO:MF,purine nucleotide binding,GO:0017076,4.66E-11,10.33121103,2021,465,100,20212,"ALK,BAG2,RAP2A,ABCA1,KIFC1,GUF1,KIF1A,TOP2A,RAB8B,MYO6,MTHFS,AURKB,MCM7,NRK,MCM3,ARL15,MOV10,MCM4,DDX3Y,IGF1R,DYR,RAB32,KIF11,KIF4A,CDK1,MCM5,SMC4,OPA1,BCR,CDK6,MCM2,HKDC1,KIF2C,MCM6,NEK4,STK26,CRYM,RAB2B,HELLS,ALPK2,G6PD,ATAD1,RAB7A,UBE2C,STK33,RAB31,MCM9,PDE4B,MYO19,RAB3B,ACSF3,SPAG1,RAB9A,SAR1B,CDK2,RAB3D,IDH3A,UBE2S,IDH3B,ADCK1,PYGL,DAPK3,AURKA,SCYL2,UBE2T,TRNT1,PDK3,GPN1,STK25,RAB43,ABCB7,AFG1L,TTF2,ACLY,KIF22,ADK,SMC2,MYH1,ABL2,RAB3A,ATR,UBE2H,RAB2A,DHCR7,GRHPR,MYLK,PANK4,ULK1,TSR1,TRIO,ATP7B,AKT3,IDH3G,RAB24,RAB18,NOA1,PDK1,PRPS1,CBR4,ACSL3"
GO:MF,purine ribonucleoside triphosphate binding,GO:0035639,3.10E-09,8.509146993,1853,465,90,20212,"ALK,RAP2A,ABCA1,KIFC1,GUF1,KIF1A,TOP2A,RAB8B,MYO6,MTHFS,AURKB,MCM7,NRK,MCM3,ARL15,MOV10,MCM4,DDX3Y,IGF1R,RAB32,KIF11,KIF4A,CDK1,MCM5,SMC4,OPA1,BCR,CDK6,MCM2,HKDC1,KIF2C,MCM6,NEK4,STK26,RAB2B,HELLS,ALPK2,ATAD1,RAB7A,UBE2C,STK33,RAB31,MCM9,MYO19,RAB3B,ACSF3,SPAG1,RAB9A,SAR1B,CDK2,RAB3D,UBE2S,ADCK1,PYGL,DAPK3,AURKA,SCYL2,UBE2T,TRNT1,PDK3,GPN1,STK25,RAB43,ABCB7,AFG1L,TTF2,ACLY,KIF22,ADK,SMC2,MYH1,ABL2,RAB3A,ATR,UBE2H,RAB2A,MYLK,PANK4,ULK1,TSR1,TRIO,ATP7B,AKT3,IDH3G,RAB24,RAB18,NOA1,PDK1,PRPS1,ACSL3"
GO:MF,purine ribonucleotide binding,GO:0032555,8.53E-09,8.068878322,1919,465,91,20212,"ALK,RAP2A,ABCA1,KIFC1,GUF1,KIF1A,TOP2A,RAB8B,MYO6,MTHFS,AURKB,MCM7,NRK,MCM3,ARL15,MOV10,MCM4,DDX3Y,IGF1R,RAB32,KIF11,KIF4A,CDK1,MCM5,SMC4,OPA1,BCR,CDK6,MCM2,HKDC1,KIF2C,MCM6,NEK4,STK26,RAB2B,HELLS,ALPK2,ATAD1,RAB7A,UBE2C,STK33,RAB31,MCM9,PDE4B,MYO19,RAB3B,ACSF3,SPAG1,RAB9A,SAR1B,CDK2,RAB3D,UBE2S,ADCK1,PYGL,DAPK3,AURKA,SCYL2,UBE2T,TRNT1,PDK3,GPN1,STK25,RAB43,ABCB7,AFG1L,TTF2,ACLY,KIF22,ADK,SMC2,MYH1,ABL2,RAB3A,ATR,UBE2H,RAB2A,MYLK,PANK4,ULK1,TSR1,TRIO,ATP7B,AKT3,IDH3G,RAB24,RAB18,NOA1,PDK1,PRPS1,ACSL3"
