Category,Term,ID,adj_pval,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,Genes
GO:MF,protein binding,GO:0005515,2.66E-16,15.57494895,14838,418,379,20212,"IL33,SNED1,LPXN,CALB1,POSTN,RTN1,EFHD2,SVIL,MMAB,NQO2,LAMB2,GFAP,HHIP,LTBP2,MGP,KANK2,PLD2,NFIX,PML,RUNX1,STX1B,GPR39,CD109,CYGB,GMDS,HSPB6,TNIK,FHL1,EGFR,LTBP3,LRRN1,CAPG,ASTN2,SYNE3,PSRC1,PTPRJ,MET,NEIL2,MAST4,HVCN1,FHOD1,CPNE1,DCLK1,HMGA1,CD9,VWA1,ACOX2,CPNE8,TIAM1,NCAM1,DMD,CSPG4,RIN1,TMTC1,PTX3,EHD3,TRIP6,ANXA6,NFIB,ENPP4,GBP1,MVP,GPM6A,SFRP2,RDH10,RLBP1,JUNB,PXDN,FMNL3,CD34,CCNY,ASAP2,NAMPT,PTPRA,ARX,LAMA4,GBP2,MPI,LPIN1,GSTO1,CSPG2,TIMP3,UBTD1,ZMAT3,PAK3,IRS1,ASPH,NFKB2,MMP14,IRS2,CLGN,IFIT5,MAPK3,EHD1,PREX1,NUBPL,ANXA5,AMPD2,WDR81,DPF3,CLIP2,SDC4,HIC1,SUN2,PAX8,NHSL2,SETX,PDZD8,MYO1B,ABHD6,DOCK4,ITPR1,HEBP2,PSD3,DPH2,PTPRU,ETHE1,AMPH,MTRR,OGFR,ELP1,EHD2,ARRB1,MYO1C,NT5C,LOXL1,DACH1,SIPA1,EPS8,ISLR2,RHPN2,GMPPA,NFASC,KMT5B,SNTB2,SASH1,UGDH,DCPS,GFPT2,FABP7,GRIN1,PBLD,PRR14,STOM,FAT4,NAA50,BICC1,CHMP6,PAXX,MDGA1,GYS1,SMAP1,TMCC3,SOCS6,RHOJ,EPHB4,LARP7,ROBO1,PDRG1,THOP1,NID2,BAG5,TRPM4,KANK1,RTTN,PPIH,MYO1E,SYNJ2,FGFR1,GAS6,SESN3,BBS2,LAMA5,TRPV2,KDM5C,RELB,RRP1B,SMAD5,EPHB2,PARP4,DHX29,JAK1,BMI1,MOCS3,ERF,FRMD5,BOP1,SNF8,BIN1,IFT88,ZEB1,FSD1,IPO4,LRP1,CBR3,PLS1,MYADM,PLPP2,EVA1B,ACSS3,ANO6,HDAC7,PHIP,EIF3J,ATG7,PLOD3,TLR3,NOP2,WDR59,MED17,DDX56,NOM1,EMD,PARD3,DHRS1,DDX17,CUL4B,APEX1,BBS4,ATE1,UNKL,NINL,MTAP,RDH5,PTPRS,FKBP5,JAK2,SDSL,ICAM1,RGL2,GGCT,WDR91,RGS10,GPSM1,RWDD1,CAV2,TGM2,CHD1L,OTUB1,CD276,KLHL4,ALDOC,NPRL2,CD44,PLPP6,EOGT,MEGF8,PLEC,BOC,XPC,CDON,SRSF6,TACC2,GPC1,STK38,NFIC,TXLNG,PTBP2,TOP3B,SCLY,MYO1D,OPHN1,DEGS1,TKFC,DDX3X,GALK1,PALS2,PARN,RIOK1,FZD6,NEO1,KIF7,TAOK3,ADPRS,FXYD6,SNX15,KDM6A,OTUD4,RCC2,COPRS,PNPO,IPO8,ANK1,HTRA1,NUMA1,FER,DOCK6,COASY,DDX31,GET3,ANXA2,ANXA1,LRCH2,SUOX,GSTM5,SURF6,SAMD9,CDK5,GRB10,5MP1,BROX,RGS20,CTU1,UNC5B,ARMC5,AGAP3,TRPC4,FAF1,PXK,IFT74,NPAS3,SESN2,NOLC1,SYNE2,NAGA,BRD3,HAT1,TBCD,CDC5L,TRAF2,TEAD1,TACC1,XRCC6,RALB,AMPD3,FOXO3,UBA1,REEP3,ERCC5,WIPF1,ASAP1,CHD1,UBXN1,LMO7,UACA,ITPR3,CTF1,ARRB2,CTCF,SPON1,CDC26,WDR48,CKAP4,DTNA,RAI14,SRSF5,CAV1,CRTC3,CYREN,SLX9,ZC3H4,TTC27,KHNYN,NCOR1,ELP5,NOC2L,LIFR,SDC3,FGD1,BTF3,SSH3,TLE5,UBXN7,RIOK2,DMWD,CCND3,RBM42,PLD1,RAD50,TWSG1,NEK9,NUDT4,ZMIZ1,DDAH2,SSRP1,MAK16,OARD1,DOHH,HACL1"
GO:MF,cytoskeletal protein binding,GO:0008092,4.50718E-06,5.346095494,1002,418,50,20212,"SVIL,EGFR,CAPG,SYNE3,PSRC1,NEIL2,FHOD1,DCLK1,TIAM1,DMD,ANXA6,GBP1,FMNL3,CLIP2,SUN2,MYO1B,MYO1C,EPS8,SNTB2,MYO1E,FRMD5,BIN1,IFT88,FSD1,PLS1,EMD,BBS4,KLHL4,ALDOC,PLEC,MYO1D,OPHN1,DDX3X,KIF7,RCC2,ANK1,NUMA1,ANXA2,CDK5,5MP1,PXK,IFT74,SYNE2,TBCD,REEP3,WIPF1,LMO7,UACA,RAI14,SSH3"
GO:MF,anion binding,GO:0043168,7.62431E-05,4.117799584,2452,418,88,20212,"SVIL,MMAB,NQO2,RUNX1,GMDS,TNIK,NTPCR,EGFR,CAPG,ASTN2,MET,MAST4,DCLK1,ACOX2,EHD3,ANXA6,GBP1,CD34,ACSL1,GBP2,PAK3,MTO1,MAPK3,EHD1,NUBPL,SETX,MYO1B,ITPR1,MTRR,EHD2,MYO1C,FABP7,GRIN1,DGKK,NCEH1,RHOJ,EPHB4,TRPM4,MYO1E,FGFR1,SESN3,EPHB2,DHX29,JAK1,MOCS3,CBR3,ACSS3,PLOD3,DDX56,PARD3,DDX17,JAK2,SDSL,ACOX3,TGM2,CHD1L,STK38,SCLY,MYO1D,TKFC,DDX3X,GALK1,RIOK1,KIF7,TAOK3,PNPO,FER,COASY,DDX31,GET3,ANXA2,CDK5,AGAP3,TRPC4,PXK,SESN2,NOLC1,XRCC6,RALB,UBA1,ASAP1,CHD1,ITPR3,RIOK2,RAD50,NEK9,DDAH2,HACL1"
GO:MF,small molecule binding,GO:0036094,0.000104892,3.979258769,6357,418,181,20212,"SNED1,LPXN,CALB1,POSTN,EFHD2,GDPD2,SVIL,MMAB,HEPH,NQO2,HHIP,LTBP2,MGP,PML,RUNX1,GPR39,CYGB,GMDS,TNIK,FHL1,NTPCR,EGFR,LTBP3,CAPG,ASTN2,MET,NEIL2,MAST4,CPNE1,DCLK1,ACOX2,CPNE8,DMD,EHD3,TRIP6,ANXA6,ENPP4,GBP1,RLBP1,PXDN,CD34,ASAP2,ACSL1,GBP2,MPI,PAMR1,CSPG2,TIMP3,ZMAT3,PAK3,MTO1,ASPH,MMP14,CLGN,MAPK3,EHD1,NUBPL,ANXA5,AMPD2,DPF3,HIC1,SETX,PDZD8,MYO1B,ITPR1,DPH2,PCDH1,ETHE1,MTRR,EHD2,MYO1C,NT5C,LOXL1,KMT5B,UGDH,FABP7,GRIN1,DGKK,ENPP5,FAT4,NCEH1,GYS1,SMAP1,RHOJ,EPHB4,THOP1,NID2,BAG5,TRPM4,MYO1E,DHRS3,FGFR1,GAS6,SESN3,KDM5C,SMAD5,EPHB2,DHX29,JAK1,BMI1,MOCS3,ZEB1,LRP1,CBR3,PLS1,ACSS3,ANO6,HDAC7,PLOD3,WDR59,SULF2,DDX56,PARD3,DDX17,APEX1,UNKL,NINL,JAK2,SDSL,ACOX3,CMC1,PCDH9,TGM2,CHD1L,MEGF8,EFHD1,GPC1,STK38,ARSJ,SCLY,MYO1D,TKFC,DDX3X,GALK1,PARN,RIOK1,KIF7,TAOK3,ADPRS,KDM6A,ZFP91,PNPO,FER,COASY,DDX31,GET3,ANXA2,ANXA1,SUOX,CDK5,AGAP3,TRPC4,PXK,SESN2,NOLC1,TRAF2,XRCC6,RALB,AMPD3,UBA1,EXOG,ERCC5,ASAP1,CHD1,LMO7,ITPR3,CTCF,SPON1,DTNA,CAV1,ZC3H4,FGD1,RIOK2,RAD50,NEK9,NUDT4,ZMIZ1,DDAH2,OARD1,DOHH,HACL1"
GO:MF,actin binding,GO:0003779,0.000108385,3.965029628,443,418,28,20212,"SVIL,EGFR,CAPG,SYNE3,FHOD1,DMD,ANXA6,GBP1,FMNL3,MYO1B,MYO1C,EPS8,SNTB2,MYO1E,BIN1,PLS1,EMD,KLHL4,PLEC,MYO1D,OPHN1,5MP1,PXK,SYNE2,WIPF1,UACA,RAI14,SSH3"
GO:MF,catalytic activity,GO:0003824,0.00013832,3.859113685,5758,418,167,20212,"GDPD2,MMAB,HEPH,NQO2,PLD2,PML,CYGB,GMDS,TNIK,NTPCR,EGFR,PTPRJ,MET,NEIL2,MAST4,HNMT,CPNE1,DCLK1,HMGA1,ACOX2,DMD,TMTC1,ENPP4,GBP1,RDH10,PXDN,NAMPT,PTPRA,ACSL1,GBP2,MPI,LPIN1,GSTO1,PAMR1,PAK3,ASPH,MMP14,MAPK3,AMPD2,SETX,ABHD6,DPH2,PTPRU,ETHE1,MTRR,EHD2,NT5C,LOXL1,MYORG,GMPPA,KMT5B,UGDH,DCPS,GFPT2,DGKK,CMBL,PBLD,ENPP5,NAA50,NCEH1,GYS1,RHOJ,EPHB4,THOP1,PPIH,MYO1E,DHRS3,SYNJ2,FGFR1,SESN3,KDM5C,EPHB2,PARP4,DHX29,JAK1,MOCS3,CBR3,PLPP2,ACSS3,HDAC7,ATG7,PLOD3,NOP2,SULF2,MED17,DDX56,DHRS1,DDX17,APEX1,ATE1,UNKL,MTAP,RDH5,PTPRS,FKBP5,JAK2,SDSL,ACOX3,GGCT,RGS10,TGM2,CHD1L,OTUB1,PIGG,ALDOC,PLPP6,PIGN,EOGT,RDH13,NNMT,STK38,ARSJ,TOP3B,SCLY,DEGS1,TKFC,DDX3X,GALK1,PARN,RIOK1,KIF7,TAOK3,ADPRS,KDM6A,OTUD4,ZFP91,PNPO,HTRA1,FER,COASY,DDX31,GET3,SUOX,GSTM5,CDK5,RGS20,CTU1,AGAP3,PXK,SESN2,NAGA,HAT1,TRAF2,XRCC6,RALB,AMPD3,UBA1,EXOG,ERCC5,THSD4,GGT5,CHD1,LMO7,KHNYN,SSH3,RIOK2,GFPT1,CCND3,PLD1,RAD50,NEK9,NUDT4,ZMIZ1,DDAH2,OARD1,DOHH,HACL1"
GO:MF,ion binding,GO:0043167,0.000347978,3.458447772,6146,418,174,20212,"SNED1,LPXN,CALB1,POSTN,EFHD2,GDPD2,SVIL,MMAB,HEPH,NQO2,HHIP,LTBP2,MGP,PML,RUNX1,GPR39,CYGB,GMDS,TNIK,FHL1,NTPCR,EGFR,LTBP3,CAPG,ASTN2,MET,NEIL2,MAST4,CPNE1,DCLK1,ACOX2,CPNE8,DMD,EHD3,TRIP6,ANXA6,ENPP4,GBP1,PXDN,CD34,ASAP2,ACSL1,GBP2,MPI,PAMR1,CSPG2,TIMP3,ZMAT3,PAK3,MTO1,ASPH,MMP14,CLGN,MAPK3,EHD1,NUBPL,ANXA5,AMPD2,DPF3,HIC1,SETX,PDZD8,MYO1B,ITPR1,DPH2,PCDH1,ETHE1,MTRR,EHD2,MYO1C,NT5C,LOXL1,KMT5B,FABP7,GRIN1,DGKK,ENPP5,FAT4,NCEH1,SMAP1,RHOJ,EPHB4,THOP1,NID2,TRPM4,MYO1E,FGFR1,GAS6,SESN3,KDM5C,SMAD5,EPHB2,DHX29,JAK1,BMI1,MOCS3,ZEB1,LRP1,CBR3,PLS1,ACSS3,ANO6,HDAC7,PLOD3,WDR59,SULF2,DDX56,PARD3,DDX17,APEX1,UNKL,NINL,JAK2,SDSL,ACOX3,CMC1,PCDH9,TGM2,CHD1L,MEGF8,EFHD1,GPC1,STK38,ARSJ,SCLY,MYO1D,TKFC,DDX3X,GALK1,PARN,RIOK1,KIF7,TAOK3,ADPRS,KDM6A,ZFP91,PNPO,FER,COASY,DDX31,GET3,ANXA2,ANXA1,SUOX,CDK5,AGAP3,TRPC4,PXK,SESN2,NOLC1,TRAF2,XRCC6,RALB,AMPD3,UBA1,EXOG,ERCC5,ASAP1,CHD1,LMO7,ITPR3,CTCF,SPON1,DTNA,ZC3H4,FGD1,RIOK2,RAD50,NEK9,NUDT4,ZMIZ1,DDAH2,DOHH,HACL1"
GO:MF,calcium ion binding,GO:0005509,0.000747784,3.126223832,726,418,36,20212,"SNED1,CALB1,EFHD2,LTBP2,MGP,RUNX1,LTBP3,ASTN2,CPNE1,EHD3,ANXA6,PAMR1,CSPG2,ASPH,CLGN,EHD1,ANXA5,ITPR1,PCDH1,EHD2,GRIN1,FAT4,NID2,TRPM4,GAS6,LRP1,PLS1,SULF2,NINL,PCDH9,TGM2,MEGF8,EFHD1,ANXA2,ANXA1,ITPR3"
GO:MF,phospholipid binding,GO:0005543,0.001900381,2.721159246,483,418,27,20212,"SVIL,PLD2,CAPG,CPNE1,CPNE8,ANXA6,RLBP1,PREX1,ANXA5,MYO1B,ITPR1,PSD3,AMPH,MYO1E,GAS6,BIN1,PARD3,OPHN1,SNX15,NUMA1,ANXA2,ANXA1,5MP1,PXK,ASAP1,ITPR3,PLD1"
GO:MF,protein-containing complex binding,GO:0044877,0.003124301,2.505247188,1752,418,64,20212,"SVIL,LAMB2,GFAP,EGFR,CAPG,SYNE3,FHOD1,HMGA1,CD9,DMD,PTX3,ANXA6,GBP1,SFRP2,FMNL3,ARX,MMP14,MYO1B,MYO1C,KMT5B,GRIN1,CHMP6,NID2,PPIH,MYO1E,LAMA5,NOC3L,EPHB2,DHX29,BMI1,FRMD5,BOP1,BIN1,ZEB1,LRP1,PLS1,HDAC7,DDX17,APEX1,ICAM1,CHD1L,CD44,PLEC,XPC,MYO1D,DDX3X,KDM6A,ANK1,NUMA1,5MP1,IFT74,SESN2,BRD3,TRAF2,XRCC6,FOXO3,ERCC5,CHD1,UBXN1,CTCF,CAV1,ZC3H4,NOC2L,SSRP1"
