gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ANGP2	-7.4053463478484804	9.346529363698963	-145.2315723644134	6.48746151860847e-22	4.572760997997842e-18	35.539592264351704
IL33	-7.48055985946372	9.384136119506582	-138.61110240315062	1.175970425099098e-21	4.572760997997842e-18	35.31665728451402
CH3L1	-8.106349783276247	9.697031081412847	-89.73275443133807	2.998798415341566e-19	3.88694254601856e-16	32.54755047221041
ENTP2	-5.692931780436284	8.490322079992866	-47.15360008524984	1.0733425757643322e-15	7.946360837930707e-13	26.278396145668374
SNED1	-6.693535293682164	8.990623836615805	-46.13590929339583	1.4156436826452841e-15	9.174550766610312e-13	26.030554719114186
AL1A1	-3.3337788822827625	16.885326647388936	-38.287469984606545	1.5032052746165894e-14	8.992636477456321e-12	23.84749975634631
LPXN	-4.55294879178853	7.920330585668989	-33.997471293776016	6.751246785571997e-14	3.5002964167595614e-11	22.405649884766923
CALB1	-2.8478539598075105	18.186066460359058	-32.19195425960872	1.3441329769273603e-13	6.533326350977551e-11	21.73307565807786
POSTN	-1.8762756661338063	15.319385705781125	-25.8806312075121	2.090403426972996e-12	9.562980853864112e-10	18.994253764973266
CO1A1	-1.7976980147893877	18.722382502953543	-24.621201329493378	3.90424317042602e-12	1.5181649568201581e-9	18.359923516891946
RTN1	-1.7845788668653157	17.467325062709648	-23.769705315763076	6.062316003046971e-12	1.965489668858248e-9	17.911115579136172
ITA7	-1.0895633499025463	16.05867282626765	-22.615672380467043	1.1282063528069213e-11	3.509624322311771e-9	17.27501116647411
CNTP3	-1.386811554129989	13.379734070720254	-21.6768620541046	1.9129763836074528e-11	5.51008049456117e-9	16.732044923692236
EFHD2	-1.3789366133700798	16.305606079983587	-21.409993417077512	2.2316361311880844e-11	5.984632480086114e-9	16.573256631426673
GDPD2	-2.0918019043354628	11.197190613197881	-20.001049402648317	5.194675208697549e-11	1.1542568313725953e-8	15.699873601506587
CO1A2	-1.4015566487449367	17.24405676987188	-19.76291498387779	6.025287535292145e-11	1.3016294767213059e-8	15.546109411663606
SRBS1	-1.0978372627107484	13.92069134048683	-19.259620452466134	8.290195287037317e-11	1.7425094256024115e-8	15.214905642733358
EAA1	-2.0691966828047805	14.49359726850239	-19.138633204407004	8.961618340894571e-11	1.8340659430825546e-8	15.133994652351396
RFLA	-1.3636072656621192	14.930413108090885	-18.373993256587895	1.4821292869307345e-10	2.7444093963000765e-8	14.610546783412472
SVIL	-0.906092954871715	15.850587125172531	-17.714084004809926	2.3247973100645412e-10	4.204639227993474e-8	14.141183470052143
NIBA1	-1.3842218173913854	16.038594992506606	-17.381725372210113	2.9337325837965796e-10	4.797652064118092e-8	13.898262079086605
AF1L2	-1.3210765806378046	13.93434660420788	-17.32432571678585	3.055276713208007e-10	4.797652064118092e-8	13.855850443960987
MMAB	-1.150729147890526	13.865468610899264	-17.316320561584863	3.0726534650351684e-10	4.797652064118092e-8	13.849924708372429
HEPH	-2.0080161010939164	12.570314573545604	-17.28913394956839	3.1324651296793225e-10	4.797652064118092e-8	13.82978018413869
CO3A1	-1.6697425008058524	14.005804029268521	-17.03652406231108	3.7520535283369274e-10	5.611484671130055e-8	13.641118541036311
NQO2	-1.5738177089577565	13.65946443679588	-16.981939900525123	3.90253483778637e-10	5.726417628955584e-8	13.599996222566164
LAMB2	-0.965206020864073	15.61534276554091	-16.80486386797333	4.4370949985216887e-10	6.390238482130217e-8	13.465706244333267
GFAP	-1.2379075685124896	20.433512655534926	-16.752495774331116	4.6098866967569086e-10	6.51837978921427e-8	13.425729795307197
HHIP	-1.0320624157625762	13.11791016066208	-15.210038623858916	1.4961289409818058e-9	1.9392324623359173e-7	12.191280821764073
TEN4	-0.8677226935902536	14.344978916459535	-15.060144048964558	1.6870796535264025e-9	2.1161965266894892e-7	12.065074678210886
LTBP2	-1.2757003206964903	14.237232315007954	-14.705123032656038	2.252059170292181e-9	2.7800419313273477e-7	11.761417351407777
MGP	-1.6173952150207385	13.453653084184184	-14.551986668305913	2.5558198274255437e-9	3.065247484699163e-7	11.628328089054966
KANK2	-0.7240640211749071	14.214274068806843	-14.530733656487756	2.601341571173264e-9	3.065247484699163e-7	11.609754933109835
CAVN2	-1.0576024269979378	14.76986640976523	-14.456589530712623	2.767094666954828e-9	3.2118948096877165e-07	11.544762682932996
PLD2	-0.9584859552298153	12.946878167204272	-14.415819964564406	2.863041006500486e-9	3.274392633463865e-7	11.508894186704092
ITB8	-0.8459250453465073	14.9038939267274	-14.001972125210898	4.066729901964007e-9	4.4845074104799004e-7	11.139420146041862
NFIX	-1.0310858443830269	13.42064496028498	-13.75339053413132	5.043466446015748e-9	5.447644243147843e-7	10.912660415718333
ENTP3	-1.32244933469803	12.960266977589393	-13.636503171389585	5.587322703542651e-9	5.952412145952218e-7	10.804743229345101
MEG10	-1.585042132347427	12.210706975459015	-13.617061003051612	5.683735966445729e-9	5.973299271763301e-7	10.786711819770934
PRUN2	-0.7790200423362079	14.39915549413411	-13.587757724217337	5.832440040276342e-9	6.047851492430549e-7	10.75949076248027
GSH1	-0.8537214196411896	14.50995415712727	-13.561732649027482	5.968012672633029e-9	6.107004546719351e-7	10.735270407133514
CAH3	-1.4911912159245746	12.015516215670768	-13.126894278593094	8.812641715652205e-9	8.675432230712304e-7	10.324265709468827
PML	-0.7226728651069421	16.612931872580766	-12.913181749862	1.0717742250164288e-8	9.922843033277102e-7	10.117779395733928
RUNX1	-0.6483289163916115	12.940485111887497	-12.8194782547502	1.1688445438849302e-8	1.044839542275069e-6	10.026284306104357
STX1B	-0.8738164347940373	13.823931687942123	-12.732382985877624	1.2675619077896248e-8	1.1076212311101027e-6	9.940708734971343
EMAL3	-0.7257744211675577	14.738435465360626	-12.714326915143966	1.2891257177670041e-8	1.1139478563415546e-6	9.922902951808227
FILA	-1.3580892890245477	16.979364457685627	-12.211600967891073	2.079495496208574e-8	1.6965888086456424e-6	9.41799538115349
GPR39	-1.3208559835453229	13.33840301928438	-12.164336539630957	2.1769898980698607e-8	1.7275969833968681e-6	9.3695964743840765
CD109	-0.7455838205936993	13.893326079807638	-12.11654354966942	2.2805758254840653e-8	1.7736038194789576e-6	9.320489970659926
CYGB	-1.4817586712848239	14.59663235040625	-12.079834939325414	2.3637231005139534e-8	1.8022229953624526e-6	9.282658298352933
GMDS	-1.0422088921900359	15.043871540599188	-11.766143231992226	3.222238253760164e-8	2.3203098981011846e-6	8.955257507705673
GDIR2	-1.1420217262859016	14.591883487766903	-11.55634977294163	3.9797028677967604e-8	2.7634061788263753e-6	8.732092384830734
ABLM1	-0.9990573626909031	12.702195734100233	-11.131275048804305	6.165752766862274e-8	3.946184605547533e-6	8.269187709434275
HSPB6	-0.9496173160755524	16.251767616453805	-11.127448027650736	6.1904914732776e-8	3.946184605547533e-6	8.264953062429212
TNIK	-0.577489530430804	13.234311409170376	-10.902841662838949	7.84625368633259e-8	4.881625193488684e-6	8.014270787273063
FHL1	-0.9132779005716661	16.60454075989944	-10.750185140944389	9.23896062733805e-8	5.569875720837831e-6	7.841436887397206
NTPCR	-0.6234105819786531	15.254768560436752	-10.685220622868805	9.909939305383003e-8	5.794706614884482e-6	7.767272026808055
SEPT8	-0.6520720858390879	14.328685887644195	-10.65778761679563	1.0208776509845996e-7	5.924899620677038e-6	7.735842786321978
NHRF1	-0.7975331317896579	16.14325457393262	-10.57241046485151	1.1202189572153056e-7	6.305267691567291e-6	7.6376030891754585
EGFR	-0.5881742406513024	14.801443741820455	-10.536353062815408	1.1652376825016812e-7	6.472895326296839e-6	7.595918826693284
LTBP3	-0.8985581199234356	14.093330387199916	-10.440004448494877	1.2953037083466096e-7	7.144380808377009e-6	7.483962591139099
EMIL1	-0.7657176483569295	14.864543759969125	-10.372567859135088	1.395538549687487e-7	7.579767923234681e-6	7.405102386626266
LRRN1	-0.6626850436673781	12.857794484887549	-10.304494373036526	1.5051845453092936e-7	7.958403638995152e-6	7.325076208528367
AK1C3	-0.9137457986495934	14.022300627824075	-10.298944190966958	1.514521973217542e-7	7.958403638995152e-6	7.3185327302693945
CAH2	-0.6887514688256269	16.368277030631265	-10.259300547774927	1.5830462096230813e-7	8.207566914825801e-6	7.271711535014234
ANGL4	-0.8065575627909115	15.126616023642137	-10.234722110119192	1.627190157194056e-7	8.336129891392124e-6	7.242610081455826
CAPG	-0.765667966019044	17.239630505060422	-10.233575786822078	1.6292808840061756e-7	8.336129891392124e-6	7.241251439128579
ASSY	-0.8271004278703166	14.439980617963139	-10.133115295345455	1.8241551682539607e-7	9.093881245840418e-6	7.121707787617527
GPC5C	-1.9166880154020938	11.848325709514084	-10.113639666793231	1.8647414957799516e-7	9.237002938013175e-6	7.098423126963004
B4GA1	-0.6017209019465127	14.751713735937713	-10.092493338388055	1.9099055510025116e-7	9.279173187811935e-6	7.07310050649815
DUS23	-1.0825046618259844	14.685850952198168	-10.081925876646494	1.9329125066549228e-7	9.279173187811935e-6	7.060430188541702
ASTN2	-3.510637079953943	7.767986082840636	-10.062999065459724	1.974863123082701e-7	9.339555286420942e-6	7.037710630958195
CAD11	-0.5400476341770638	14.12200142344928	-10.021533088726176	2.0702129149437537e-7	9.698822794890105e-6	6.987816349154146
MRCKA	-0.634552756471078	13.87282672798625	-10.012991976151737	2.090457673600439e-7	9.735023549455457e-6	6.977518841765123
CYTSB	-0.4699184341547826	15.77747329853552	-9.89554532725452	2.391375086867094e-7	1.0812630261956622e-5	6.8352108225647115
PEPL1	-0.585319590063728	14.42934994017972	-9.835255279363665	2.563552558662647e-7	1.1392427570696803e-5	6.761640561175724
DCBD2	-0.540550902897805	17.65455462683034	-9.82283972521166	2.6006279474114937e-7	1.1491524742624538e-5	6.746446238657445
PNCB	-1.118909121989327	14.896938628350396	-9.812372938317619	2.632329266563481e-7	1.1565889664443044e-5	6.7336251377532115
BTBDB	-0.6363157403587835	13.504182259310886	-9.778913601327671	2.7364708193250934e-7	1.1889124894911312e-5	6.692567727561286
TPA	-0.7537287545515854	15.492553593899382	-9.718846804235692	2.9346394156196373e-7	1.253993996443622e-5	6.618584340004032
SYNE3	-0.6870554750767126	13.78283952885447	-9.638523302752986	3.2239469970090517e-7	1.3552776105805077e-5	6.519092283832178
PSRC1	-0.5847884030042729	13.465456638607797	-9.599147133603948	3.3767721432527187e-7	1.40433994428216e-5	6.470084025727463
GELS	-0.6987363132032213	17.802784714275973	-9.549804795728253	3.5792901283051633e-7	1.4573894936036259e-5	6.408451660459036
PTPRJ	-0.4693067287033038	15.037563585121013	-9.49280818264452	3.829499319353311e-7	1.5470671680174322e-5	6.33695204004745
MET	-0.5912236055253601	13.924290960991632	-9.467393233992661	3.94703389663759e-7	1.5662912925618524e-5	6.304963679602041
NEIL2	-1.2114459361310865	12.521311865448624	-9.464384311597524	3.9612021041682724e-7	1.5662912925618524e-5	6.301172155803883
MAST4	-0.6175187725065657	13.128388950421678	-9.458781567523015	3.9877288919537965e-7	1.5662912925618524e-5	6.294109709093428
OSBL3	-0.46615227672983656	14.032666375195552	-9.386732459457496	4.3462913032400936e-7	1.6613907449139802e-5	6.203002638589995
EMAL4	-0.47318123474867735	16.037890248136424	-9.343102362746901	4.580044819888581e-7	1.7290780856443445e-5	6.1475718289875765
HVCN1	-0.7506395884015805	12.653831416238209	-9.290578049689065	4.879400007064606e-7	1.8156504236814087e-5	6.080579253514715
SHPS1	-0.6188002483466262	14.781113583811916	-9.274841387412254	4.973105758816258e-7	1.8417068326816207e-5	6.06045183547206
CADH3	-0.7812628003804679	13.618443123857784	-9.263272678628011	5.043217800987793e-7	1.850052115013305e-5	6.045638780859679
FHOD1	-0.5207636802815342	14.152594337576955	-9.218213175624493	5.326528665264706e-7	1.9448081422424234e-5	5.987808978485793
HNMT	-1.2712666144582414	13.960683513553027	-9.180810613702555	5.574606483325421e-7	2.016451842828921e-5	5.939643890435818
CO6A3	-0.7808105197848472	16.2323338696795	-9.140105361022787	5.858672912571955e-7	2.0827941423695594e-5	5.887057656315044
CPNE1	-0.6706172998173566	15.811445397858389	-9.138207719860368	5.87228732410206e-7	2.0827941423695594e-5	5.884601846380914
DCLK1	-0.6916483029103752	16.929175184049864	-9.111719246248157	6.06589288561902e-7	2.1345904511972452e-5	5.85028210535727
GHC2	-0.765781423771804	15.040922844794519	-9.09353906980128	6.202709259455025e-7	2.1729040500352134e-5	5.826683717175904
CO6A2	-0.5219073341331829	15.901485341118526	-9.08530359668042	6.265766626607939e-7	2.1782936518626787e-5	5.81598222017386
HMGA1	-0.6395542217282613	18.112789099164075	-9.076598596749077	6.333163622559945e-7	2.180739957715045e-5	5.804662715299461
LEG9	-1.0142866988016854	12.906296766907138	-9.070804806256884	6.378449696254092e-7	2.1852512461571842e-5	5.797124291218607
SPT20	-0.5843169503001965	14.372815191267275	-8.991434389322972	7.034876295175751e-7	2.3995716205079746e-5	5.69349058142228
CD9	-0.93297576644573	14.38075781712369	-8.951969584140585	7.387775743801002e-7	2.496601032426861e-5	5.641708285026658
PLXA4	-1.1365395565315837	12.327761552183196	-8.939767840851715	7.50067210210148e-7	2.5143416783639312e-5	5.625663999261102
GBRA3	-0.9514218131804293	11.605589712575965	-8.882360364428822	8.057100337287411e-7	2.655087683181534e-5	5.549960082342304
VWA1	-0.9034282813019674	13.094549044436981	-8.8410469517519	8.484709944157345e-7	2.762994578895265e-5	5.495256311667006
ACOX2	-0.6970765400963972	12.663652061728488	-8.840443098622744	8.49113674110799e-7	2.762994578895265e-5	5.494455348628444
PTHR	-1.219407347607473	10.978136001663199	-8.810261850100458	8.819065520708783e-7	2.8108964161701723e-5	5.454371118451391
NT5D3	-0.9285664582188355	15.700427570172009	-8.733920919689249	9.710353999055876e-7	3.045057381074901e-5	5.3525313490797455
CO6A1	-0.4386266720308595	16.45173401287762	-8.717238512881417	9.917630707330501e-7	3.0851765604363726e-5	5.330190504610377
CPNE8	-0.8727444464772915	12.91863633191535	-8.70675193071626	1.0050336692715424e-6	3.114002727460074e-5	5.316131113191808
TIAM1	-0.6797535396906215	12.997377712147882	-8.592105562274595	1.1631233827495416e-6	3.575340137408374e-5	5.161618978402302
NCAM1	-0.9055800804624928	16.69645510957316	-8.562835680233734	1.207598425979411e-6	3.6829384152321094e-5	5.121933238302653
DMD	-0.4549720737120924	14.587508389597534	-8.546158181257406	1.2337474322680754e-6	3.7479897581050086e-5	5.099277412151524
DCTP1	-0.7114807402529431	15.703395602764617	-8.510177202439504	1.2922411125499706e-6	3.8802158811973445e-5	5.050290456437528
SLAI1	-0.6983042768687344	13.156336566617945	-8.490834757891777	1.3249013235117837e-6	3.932731905706543e-5	5.023895174529743
SPT33	-0.9434024247651874	12.233255613097292	-8.465798361495795	1.3684881846099264e-6	4.0313381104967413e-5	4.9896660586406885
CSPG4	-0.5142088194174211	16.09263082302744	-8.452477966599783	1.3922988054221085e-6	4.072243544839203e-5	4.971425404208974
RIN1	-0.75540196109543	13.41571334252418	-8.44017408356124	1.4146849009050355e-6	4.120600926718525e-5	4.9545585908521605
AGRL4	-0.7028459361393646	14.903993336342218	-8.318246692438102	1.65844598818028e-6	4.67309219205726e-5	4.786466803827622
TMTC1	-5.018263430801804	8.828411131781364	-8.304862439929094	1.687812254019527e-6	4.7216244242841226e-5	4.767909582498493
PTX3	-0.6641949302411824	12.386100772599312	-8.297469415337064	1.704270290512454e-6	4.7505770786076546e-5	4.7576501922401935
PI42A	-0.5115207345614888	15.682652464023322	-8.294704956112811	1.7104682548967654e-6	4.750825577975766e-5	4.753812274344689
RL22	-0.6884943162250876	16.880029459163737	-8.252846650960352	1.8073079255280324e-6	5.001933714174914e-5	4.695590524085777
EHD3	-0.7372316691705405	13.47490853781908	-8.237983252785734	1.84308576487359e-6	5.035572226195507e-5	4.674867090713002
TRIP6	-0.4579146625298846	16.104121593589625	-8.237048013625655	1.8453620733775487e-6	5.035572226195507e-5	4.67356225418021
RIFK	-0.6578936696204563	14.426561059546472	-8.221508973012593	1.8836244598609139e-6	5.1041628656231104e-5	4.651867237656612
