Category,Term,ID,adj_pval,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,Genes
GO:MF,calcium ion binding,GO:0005509,0.00695043,2.157988352,726,63,11,20212,"SNED1,CALB1,EFHD2,SLIT2,LTBP2,MGP,FAT3,PLCB4,ASTN2,VLDLR,CLGN"
GO:MF,sulfur compound binding,GO:1901681,0.096551334,1.015241723,268,63,6,20212,"POSTN,SLIT2,ALK,LTBP2,CD34,KMT5B"
GO:MF,small molecule binding,GO:0036094,0.229081857,0.640009305,6357,63,33,20212,"SNED1,LPXN,CALB1,POSTN,EFHD2,PEG10,GDPD2,SLIT2,MMAB,HEPH,NQO2,ALK,HHIP,LTBP2,MGP,VAT1L,MGMT,GPR39,CYGB,GMDS,FAT3,PLCB4,ASTN2,NEIL2,VLDLR,NRK,RLBP1,RNF5,CD34,DDX3Y,CLGN,KMT5B,RAB3B"
GO:MF,ion binding,GO:0043167,0.290986672,0.536126903,6146,63,32,20212,"SNED1,LPXN,CALB1,POSTN,EFHD2,PEG10,GDPD2,SLIT2,MMAB,HEPH,NQO2,ALK,HHIP,LTBP2,MGP,VAT1L,MGMT,GPR39,CYGB,GMDS,FAT3,PLCB4,ASTN2,NEIL2,VLDLR,NRK,RNF5,CD34,DDX3Y,CLGN,KMT5B,RAB3B"
GO:MF,metal ion binding,GO:0046872,0.433810259,0.362700182,4354,63,25,20212,"SNED1,LPXN,CALB1,POSTN,EFHD2,PEG10,GDPD2,SLIT2,HEPH,NQO2,HHIP,LTBP2,MGP,VAT1L,MGMT,GPR39,CYGB,FAT3,PLCB4,ASTN2,NEIL2,VLDLR,RNF5,CLGN,KMT5B"
GO:MF,endopeptidase activator activity,GO:0061133,0.509408193,0.292934075,15,63,2,20212,"APH1A,SFRP2"
GO:MF,cation binding,GO:0043169,0.592830256,0.22706964,4444,63,25,20212,"SNED1,LPXN,CALB1,POSTN,EFHD2,PEG10,GDPD2,SLIT2,HEPH,NQO2,HHIP,LTBP2,MGP,VAT1L,MGMT,GPR39,CYGB,FAT3,PLCB4,ASTN2,NEIL2,VLDLR,RNF5,CLGN,KMT5B"
GO:MF,mannosyltransferase activity,GO:0000030,1,0,25,63,1,20212,TMTC1
GO:MF,zinc ion binding,GO:0008270,1,0,847,63,7,20212,"CALB1,PEG10,NQO2,HHIP,VAT1L,NEIL2,RNF5"
GO:MF,protein methyltransferase activity,GO:0008276,1,0,96,63,2,20212,"MGMT,KMT5B"
GO:MF,lipid binding,GO:0008289,1,0,841,63,2,20212,"CALB1,RLBP1"
GO:MF,monoatomic cation transmembrane transporter activity,GO:0008324,1,0,608,63,1,20212,KCNK2
GO:MF,"GDP-mannose 4,6-dehydratase activity",GO:0008446,1,0,1,63,1,20212,GMDS
GO:MF,S-adenosylmethionine-dependent methyltransferase activity,GO:0008757,1,0,198,63,2,20212,"HNMT,KMT5B"
GO:MF,corrinoid adenosyltransferase activity,GO:0008817,1,0,1,63,1,20212,MMAB
GO:MF,glycerophosphodiester phosphodiesterase activity,GO:0008889,1,0,5,63,1,20212,GDPD2
GO:MF,DNA-methyltransferase activity,GO:0009008,1,0,7,63,1,20212,MGMT
GO:MF,electron transfer activity,GO:0009055,1,0,115,63,1,20212,NQO2
GO:MF,anaphase-promoting complex binding,GO:0010997,1,0,9,63,1,20212,CDC20
GO:MF,coreceptor activity,GO:0015026,1,0,57,63,1,20212,GPC4
GO:MF,monoatomic ion transmembrane transporter activity,GO:0015075,1,0,727,63,1,20212,KCNK2
GO:MF,potassium ion transmembrane transporter activity,GO:0015079,1,0,161,63,1,20212,KCNK2
GO:MF,channel activity,GO:0015267,1,0,507,63,1,20212,KCNK2
GO:MF,outward rectifier potassium channel activity,GO:0015271,1,0,27,63,1,20212,KCNK2
GO:MF,inorganic molecular entity transmembrane transporter activity,GO:0015318,1,0,692,63,1,20212,KCNK2
GO:MF,heparin binding,GO:0008201,1,0,176,63,4,20212,"POSTN,SLIT2,ALK,LTBP2"
GO:MF,potassium channel regulator activity,GO:0015459,1,0,49,63,1,20212,KCNK2
GO:MF,ion channel inhibitor activity,GO:0008200,1,0,38,63,1,20212,KCNK2
GO:MF,"ATP-dependent activity, acting on RNA",GO:0008186,1,0,78,63,1,20212,DDX3Y
GO:MF,protein binding,GO:0005515,1,0,14838,63,54,20212,"IL33,DPPA4,SNED1,APH1A,LPXN,CALB1,POSTN,IL18,RTN1,PKP2,SYTL1,EFHD2,PEG10,SLIT2,MMAB,NQO2,GFAP,ALK,HHIP,LTBP2,MGP,NFIX,VAT1L,FADS2,GPR39,CYGB,GMDS,PLCB4,GPC4,ASTN2,APBA1,NEIL2,VLDLR,PPIL3,TMTC1,CDC20,SFRP2,ETS1,RDH10,RLBP1,RNF5,CD34,ARX,TLCD4,CLGN,PAX8,NHSL2,PTPRU,ISLR2,KMT5B,PDGFD,RAB3B,FXYD6,GSTM5"
GO:MF,ATP binding,GO:0005524,1,0,1500,63,4,20212,"MMAB,ALK,NRK,DDX3Y"
GO:MF,GTP binding,GO:0005525,1,0,391,63,1,20212,RAB3B
