ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
GSTT1	7.384610566211367	9.336161472880407	130.59689102371308	2.5125506128257893e-21	6.513368705315388e-18	35.01208928752463
NKX21	7.201807015486919	9.244759697518184	119.9118725178179	7.458084280951181e-21	1.4500380363239334e-17	34.535234188698865
DRB5	9.885652489499984	10.586682434524716	94.30046324242119	1.5932314790183727e-19	2.478112242465177e-16	32.92856440470269
DPPA4	6.071428323214702	8.679570351382074	60.19183269677558	4.830740316297271e-17	5.3669524914062677e-14	28.91638945444023
CHP3	6.854047961193126	9.070880170371286	59.34837851861191	5.78005423971237e-17	5.6189352277803876e-14	28.77140160978921
PPR1C	5.874931986072348	8.581322182810899	53.36588500203584	2.230242241386865e-16	1.9271771012517388e-13	27.64872542834439
CRF	5.184806528846868	12.391072767000944	46.9826727774373	1.1239548568501707e-15	7.946360837930707e-13	26.237268113698228
APH1A	6.215024793459171	8.75136858650431	38.01738657922734	1.6440601894546718e-14	9.132754352420702e-12	23.76258621671272
TM2D3	6.710915250515757	8.999313815032602	25.37848006168445	2.6720566778864337e-12	1.1544769324401552e-9	18.745394599210833
MFGM	1.7840670212148797	15.87675956601248	25.245384855668178	2.8539419676349884e-12	1.168163509594595e-9	18.678545923025105
AINX	1.273764888369921	15.838204556927446	24.24466134741212	4.734219803492155e-12	1.6885258110116068e-9	18.163519947396516
IL18	2.654041854731873	14.44142928420164	24.227388919545994	4.7765935247853094e-12	1.6885258110116068e-9	18.1544330292911
NFL	1.3574495246602347	15.10463704136098	23.768691877215662	6.0655461042301596e-12	1.965489668858248e-9	17.910571325492036
PKP2	1.46216147462922	13.149313376658371	22.080177551742654	1.5207423342698308e-11	4.5487742821601824e-9	16.96823340411673
SYTL1	5.6252104299467804	8.456461404748115	21.497221974973158	2.1216083579924963e-11	5.892767214324158e-9	16.625381119222936
PLXD1	1.4740579078504001	14.254766122985746	21.33360178664082	2.3330467764302068e-11	6.048034926765906e-9	16.527428298567948
NEUM	1.8493416959426252	16.503318697526318	20.92701313375409	2.9632130566503e-11	7.433841271473995e-9	16.280643994730575
QOR	1.0018658010266808	16.963793298458214	20.488028951776716	3.855170940250191e-11	9.369270125726792e-9	16.008636347816683
PEG10	1.8226838965477132	13.611754384300857	20.256574917170365	4.4384724164259464e-11	1.045999999471048e-8	15.862824052020988
LRAT2	1.446798944150926	14.772352227822156	20.05166530656834	5.034531983931961e-11	1.1515751540893783e-8	15.732318307975325
