Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	LFQ.intensity.female_1	LFQ.intensity.female_3	LFQ.intensity.female_5	LFQ.intensity.female_7	LFQ.intensity.female_9	LFQ.intensity.female_11	LFQ.intensity.male_1	LFQ.intensity.male_3	LFQ.intensity.male_5	LFQ.intensity.male_7	LFQ.intensity.male_9	LFQ.intensity.male_11
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	9645.26	12138	9115.92	10806.4	9095.3	11537.1	8523.3	7588.31	10238.7	8802.92	8634.21	6550.97
A0A087X1C5;P10635	A0A087X1C5;P10635	CP2D6_HUMAN;CP2D7_HUMAN	CYP2D6;CYP2D7	Putative cytochrome P450 2D7	45699	28399.3	15464.7	22829.9	20078.7	24122.4	22163.2	21730.9	19354.3	17629.9	27829	16843.3
A0A096LP01	A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	4614	4309.18	3700.24	3898.08	3711.12	4519.38	5664.45	5167.99	5446.81	4772.72	6531.51	4538.96
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	61925.1	67222.2	65727.2	79687.2	82139	74992	85953.4	73574.1	75772	79231.9	68762	84362.5
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	5916.84	8831.19	15655.8	19656.8	17834.6	10092.7	26544.9	18430.4	23722.4	22346.7	13722.7	24544
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47			674.097	420.583	460.613	282.535	946.343	820	976.336	788.234	368.111	810.585
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56	4765.44	5231.26	4348.73	3111.21	4002.64	4987.91	4608.25	4055.92	2842.87	4086.46	4927.44	3874.86
A0AVI4	A0AVI4	TM129_HUMAN	TMEM129	E3 ubiquitin-protein ligase TM129	1757.62	2196.16	1934.17	2324.95	2458.53	2437.55	2915.25	3513.07	2620.15	2474.51	4917.67	3825.3
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	49727.9	64056.3	67523.7	70778.3	65656.9	69182.6	68438.4	64101.2	64622.9	71476.5	59825.6	65002.6
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	41337.7	47136.6	43018.7	36760.3	39737.2	44402	41823.7	52801.3	44618	41892.3	49064.2	47414.6
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	2127.15	3309.2	3504.84	3783.89	3674.7	2716.17	3780.7	2981.04	3378.25	3339.28	3491.84	3807.23
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	20149.8	18418	16450.1	18689.1	18437	17364	43561.2	36487.1	42052	44918.3	47127.2	45793.3
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	7206.75	8361.31	8176.77	4556.45	6985.08	8448.99	6045.98	7563.46	8521.32	6679.56	6452.32	4877.38
A0PJZ3	A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	1284.2	2712.65	2179.1	2809.3	1841.49	2790.82	1664.13	2778.82	2991.42	2219.97	2100.01	1818.9
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2466.19		3575.22	2213.06	1829.27	3408.29	4810.14	2744.56	3633.71	4070.08	3143.58	1830.36
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	5510.89	5758.85	6134.12	6154.79	5895.68	7325.14	7545.9	7305.22	7454.69	7542.82	6906.44	7052.04
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23	10428.9	14959.1	12448.3	12322.6	13573.4	14373.3	9384.48	10272.9	10790.7	9435.5	10301.4	7750.8
A1IGU5	A1IGU5	ARH37_HUMAN	ARHGEF37	Rho guanine nucleotide exchange factor 37	2329.41	1708.77				1384.16						
A1L020	A1L020;Q86XN8;Q6ZN04;Q5U5Q3	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	6939.17	5742.66	6080.98	6031.13	5503.31	5608.67	6104.88	5795.39	6188.42	6378.63	6911.93	6985.22
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	12540.5	13527.6	14851.7	11763	12367.4	14325	15794.8	15573.9	13378.1	17037.3	13908.3	18074.4
A1L157	A1L157	TSN11_HUMAN	TSPAN11	Tetraspanin-11	1442.79	764.87	952.08	635.052	417.641	995.645	636.798	720.265	766.464	728.172	1025.22	704.727
A1L170	A1L170	CA226_HUMAN	C1orf226	Uncharacterized protein C1orf226	1725.26	1498.57	947.556	1170.22	1384.29	925.144		594.136	871.494	1245.89	823.359	1466.55
A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8			3334.8	3113.34	2134.06		6361.25	3051.27	5280.25	6637.87		4854.99
