Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d
A0A075B6H7;A0A0C4DH55;P01624	A0A075B6H7;P01624;A0A0C4DH55	KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3-7;IGKV3D-7	Probable non-functional immunoglobulin kappa variable 3-7			418.358		303.616	396.814	265.638	220.669	850.775	1838.56	964.718	377.428	446.293	2755.58	226.542	515.827	604.471		463.37	759.505	439.108		1111.05		359.124	1443.89	798.439	2879.22	3024.95	868.213	1438.57		1105.14	2264.58	307.722	2086.14
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	635.389	966.742	482.446	183.223	781.512	730.278	798.522	934.909	641.058	447.652	404.795			658.87	917.12	1020.27	955.318	982.509	564.262	504.06	543.246	218.138	1377.98	918.206	542.225	581.899		661.312	202.179	486.966	604.824	462.791	307.878	637.288	1149.96	549.693
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	699.54	734.807	561.146	616.314	821.505	1208.76	582.798	809.797	464.305	1109.39	367.695		587.252	838.255	490.836			717.758	491.316	842.336	726.697	849.822		917.153	535.112	586.648	249.432	382.814	672.056	641.17		858.044		540.344		530.276
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	343.12	714.496	362.119	270.004	271.284	218.94	312.124	117.37	388.045	278.313	460.94		555.744		239.918	490.408	207.168		621.656	477.778	526.997	196.083	455.77		682.883	136.157	125.41	256.259		243.186		274.8			197.505	
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	302.193		523.698	266.697	469.583	267.808	594.958	231.922	279.683	64.8422	397.95	472.98		160.565	514.812	670.865		362.771	271.032		410.26	368.848	364.554	469.238	279.588	432.354				87.3966	221.239	166.518		301.456	498.574	273.323
A1X283;Q5TCZ1	Q5TCZ1;A1X283	SPD2A_HUMAN;SPD2B_HUMAN	SH3PXD2A;SH3PXD2B	SH3 and PX domain-containing protein 2B	503.896			385.27	206.486	436.802			186.226					468.089	198.546				137.86	188.743	331.173			114.499	331.222											
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex		189.268		328.486	170.075	252.142	1055.67		263.01	555.174		493.349			803.186			425.723	1327.47	287.321			403.38				197.183	577.762			348.481	144.508				
A2RUR9;Q8IYA2	Q8IYA2;A2RUR9	C144A_HUMAN;C144C_HUMAN	CCDC144A;CCDC144CP	Coiled-coil domain-containing protein 144A	978.595	1380.56	1196.23	1183.68		1707.27	978.142	1439.45	392.543	1361.67	2187.71	1780.71	2181.18	2388.78	1013.48	1048.35	1235.34	2230.45	783.358	1080.87	854.79	2306.3	1608.12	946.648	1504.85	1376.1	1673.19	1374.94	1370.11	1155.16		729.272	1163.04	797.409	747.406	605.258
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5			466.27	1263.11	385.095	692.63	315.729			571.194	713.379		330.032		593.966	139.342	476.283			440.537	450.413				932.313	807.12	534.841	237.636		343.553	530.238	819.454		913.15		
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	94.2295	324.686	170.168		121.688	254.426	143.524	71.9756	224.343	193.141	383.202				226.373					296.241	255.639					300.941	262.635			187.933	80.3262	237.542		144.746		274.354
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8;Q9H492	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2		219.485						233.755	230.555						126.923				344.104		422.828					202.594		639.631			448.474					
