file	sample	sample_name	condition	replicate
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	female_1	female_1	female	1
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	female_2	female_2	female	2
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	female_3	female_3	female	3
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	female_4	female_4	female	4
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	female_5	female_5	female	5
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	female_6	female_6	female	6
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	male_1	male_1	male	1
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	male_2	male_2	male	2
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	male_3	male_3	male	3
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	male_4	male_4	male	4
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	male_5	male_5	male	5
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	male_6	male_6	male	6
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	male_7	male_7	male	7
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	male_8	male_8	male	8
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	male_9	male_9	male	9
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	male_10	male_10	male	10
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	male_11	male_11	male	11
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	male_12	male_12	male	12
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	male_13	male_13	male	13
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	male_14	male_14	male	14
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	male_15	male_15	male	15
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	male_16	male_16	male	16
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	male_17	male_17	male	17
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	male_18	male_18	male	18
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	male_19	male_19	male	19
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	male_20	male_20	male	20
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	male_21	male_21	male	21
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	male_22	male_22	male	22
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	male_23	male_23	male	23
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d	male_24	male_24	male	24
