file	sample	sample_name	condition	replicate
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	day6diff_1	day6diff_1	day6diff_PC12	1
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	day6diff_2	day6diff_2	day6diff_PC12	2
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	day6diff_3	day6diff_3	day6diff_PC12	3
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	day6diff_4	day6diff_4	day6diff_PC12	4
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	day6diff_5	day6diff_5	day6diff_PC12	5
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	day6diff_6	day6diff_6	day6diff_PC12	6
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	day6diff_7	day6diff_7	day6diff_PC12	7
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	day6diff_8	day6diff_8	day6diff_PC12	8
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	day6diff_9	day6diff_9	day6diff_PC12	9
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	day6diff_10	day6diff_10	day6diff_PC12	10
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	day6diff_11	day6diff_11	day6diff_PC12	11
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-244_3839.d	day6diff_12	day6diff_12	day6diff_PC12	12
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	day6diff_13	day6diff_13	day6diff_PC12	13
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	day6diff_14	day6diff_14	day6diff_PC12	14
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	day6diff_15	day6diff_15	day6diff_PC12	15
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-315_3845.d	day6diff_16	day6diff_16	day6diff_PC12	16
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-316_3846.d	day6diff_17	day6diff_17	day6diff_PC12	17
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-317_3847.d	day6diff_18	day6diff_18	day6diff_PC12	18
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-318_3848.d	day6diff_19	day6diff_19	day6diff_PC12	19
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_2-29-2024_Slot1-272_3997.d	day6diff_20	day6diff_20	day6diff_PC12	20
D:\LucyC\20240302_PC12_SC_SCP_DIA\Lucy_day6diff_PC12_SC_DIA_3-1-2024_Slot1-273_3999.d	day6diff_21	day6diff_21	day6diff_PC12	21
