file	sample	sample_name	condition	replicate
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-111_4034.d	female_1	female_1	female	1
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-112_4035.d	female_2	female_2	female	2
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-114_4038.d	female_3	female_3	female	3
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-115_4040.d	female_4	female_4	female	4
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-116_4041.d	female_5	female_5	female	5
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-117_4043.d	female_6	female_6	female	6
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-118_4044.d	female_7	female_7	female	7
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-123_4046.d	female_8	female_8	female	8
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-124_4047.d	female_9	female_9	female	9
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-125_4049.d	female_10	female_10	female	10
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-126_4050.d	female_11	female_11	female	11
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-128_4052.d	female_12	female_12	female	12
D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-131_4056.d	female_13	female_13	female	13
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	female_14	female_14	female	14
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	female_15	female_15	female	15
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	female_16	female_16	female	16
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	female_17	female_17	female	17
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	female_18	female_18	female	18
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	male_1	male_1	male	1
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	male_2	male_2	male	2
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	male_3	male_3	male	3
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	male_4	male_4	male	4
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	male_5	male_5	male	5
D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	male_6	male_6	male	6
