Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-111_4034.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-112_4035.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-113_4037.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-114_4038.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-115_4040.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-116_4041.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-117_4043.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-118_4044.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-123_4046.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-124_4047.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-125_4049.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-126_4050.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-128_4052.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-129_4053.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-130_4055.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-131_4056.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B																																																1286	2171.13	1449.85	1186.33	1592.74
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	13046.6			6834.23	3247.85		9843.23	4306.38		4178.02	6981.31	4431.97	6162.14			3344.68			3869.28			2350.22	3836.26	6293.04	11889.3	10162.7	8564.47	8037.29	4863.74	18723.3		3817.04		8608.21	10217.5	11250.7		2507.49	6685.64		5871.7	7250.66	11741.7	3891.31	5089.26	8232.52	6369.95	5364.46	2319.29	2199.56	5361.62	3382.59
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1																								1235.44															1154.24									1170.66	535.461	1378.46	911.674	1542.75
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47																																																18.0064			20.9708	77.3998
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56																																																445.741	787.025	449.623	326.319	507.856
A0AVI4	A0AVI4	TM129_HUMAN	TMEM129	E3 ubiquitin-protein ligase TM129																																																	65.7674			
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6		5926.05		6015.55	4515.36		4813.15	3075.89	3002.63	3746.21		3886.28	4345.23	3020.66		4769.54		6256.16	5343.68			3856.1	4191.39	4312.97		3350.22	4199.4	4885.75	5580.93	4803.81	8987.25	6169.13		4124.09			3811.39	6034.51	3364.54	4421.44	3729.41		5863.12	3948.46	5286	5936.94	7281.46	5334.01	6218.94	5835.96	5556	6780.21
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	2050.15	854.203		2608.53		3316.62	3181.1			1658.94	4129.24	4218.81	3550.93			2666.98		2299.41	2422.34	2733.51		4280.16	3336.26	3621.99		4463.03	1690.95	2319.55	3016.55	3061.53		3057.05		3028.3	2448.23	2159.55	2803.85	1813.08	2720.28	2981.37	3122.14	2714.69	3881.36	2059.77	4146.38	3901.89	6942.58	2528.08	3820.8	3552.06	4089.86	3617.37
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like																																																	171.968	97.9095	111.354	119.628
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1										1486.33						1745.76																11246.1			2065.64			2656.16								4293.2		1594.46	1842.58	4613.22	3534.22	4921.99
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223																																										1437.37					2510.29	696.509	1112.15	873.128	1037.69	1014.11
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23					5354.01																												5097.75															1595.04	1396.37	1268.58	1236.75	1370.74
A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A																							5843.64																									290.48	455.501	312.446	277.498	408.484
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2													2219.43																												4029.49							508.368	1003.92	854.277	936.739	936.604
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	616.171			1322.47			1654.42	7966.96		4136.77		1831.75	5045.15			4610.95	86519.8							1180.23			4270.2		2109.52	2848.32		6788.4						4487.67					8522.11		5170.4	3183.85	4612.44	3469.55	4103.22	3256.97	3097.68	3290.74
A1XBS5	A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1																																																134.667	299.695	208.47	100.317	301.32
A2AJT9	A2AJT9	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3																																																279.091	312.078	419.186	445.205	379.818
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	1751.31	3661.36		1399.15	1912.6		2766.37			1939.1	4876.46	2050.2	3543.08								9611.87			4101	7006.19	5186.25		8139.47		1769.57						4154.47			2964.11		4509.83				5934.21	6323.02	18371.8	661.538	1350.93	874.308	963.87	936.145
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic																																																328.976	376.88	519.774	502.075	479.752
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B																																																246	291.689	143.854	231.294	391.255
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5				1537.81																																												535.831	829.819	756.846	464.271	815.515
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3																																																394.72	435.733	323.423	307.604	390.723
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	6355																								2208.5	18888.1			2913.13									5483.17			1907.43	1459.94	4106.73				1249.81	1188.36	1834.42	1506.04	1787.18	1781.28
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1				3559.9										24716.7			6001.82		2074.41																							2270.82		1695.24				855.279	981.323	742.011	741.369	953.024
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10										2252.74	2967.27					749.648																																723.745	1060.4	1092.64	1128.48	1321.63
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91							1154.12																																					1845.38				732.717	1192.11	684.594	610.023	807.157
A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1																																																501.824	393.12	463.651	245.272	545.385
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11	Myotubularin-related protein 11	2169.57	2064.7	5050.77	4001.07		3691.83							4620.44			3742.41												3356.08	5725.63					4315.45												1727.16			3896	3288.3	6909.12	3728.5
A5A3E0	Q6S8J3;A5A3E0;P0CG38;P0CG39;Q9BYX7	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F							2259.66									1622.87																															5224.59	980.691	2411.58	1256.82	1249.89	1244.82
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C										626.536		1535.87																						1402.08											1422.88			1539.93	1879.95	1666.9	1335.22	2006.56
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase																																																857.518	1917.57	1392.72	1414.2	1539.25
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13																																																775.285	1736.89	1273.14	893.165	1751.91
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1				3646.81	4081.77		2211.89	8695.31		4761.58		2385.16				1494.87				3885.92		3865.94	8057.94					6798.36				3328.63						5726.95	10115.5	6310.28	2467.93		5962.09	4137	10005.7	3149.99	5694.11	1597.94	2621.09	1816.91	1772.69	2085.08
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2				1214.34	4271.71		2131.49	4348.28	3159.51	6765.93		2183.84	2022.33			6487.16		1508.85	3898.36				2023.82			2518.15	3998.93	4981.96	7128.56	47692.8					111977		26323.3				4050.07					16609.9	14601.6	19887.7	22740.9	23418	24352.2	26957.1
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G																																																207.62	201.593	241.665	212.013	286.2
