file	sample	sample_name	condition	replicate
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	w229E_1	w229E_1	w229E	1
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	w229E_2	w229E_2	w229E	2
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	w229E_3	w229E_3	w229E	3
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	w229E_4	w229E_4	w229E	4
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	w229E_5	w229E_5	w229E	5
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	w229E_6	w229E_6	w229E	6
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	w229E_7	w229E_7	w229E	7
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	w229E_8	w229E_8	w229E	8
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	control_1	control_1	control	1
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	control_2	control_2	control	2
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	control_3	control_3	control	3
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	control_4	control_4	control	4
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	control_5	control_5	control	5
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	control_6	control_6	control	6
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	control_7	control_7	control	7
D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d	control_8	control_8	control	8
