Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-13_13150.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-14_13151.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-15_13152.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-16_13153.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-17_13154.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-18_13155.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-2-2024_Slot2-19_13156.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-20_13157.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-21_13158.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-02_13141.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-03_13142.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot2-01_13140.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-04_13143.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-05_13144.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-06_13145.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-07_13146.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-08_13147.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-09_13148.d
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	7013.03	6105.49	5338.8	8893.26	4819.86	6244.15	11435.1	13648.8	13508.4	2632.89	4430	4924.18	2853.58	3072.51	2728.46	3981.58	2279.6	3223.19
A0A087X1C5;P10635	A0A087X1C5;P10635	CP2D6_HUMAN;CP2D7_HUMAN	CYP2D6;CYP2D7	Putative cytochrome P450 2D7	16502.7	5136.7	9069.7	5966.97	5285.25	6568.84	12881.7		4062.48	28513	20851.2	8094.67	20571.6	25669.7	20331.5	26337.1	14655.8	23050.5
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	7575.1	3373.97	2914.29	3386.09	3617.27	5110.3	93808.4	74525.9	73542.8	102463	90350.5		88216.2	98905.6	93970.1	107487	101088	99733.5
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1592.15		1165.63	1711.66	1185.65	2065.26	5219.17	2916.31	3460.6	8778.89	14218.4	1666.77	13447.9	13832.9	11292.4	15769.4	15915.4	11572.1
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56	7441.74	7893.33	7650.66	5991.07	7322.45	7233.03	7126.59	7814.48	6302.91	3858.24		6001.36						
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	79850.9	76600.3	80484.4	83986	76141.1	81869.6	62954.4	54605.1	58460.7	45707.1	49134	70568.7	49298.4	48012.1	48651.8	52290.6	49156.1	48599.5
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	59204.5	61212.5	58514.2	58182.2	56803.5	58861.8	47723.5	43929.3	45956.2	45779.7	43612.5	57514	39760	38971.7	44974.5	39258.3	42171.4	42144.3
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	3114.22	3418.15	2606.01	3148.59	3248.61	2922.82	2725.29	3208.17	2312.93	1019.9	805.458	3702.45	714.563	936.481		1502.59	728.038	1307.91
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	10073.6	9389.87	9482.81	10329.2	10599.8	10432.6	20354.4	18256.9	19162.2	5838.22	4531.92	9430.49	5969.89	5960.32	5208.73	4322.42	4831.89	4694.06
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	2160.04			5303		3784.07	5086.49		3499.58	9329.48	9529.3	5253.26	7646.06	8815.98	9662.71	10277.7	8007.5	8898.5
A0PJZ3	A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2	4230.14	3883.54	2927.41	4455.64	2074.23	3521.02	608.228		778.138			1685.66						
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	2753.94	4425.82	3699.43	2803.02	3966.08	2904.18			2736.29			2460.19		1905.63				
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	9662.95	9136.67	10860.7	11080.6	9759.51	10101.7	6704.58	6331.87	6916.94	7845.15	7884.6	12117.4	7720.01	8583.17	7478.7	8157.94	6824.15	7984.56
