"ProteinID","f_control_1_imputed_intensity","f_control_2_imputed_intensity","f_control_3_imputed_intensity","f_wvirus_1_imputed_intensity","f_wvirus_2_imputed_intensity","f_wvirus_3_imputed_intensity","m_control_1_imputed_intensity","m_control_2_imputed_intensity","m_control_3_imputed_intensity","m_wvirus_1_imputed_intensity","m_wvirus_2_imputed_intensity","m_wvirus_3_imputed_intensity"
"NUDT4B","13.5254474000849","13.460865403846","13.6382096266336","14.5768917301619","14.4700550830503","14.3256497829409","12.8098605546799","12.4372058875514","12.486249279075","13.8170735889602","13.7461153834804","14.1900406999077"
"CYP2D6","13.8016679467247","13.2980768914668","10.0631672539762","13.6157905404438","10.4476568200567","10.4576718871565","11.5933771159758","13.8527245604477","10.1034159761269","10.1082540619176","13.4268805995022","10.1765120114579"
"SMIM26","11.6138861319291","11.5339380280693","11.6375984734217","11.6393135730671","10.6460207171771","10.6558343937881","12.0915081143046","12.1516540007283","11.9434452125376","12.2140428206729","12.0968963034514","12.4229635417364"
"GATD3","10.1403840846821","11.9774301964068","12.9351355764724","15.9125081277861","15.6223435786865","15.6838499429994","12.3313424551797","13.0286692898351","12.6010464739687","15.1765121176792","15.0452007988643","15.6662961357519"
"PIGBOS1","10.3360787574276","10.0521613950037","10.2576883752963","11.9077169029623","10.8829333930865","11.6550029204368","10.6583364632946","9.18719368975113","10.2202573926148","12.8014577850774","12.9223688371188","13.562934026879"
"C10orf143","16.4797029115779","15.0348247493173","14.9253040790376","15.2092896214162","15.0832798626163","11.7290771211201","15.8560509940437","16.0514298834153","16.5864733222084","16.5692474364038","16.4993305023286","14.6865880667021"
"RBM47","11.2152781698747","10.2460438577578","11.3112094591683","10.7976047895399","11.7203541699002","10.8362310039241","10.1538218965845","10.1050835015133","10.2981235500878","10.8676339634895","11.8063079442836","11.5127305880603"
"TTC26","15.5862182070918","15.5215390993448","15.5770038879935","15.0912328856981","14.7389366816761","14.3713818907495","15.2741924896876","15.3955374824681","15.3033383984635","14.9550641023696","14.7555135360379","13.9754718440578"
"TMEM129","9.78203336038619","10.6284090849693","10.9454657839043","10.1958840940579","10.8266006625067","10.8714956938525","10.1716396871012","8.29437262076469","9.52646989588817","10.3109956095417","10.1125760549941","10.3817383779296"
"UBA6","17.3044671918342","17.0962621825443","17.2073766267026","16.9145136047822","16.676673352465","16.6405273911523","16.9729461407337","17.0671612245296","17.0582666003519","16.7224873710083","16.6866783362681","16.5798536066685"
