Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-209_4256.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-210_4257.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-211_4258.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-213_4260.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-219_4267.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-220_4268.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-221_4269.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-12-2024_Slot1-222_4289.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-52_4249.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-53_4250.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-54_4251.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-55_4252.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-56_4253.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-74_4264.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-75_4265.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-76_4266.d
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49		19081.4								6768.15						
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"		11712.9	18719.4	9300.83		10178.4					14965.1	21191.8				
A0A1B0GUT2;Q86YN6	Q86YN6;A0A1B0GUT2	CJ143_HUMAN;PRGC2_HUMAN	C10orf143;PPARGC1B	Uncharacterized protein C10orf143			16195.6	10603.4	13603.2							8736.69				
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6		25295.7	14555.8	16442.1	19493.1	19815.6	16977.5	17270.6	18054.2	12229	15734.5	10837.8	8701.68	17061.1	18512.6	17616.9
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2		16914.8	16232.5	7619.89	8719.32				6875.29	8595.69		12557.4				
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2					3625.78											
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	25079.9							6015.81	22905.7		33077.4			11647.7		7568.86
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex		6135.77	6973.19	4583.38											27597.3	
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8				6697.78							10186.3					
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1											9908.42		11592.6			
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10				7035.25												
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91														4707.33		
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1				10235.1		7522.61			27508.8							
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase				7411.25			30098.2	23306.3			9235.28				42160	
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2			7486.02		12468.8											
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1		8093.49		4703.82		20427.8	56444.6	20222						20515.8		
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2											11832.4					
A6NI56	A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154		40472.7	23305.8	28661.6	11479.2		19934.8		30981.4	48038.6	30516.1	11977.6				
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B				10055.1		12218.3								13367.5		
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11		6133.87														
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C									9801.35							
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8					19422.5											
A8CG34	Q6PJE2;A8CG34;Q96HA1	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C						11287.8				27326.1						
