file	sample	sample_name	condition	replicate
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-07_4449.d	female_control_1	female_control_1	female_control	1
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-07_4462.d	female_control_2	female_control_2	female_control	2
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-07_4475.d	female_control_3	female_control_3	female_control	3
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-08_4450.d	female_control_4	female_control_4	female_control	4
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-08_4463.d	female_control_5	female_control_5	female_control	5
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_30ng_15min_3-19-2024_Slot2-08_4476.d	female_control_6	female_control_6	female_control	6
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_10ng_15min_3-18-2024_Slot2-09_4451.d	female_control_7	female_control_7	female_control	7
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_20ng_15min_3-19-2024_Slot2-09_4464.d	female_control_8	female_control_8	female_control	8
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_30ng_15min_3-19-2024_Slot2-09_4477.d	female_control_9	female_control_9	female_control	9
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_10ng_15min_3-18-2024_Slot2-10_4452.d	female_virus_1	female_virus_1	female_virus	1
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_20ng_15min_3-19-2024_Slot2-10_4465.d	female_virus_2	female_virus_2	female_virus	2
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_30ng_15min_3-19-2024_Slot2-10_4478.d	female_virus_3	female_virus_3	female_virus	3
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4453.d	female_virus_4	female_virus_4	female_virus	4
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4466.d	female_virus_5	female_virus_5	female_virus	5
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4479.d	female_virus_6	female_virus_6	female_virus	6
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4454.d	female_virus_7	female_virus_7	female_virus	7
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4467.d	female_virus_8	female_virus_8	female_virus	8
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4480.d	female_virus_9	female_virus_9	female_virus	9
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-01_4443.d	male_control_1	male_control_1	male_control	1
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-01_4456.d	male_control_2	male_control_2	male_control	2
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-01_4469.d	male_control_3	male_control_3	male_control	3
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-02_4444.d	male_control_4	male_control_4	male_control	4
D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-02_4457.d	male_control_5	male_control_5	male_control	5
