gene	GO_id	GO_term	definition	synonym	gene_product	annotation_extention	additional_terms
SMO	GO:0021542	dentate gyrus development	Protein smoothened	SMOH	protein	NA	NA
SMO	GO:0021696	cerebellar cortex morphogenesis	Protein smoothened	SMOH	protein	NA	NA
SMO	GO:0021794	thalamus development	Protein smoothened	SMOH	protein	NA	NA
SMO	GO:0021987	cerebral cortex development	Protein smoothened	SMOH	protein	NA	NA
SMO	GO:0048853	forebrain morphogenesis	Protein smoothened	SMOH	protein	NA	NA
LAMC1	GO:0035633	maintenance of blood-brain barrier	Laminin subunit gamma-1	LAMB2	protein	NA	NA
TACC3	GO:0021987	cerebral cortex development	Transforming acidic coiled-coil-containing protein 3	ERIC1	protein	NA	NA
SOX2	GO:0021983	pituitary gland development	Transcription factor SOX-2	NA	protein	NA	NA
SOX2	GO:0021984	adenohypophysis development	Transcription factor SOX-2	NA	protein	NA	NA
SOX2	GO:0030900	forebrain development	Transcription factor SOX-2	NA	protein	NA	NA
SOX2	GO:0030900	forebrain development	Transcription factor SOX-2	NA	protein	NA	NA
SOX2	GO:0007420	brain development	Transcription factor SOX-2	NA	protein	NA	NA
ABCA3	GO:0005886	plasma membrane	Phospholipid-transporting ATPase ABCA3	ABC3	protein	brain microvascular endothelial cell|endothelial cell of umbilical vein	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium|epithelial cell|cell|protein-containing material entity|disconnected anatomical group|anatomical conduit|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|blood vessel endothelium|tissue|endothelium|circulatory system|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|venous blood vessel|anatomical entity|anatomical cluster|cardiovascular system endothelium|endothelial cell of umbilical vein|endothelial cell|barrier cell|endothelial cell of vascular tree|meso-epithelium|lining cell|squamous epithelial cell|meso-epithelial cell|multicellular anatomical structure|blood vessel endothelial cell|biological entity|vascular system|umbilical vein|epithelium|mesoderm-derived structure|venous system|anatomical structure|multicellular organism|anatomical system|simple squamous epithelium|material anatomical entity|vasculature|vein|vein endothelial cell|umbilical blood vessel
RHOA	GO:0021762	substantia nigra development	Transforming protein RhoA	ARH12|ARHA|RHO12	protein	NA	NA
