file	sample	sample_name	condition	replicate
D:\Data\Lucy\20231130_astro_Exploris\400_LucyC_astro_A10_75ng.raw	female_33_1_1	female_33_1_1	female	1
D:\Data\Lucy\20231130_astro_Exploris\401_LucyC_astro_A11_75ng.raw	female_33_2_2	female_33_2_2	female	2
D:\Data\Lucy\20231130_astro_Exploris\402_LucyC_astro_A12_75ng.raw	female_33_3_3	female_33_3_3	female	3
D:\Data\Lucy\20231130_astro_Exploris\393_LucyC_astro_A4_75ng.raw	female_37_1_1	female_37_1_1	female	1
D:\Data\Lucy\20231130_astro_Exploris\394_LucyC_astro_A5_75ng.raw	female_37_2_2	female_37_2_2	female	2
D:\Data\Lucy\20231130_astro_Exploris\395_LucyC_astro_A6_75ng.raw	female_37_3_3	female_37_3_3	female	3
D:\Data\Lucy\20231130_astro_Exploris\397_LucyC_astro_A7_75ng.raw	male_33_1_1	male_33_1_1	male	1
D:\Data\Lucy\20231130_astro_Exploris\398_LucyC_astro_A8_75ng.raw	male_33_2_2	male_33_2_2	male	2
D:\Data\Lucy\20231130_astro_Exploris\399_LucyC_astro_A9_75ng.raw	male_33_3_3	male_33_3_3	male	3
D:\Data\Lucy\20231130_astro_Exploris\390_LucyC_astro_A1_75ng.raw	male_37_1_1	male_37_1_1	male	1
D:\Data\Lucy\20231130_astro_Exploris\391_LucyC_astro_A2_75ng.raw	male_37_2_2	male_37_2_2	male	2
D:\Data\Lucy\20231130_astro_Exploris\392_LucyC_astro_A3_75ng.raw	male_37_3_3	male_37_3_3	male	3
