file	sample	sample_name	condition	replicate
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\232_LucyC_MDAMB_A1_100ng.raw	232_LucyC_MDAMB_A1_100ng_1	232_LucyC_MDAMB_A1_100ng_1	232	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\233_LucyC_MDAMB_A2_100ng.raw	233_LucyC_MDAMB_A2_100ng_2	233_LucyC_MDAMB_A2_100ng_2	233	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\234_LucyC_MDAMB_A3_100ng.raw	234_LucyC_MDAMB_A3_100ng_3	234_LucyC_MDAMB_A3_100ng_3	234	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\235_LucyC_MDAMB_A4_100ng.raw	235_LucyC_MDAMB_A4_100ng_1	235_LucyC_MDAMB_A4_100ng_1	235	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\236_LucyC_MDAMB_A5_100ng.raw	236_LucyC_MDAMB_A5_100ng_2	236_LucyC_MDAMB_A5_100ng_2	236	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\237_LucyC_MDAMB_A6_100ng.raw	237_LucyC_MDAMB_A6_100ng_3	237_LucyC_MDAMB_A6_100ng_3	237	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\238_LucyC_MDAMB_A7_100ng.raw	238_LucyC_MDAMB_A7_100ng_1	238_LucyC_MDAMB_A7_100ng_1	238	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\239_LucyC_MDAMB_A8_100ng.raw	239_LucyC_MDAMB_A8_100ng_2	239_LucyC_MDAMB_A8_100ng_2	239	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\243_LucyC_MDAMB_A9_100ng.raw	243_LucyC_MDAMB_A9_100ng_3	243_LucyC_MDAMB_A9_100ng_3	243	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\244_LucyC_MDAMB_A10_100ng.raw	244_LucyC_MDAMB_A10_100ng_1	244_LucyC_MDAMB_A10_100ng_1	244	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\245_LucyC_MDAMB_A11_100ng.raw	245_LucyC_MDAMB_A11_100ng_2	245_LucyC_MDAMB_A11_100ng_2	245	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\246_LucyC_MDAMB_A12_100ng.raw	246_LucyC_MDAMB_A12_100ng_3	246_LucyC_MDAMB_A12_100ng_3	246	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\247_LucyC_MDAMB_B1_100ng.raw	247_LucyC_MDAMB_B1_100ng_1	247_LucyC_MDAMB_B1_100ng_1	247	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\248_LucyC_MDAMB_B2_100ng.raw	248_LucyC_MDAMB_B2_100ng_2	248_LucyC_MDAMB_B2_100ng_2	248	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\249_LucyC_MDAMB_B3_100ng.raw	249_LucyC_MDAMB_B3_100ng_3	249_LucyC_MDAMB_B3_100ng_3	249	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\250_LucyC_MDAMB_B4_100ng.raw	250_LucyC_MDAMB_B4_100ng_1	250_LucyC_MDAMB_B4_100ng_1	250	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\251_LucyC_MDAMB_B5_100ng.raw	251_LucyC_MDAMB_B5_100ng_2	251_LucyC_MDAMB_B5_100ng_2	251	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\252_LucyC_MDAMB_B6_100ng.raw	252_LucyC_MDAMB_B6_100ng_3	252_LucyC_MDAMB_B6_100ng_3	252	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\256_LucyC_MDAMB_B7_100ng.raw	256_LucyC_MDAMB_B7_100ng_1	256_LucyC_MDAMB_B7_100ng_1	256	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\257_LucyC_MDAMB_B8_100ng.raw	257_LucyC_MDAMB_B8_100ng_2	257_LucyC_MDAMB_B8_100ng_2	257	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\258_LucyC_MDAMB_B9_100ng.raw	258_LucyC_MDAMB_B9_100ng_3	258_LucyC_MDAMB_B9_100ng_3	258	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\259_LucyC_MDAMB_B10_100ng.raw	259_LucyC_MDAMB_B10_100ng_1	259_LucyC_MDAMB_B10_100ng_1	259	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\260_LucyC_MDAMB_B11_100ng.raw	260_LucyC_MDAMB_B11_100ng_2	260_LucyC_MDAMB_B11_100ng_2	260	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\261_LucyC_MDAMB_B12_100ng.raw	261_LucyC_MDAMB_B12_100ng_3	261_LucyC_MDAMB_B12_100ng_3	261	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\262_LucyC_MDAMB_C1_100ng.raw	262_LucyC_MDAMB_C1_100ng_1	262_LucyC_MDAMB_C1_100ng_1	262	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\263_LucyC_MDAMB_C2_100ng.raw	263_LucyC_MDAMB_C2_100ng_2	263_LucyC_MDAMB_C2_100ng_2	263	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\264_LucyC_MDAMB_C3_100ng.raw	264_LucyC_MDAMB_C3_100ng_3	264_LucyC_MDAMB_C3_100ng_3	264	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\268_LucyC_MDAMB_C4_100ng.raw	268_LucyC_MDAMB_C4_100ng_1	268_LucyC_MDAMB_C4_100ng_1	268	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\269_LucyC_MDAMB_C5_100ng.raw	269_LucyC_MDAMB_C5_100ng_2	269_LucyC_MDAMB_C5_100ng_2	269	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\270_LucyC_MDAMB_C6_100ng.raw	270_LucyC_MDAMB_C6_100ng_3	270_LucyC_MDAMB_C6_100ng_3	270	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\271_LucyC_MDAMB_C7_100ng.raw	271_LucyC_MDAMB_C7_100ng_1	271_LucyC_MDAMB_C7_100ng_1	271	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\272_LucyC_MDAMB_C8_100ng.raw	272_LucyC_MDAMB_C8_100ng_2	272_LucyC_MDAMB_C8_100ng_2	272	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\273_LucyC_MDAMB_C9_100ng.raw	273_LucyC_MDAMB_C9_100ng_3	273_LucyC_MDAMB_C9_100ng_3	273	3
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\274_LucyC_MDAMB_C10_100ng.raw	274_LucyC_MDAMB_C10_100ng_1	274_LucyC_MDAMB_C10_100ng_1	274	1
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\275_LucyC_MDAMB_C11_100ng.raw	275_LucyC_MDAMB_C11_100ng_2	275_LucyC_MDAMB_C11_100ng_2	275	2
D:\Data\Lucy\20231027_MDAMB_DDA_Exploris\276_LucyC_MDAMB_C12_100ng.raw	276_LucyC_MDAMB_C12_100ng_3	276_LucyC_MDAMB_C12_100ng_3	276	3
