file	sample	condition	replicate	sample_name
D:\Data\Lucy\20230925_229E-astro\data\236_LucyC_m48_100ng.raw	236_LucyC_m48_100ng_3	236_LucyC_m48_100ng_3	3	236_LucyC_m48_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\235_LucyC_m24_100ng.raw	235_LucyC_m24_100ng_2	235_LucyC_m24_100ng_2	2	235_LucyC_m24_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\234_LucyC_m12_100ng.raw	234_LucyC_m12_100ng_1	234_LucyC_m12_100ng_1	1	234_LucyC_m12_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\232_LucyC_96hpi2_100ng.raw	232_LucyC_96hpi2_100ng_2	232_LucyC_96hpi2_100ng_2	2	232_LucyC_96hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\231_LucyC_96hpi1_100ng.raw	231_LucyC_96hpi1_100ng_1	231_LucyC_96hpi1_100ng_1	1	231_LucyC_96hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\229_LucyC_48hpi3_100ng.raw	229_LucyC_48hpi3_100ng_3	229_LucyC_48hpi3_100ng_3	3	229_LucyC_48hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\228_LucyC_48hpi2_100ng.raw	228_LucyC_48hpi2_100ng_2	228_LucyC_48hpi2_100ng_2	2	228_LucyC_48hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\227_LucyC_48hpi1_100ng.raw	227_LucyC_48hpi1_100ng_1	227_LucyC_48hpi1_100ng_1	1	227_LucyC_48hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\225_LucyC_24hpi3_100ng.raw	225_LucyC_24hpi3_100ng_3	225_LucyC_24hpi3_100ng_3	3	225_LucyC_24hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\224_LucyC_24hpi2_100ng.raw	224_LucyC_24hpi2_100ng_2	224_LucyC_24hpi2_100ng_2	2	224_LucyC_24hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\223_LucyC_24hpi1_100ng.raw	223_LucyC_24hpi1_100ng_1	223_LucyC_24hpi1_100ng_1	1	223_LucyC_24hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\221_LucyC_12hpi3_100ng.raw	221_LucyC_12hpi3_100ng_3	221_LucyC_12hpi3_100ng_3	3	221_LucyC_12hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\220_LucyC_12hpi2_100ng.raw	220_LucyC_12hpi2_100ng_2	220_LucyC_12hpi2_100ng_2	2	220_LucyC_12hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\218_LucyC_12hpi1_100ng.raw	218_LucyC_12hpi1_100ng_1	218_LucyC_12hpi1_100ng_1	1	218_LucyC_12hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\217_LucyC_6hpi3_100ng.raw	217_LucyC_6hpi3_100ng_3	217_LucyC_6hpi3_100ng_3	3	217_LucyC_6hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\216_LucyC_6hpi2_100ng.raw	216_LucyC_6hpi2_100ng_2	216_LucyC_6hpi2_100ng_2	2	216_LucyC_6hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\215_LucyC_6hpi1_100ng.raw	215_LucyC_6hpi1_100ng_1	215_LucyC_6hpi1_100ng_1	1	215_LucyC_6hpi1_100ng_1
