file	sample	condition	replicate	sample_name
D:\Data\Lucy\20230925_229E-astro\data\236_LucyC_m48_100ng.raw	X236_LucyC_m48_100ng_3.Total.Intensity	F_mock48	3	236_LucyC_m48_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\235_LucyC_m24_100ng.raw	X235_LucyC_m24_100ng_2.Total.Intensity	F_mock24	2	235_LucyC_m24_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\234_LucyC_m12_100ng.raw	X234_LucyC_m12_100ng_1.Total.Intensity	F_mock12	1	234_LucyC_m12_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\232_LucyC_96hpi2_100ng.raw	X232_LucyC_96hpi2_100ng_2.Total.Intensity	F_96hpi2	2	232_LucyC_96hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\231_LucyC_96hpi1_100ng.raw	X231_LucyC_96hpi1_100ng_1.Total.Intensity	F_96hpi1	1	231_LucyC_96hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\229_LucyC_48hpi3_100ng.raw	X229_LucyC_48hpi3_100ng_3.Total.Intensity	F_48hpi3	3	229_LucyC_48hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\228_LucyC_48hpi2_100ng.raw	X228_LucyC_48hpi2_100ng_2.Total.Intensity	F_48hpi2	2	228_LucyC_48hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\227_LucyC_48hpi1_100ng.raw	X227_LucyC_48hpi1_100ng_1.Total.Intensity	F_48hpi1	1	227_LucyC_48hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\225_LucyC_24hpi3_100ng.raw	X225_LucyC_24hpi3_100ng_3.Total.Intensity	F_24hpi3	3	225_LucyC_24hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\224_LucyC_24hpi2_100ng.raw	X224_LucyC_24hpi2_100ng_2.Total.Intensity	F_24hpi2	2	224_LucyC_24hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\223_LucyC_24hpi1_100ng.raw	X223_LucyC_24hpi1_100ng_1.Total.Intensity	F_24hpi1	1	223_LucyC_24hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\221_LucyC_12hpi3_100ng.raw	X221_LucyC_12hpi3_100ng_3.Total.Intensity	F_12hpi3	3	221_LucyC_12hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\220_LucyC_12hpi2_100ng.raw	X220_LucyC_12hpi2_100ng_2.Total.Intensity	F_12hpi2	2	220_LucyC_12hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\218_LucyC_12hpi1_100ng.raw	X218_LucyC_12hpi1_100ng_1.Total.Intensity	F_12hpi1	1	218_LucyC_12hpi1_100ng_1
D:\Data\Lucy\20230925_229E-astro\data\217_LucyC_6hpi3_100ng.raw	X217_LucyC_6hpi3_100ng_3.Total.Intensity	F_6hpi3	3	217_LucyC_6hpi3_100ng_3
D:\Data\Lucy\20230925_229E-astro\data\216_LucyC_6hpi2_100ng.raw	X216_LucyC_6hpi2_100ng_2.Total.Intensity	F_6hpi2	2	216_LucyC_6hpi2_100ng_2
D:\Data\Lucy\20230925_229E-astro\data\215_LucyC_6hpi1_100ng.raw	X215_LucyC_6hpi1_100ng_1.Total.Intensity	F_6hpi1	1	215_LucyC_6hpi1_100ng_1
