file	sample	sample_name	condition	replicate
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-07_9785.d	day0_1	day0_1	day0	1
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-08_9786.d	day0_2	day0_2	day0	2
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-09_9787.d	day0_3	day0_3	day0	3
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-10_9788.d	day0_4	day0_4	day0	4
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-11_9789.d	day0_5	day0_5	day0	5
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-12_9790.d	day0_6	day0_6	day0	6
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-13_9795.d	day2_1	day2_1	day2	1
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-14_9796.d	day2_2	day2_2	day2	2
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-15_9797.d	day2_3	day2_3	day2	3
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-16_9798.d	day2_4	day2_4	day2	4
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-17_9799.d	day2_5	day2_5	day2	5
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-18_9800.d	day2_6	day2_6	day2	6
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-19_9805.d	day4_1	day4_1	day4	1
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-20_9806.d	day4_2	day4_2	day4	2
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-21_9807.d	day4_3	day4_3	day4	3
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-22_9808.d	day4_4	day4_4	day4	4
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-23_9809.d	day4_5	day4_5	day4	5
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-24_9810.d	day4_6	day4_6	day4	6
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-25_9815.d	day6_1	day6_1	day6	1
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-26_9816.d	day6_2	day6_2	day6	2
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-27_9817.d	day6_3	day6_3	day6	3
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-28_9818.d	day6_4	day6_4	day6	4
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-29_9819.d	day6_5	day6_5	day6	5
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-30_9820.d	day6_6	day6_6	day6	6
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-01_9780.d	control_1	control_1	control	1
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-02_9775.d	control_2	control_2	control	2
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-03_9776.d	control_3	control_3	control	3
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-04_9777.d	control_4	control_4	control	4
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-05_9778.d	control_5	control_5	control	5
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-06_9779.d	control_6	control_6	control	6
D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-31_9825.d	floating_1	floating_1	floating	1
