file	sample	sample_name	condition	replicate
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	day6_diff_1	day6_diff_1	day6_diff	1
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	day6_diff_2	day6_diff_2	day6_diff	2
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	day6_diff_3	day6_diff_3	day6_diff	3
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	day6_diff_4	day6_diff_4	day6_diff	4
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	day6_diff_5	day6_diff_5	day6_diff	5
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	day6_diff_6	day6_diff_6	day6_diff	6
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	day6_diff_7	day6_diff_7	day6_diff	7
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	day6_diff_8	day6_diff_8	day6_diff	8
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	day6_diff_9	day6_diff_9	day6_diff	9
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	day6_diff_10	day6_diff_10	day6_diff	10
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	day6_diff_11	day6_diff_11	day6_diff	11
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	day6_diff_12	day6_diff_12	day6_diff	12
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	day6_diff_13	day6_diff_13	day6_diff	13
E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	day6_diff_14	day6_diff_14	day6_diff	14
