file	sample	sample_name	condition	replicate	polyIC10ug	polyIC1ug	lipo	sex
D:\Data\Lucy\20240102_polyC_astro_Exploris\376_LucyC_polyC_astro_F_A10_75ng.raw	f_10ug_polyIC_1	f_10ug_polyIC_1	f_10ug	1	YES	NO	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\377_LucyC_polyC_astro_F_A11_75ng.raw	f_10ug_polyIC_2	f_10ug_polyIC_2	f_10ug	2	YES	NO	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\378_LucyC_polyC_astro_F_A12_75ng.raw	f_10ug_polyIC_3	f_10ug_polyIC_3	f_10ug	3	YES	NO	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\370_LucyC_polyC_astro_F_A7_75ng.raw	f_1ug_polyIC_1	f_1ug_polyIC_1	f_1ug	1	NO	YES	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\371_LucyC_polyC_astro_F_A8_75ng.raw	f_1ug_polyIC_2	f_1ug_polyIC_2	f_1ug	2	NO	YES	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\375_LucyC_polyC_astro_F_A9_75ng.raw	f_1ug_polyIC_3	f_1ug_polyIC_3	f_1ug	3	NO	YES	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\364_LucyC_polyC_astro_F_A1_75ng.raw	f_control_1	f_control_1	f_control	1	NO	NO	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\365_LucyC_polyC_astro_F_A2_75ng.raw	f_control_2	f_control_2	f_control	2	NO	NO	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\366_LucyC_polyC_astro_F_A3_75ng.raw	f_control_3	f_control_3	f_control	3	NO	NO	NO	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\367_LucyC_polyC_astro_F_A4_75ng.raw	f_lipo_1	f_lipo_1	f_lipo	1	NO	NO	YES	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\368_LucyC_polyC_astro_F_A5_75ng.raw	f_lipo_2	f_lipo_2	f_lipo	2	NO	NO	YES	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\369_LucyC_polyC_astro_F_A6_75ng.raw	f_lipo_3	f_lipo_3	f_lipo	3	NO	NO	YES	F
D:\Data\Lucy\20240102_polyC_astro_Exploris\391_LucyC_polyC_astro_M_B10_75ng.raw	m_10ug_polyIC_1	m_10ug_polyIC_1	m_10ug	1	YES	NO	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\392_LucyC_polyC_astro_M_B11_75ng.raw	m_10ug_polyIC_2	m_10ug_polyIC_2	m_10ug	2	YES	NO	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\393_LucyC_polyC_astro_M_B12_75ng.raw	m_10ug_polyIC_3	m_10ug_polyIC_3	m_10ug	3	YES	NO	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\388_LucyC_polyC_astro_M_B7_75ng.raw	m_1ug_polyIC_1	m_1ug_polyIC_1	m_1ug	1	NO	YES	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\389_LucyC_polyC_astro_M_B8_75ng.raw	m_1ug_polyIC_2	m_1ug_polyIC_2	m_1ug	2	NO	YES	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\390_LucyC_polyC_astro_M_B9_75ng.raw	m_1ug_polyIC_3	m_1ug_polyIC_3	m_1ug	3	NO	YES	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\379_LucyC_polyC_astro_M_B1_75ng.raw	m_control_1	m_control_1	m_control	1	NO	NO	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\380_LucyC_polyC_astro_M_B2_75ng.raw	m_control_2	m_control_2	m_control	2	NO	NO	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\381_LucyC_polyC_astro_M_B3_75ng.raw	m_control_3	m_control_3	m_control	3	NO	NO	NO	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\382_LucyC_polyC_astro_M_B4_75ng.raw	m_lipo_1	m_lipo_1	m_lipo	1	NO	NO	YES	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\386_LucyC_polyC_astro_M_B5_75ng.raw	m_lipo_2	m_lipo_2	m_lipo	2	NO	NO	YES	M
D:\Data\Lucy\20240102_polyC_astro_Exploris\387_LucyC_polyC_astro_M_B6_75ng.raw	m_lipo_3	m_lipo_3	m_lipo	3	NO	NO	YES	M
