file	sample	sample_name	condition	replicate
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\3_LucyC_MDAMB_A1_100ng.raw	control_468_1	control_468_1	control	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\4_LucyC_MDAMB_A2_100ng.raw	drug_468_1	drug_468_1	drug	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\5_LucyC_MDAMB_A3_100ng.raw	low_468_1	low_468_1	low	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\6_LucyC_MDAMB_A4_100ng.raw	low_drug_468_1	low_drug_468_1	low	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\7_LucyC_MDAMB_A5_100ng.raw	control_468_42hr_1	control_468_42hr_1	control	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\8_LucyC_MDAMB_A6_100ng.raw	drug_468_42hr_1	drug_468_42hr_1	drug	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\9_LucyC_MDAMB_A7_100ng.raw	low_468_42hr_1	low_468_42hr_1	low	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\10_LucyC_MDAMB_A8_100ng.raw	low_drug_468_42hr_1	low_drug_468_42hr_1	low	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\11_LucyC_MDAMB_A9_100ng.raw	control_231_1	control_231_1	control	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\15_LucyC_MDAMB_A10_100ng.raw	drug_231_1	drug_231_1	drug	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\16_LucyC_MDAMB_A11_100ng.raw	low_231_1	low_231_1	low	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\17_LucyC_MDAMB_A12_100ng.raw	low_drug_231_1	low_drug_231_1	low	1
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\18_LucyC_MDAMB_B1_100ng.raw	control_468_2	control_468_2	control	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\19_LucyC_MDAMB_B2_100ng.raw	drug_468_2	drug_468_2	drug	2
D:\Data\Lucy\20231106_MDAMB_re-elute_DDA_Exploris\20_LucyC_MDAMB_B3_100ng.raw	low_468_2	low_468_2	low	2
