file	sample	sample_name	condition	replicate
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\199_Osei_MP_3c36_1_A10_100ng.raw	MP3c36_1	MP3c36_1	MP3c36	1
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\203_Osei_MP_3c36_2_A11_100ng.raw	MP3c36_2	MP3c36_2	MP3c36	2
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\204_Osei_MP_3c36_3_A12_100ng.raw	MP3c36_3	MP3c36_3	MP3c36	3
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\208_Osei_MP_Cont_1_B4_100ng.raw	MPCont_1	MPCont_1	MPCont	1
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\209_Osei_MP_Cont_2_B5_100ng.raw	MPCont_2	MPCont_2	MPCont	2
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\210_Osei_MP_Cont_3_B6_100ng.raw	MPCont_3	MPCont_3	MPCont	3
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\205_Osei_MP_Inact_1_B1_100ng.raw	MPInact_1	MPInact_1	MPInact	1
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\206_Osei_MP_Inact_2_B2_100ng.raw	MPInact_2	MPInact_2	MPInact	2
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\207_Osei_MP_Inact_3_B3_100ng.raw	MPInact_3	MPInact_3	MPInact	3
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\223_Osei_MSP1_1_C4_100ng.raw	MSP1_1	MSP1_1	MSP1	1
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\224_Osei_MSP1_2_C5_100ng.raw	MSP1_2	MSP1_2	MSP1	2
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\225_Osei_MSP1_3_C6_100ng.raw	MSP1_3	MSP1_3	MSP1	3
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\229_Osei_MSP2_1_C7_100ng.raw	MSP2_1	MSP2_1	MSP2	1
F:\Data\Osei\20240423_Varroa_Small_MSP\Varroa_MSP_Small_Large\231_Osei_MSP2_3_C9_100ng.raw	MSP2_3	MSP2_3	MSP2	3
