Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-195_3581.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-196_3582.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-11-2024_Slot1-197_3584.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-198_3585.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-199_3587.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-200_3588.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-201_3603.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-202_3604.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-203_3605.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-204_3607.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-12-2024_Slot1-205_3608.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_1.5ul_2-13-2024_Slot1-206_3609.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-195_3592.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-196_3593.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-197_3595.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-198_3596.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-199_3598.d	E:\Lucy\20240130_A549_SCP\Lucy_A549_wDDM_DIA_2ul_2-12-2024_Slot1-200_3599.d
A0A0A0MS04	A0A0A0MS04	TVB67_HUMAN	TRBV6-7	Probable non-functional T cell receptor beta variable 6-7				389.004				258.982										
A0A0B4J271	A0A0B4J271	TVAL3_HUMAN	TRAV12-3	T cell receptor alpha variable 12-3			1195.78	1530.93			374.126											
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial			1240.46		365.755	324.929	316.009	386.856	1123.22		233.94	341.939						
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6			91.6181	695.092		343.569	220.233					461.302						
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2		779.119	566.457		308.442	995.111	33.9656	956.895	533.769	184.097								
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1			386.118				319.648					307.204						
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10							172.097		232.672			292.805						
A4D1U4	A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11								524.162	716.814									
A5A3E0	A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	6426.9	2625.75	3843.79		3348.97	5879.83	6195.74	4214.84	4746.57	7749.18	4006.42	5276.21						
A6NCC3;F8WBI6;H3BQL2;H3BV12	F8WBI6;H3BV12;H3BQL2;A6NCC3	GOG8N_HUMAN;GOG8O_HUMAN;GOG8Q_HUMAN;GOG8T_HUMAN	GOLGA8N;GOLGA8O;GOLGA8Q;GOLGA8T	Golgin subfamily A member 8O			219.596				642.57					201.688						
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	A6NCW0;C9JPN9;Q0WX57;C9JVI0;D6RA61;C9J2P7;C9JJH3;A8MUK1;D6RBQ6;D6RCP7;D6R9N7;D6R901;D6RJB6;C9JLJ4;Q7RTZ2	U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN	USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3		61482.2	25005.9			22074.7	26032	49634.7	94756.5	33837.9	60342.9	15668.9						
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase			124.444			189.146	151.66					175.935						
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN;WASH4_HUMAN	WASH2P;WASH3P;WASH4P;WASHC1	WASH complex subunit 1							288.258	360.789				218.977						
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1					3820.89						326.747							
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein		444.52	596.877	216.869		580.793	1034.09	266.78				622.045						
B7ZAP0;Q9Y3P9	B7ZAP0;Q9Y3P9	RBG10_HUMAN;RBGP1_HUMAN	RABGAP1;RABGAP1L	Rab GTPase-activating protein 1-like, isoform 10							314.689											
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3	420.884	766.096	768.818	1092.6		1028.74	585.008	1327.68	990.32	957.006	1139.56	983.063						
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		812502	626831	551065	779487	254561	534749	205199	408710	541165	822068	741061	234639						
CONT|P02662|CASA1_BOVIN	CONT|P02662|CASA1_BOVIN	Alpha-S1-casein	Alpha-S1-casein		761.789	755.61	253.611	332.534	2231.26	566.988	311.03	391.159	269.994	892.469	900.92	183.169						
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		2269.39	1628.87	1452.22	2097.35	2013.76	845.712	532.336	637.123	1068.75	945.977	1438.51	455.661						
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein		1820.18	2025.59	1653.34	1338.54	2728.42	2016.27		700.428	1282.99	455.643	2766.07	731.241						
CONT|Q9TTE1|SPA31_BOVIN	CONT|Q9TTE1|SPA31_BOVIN	Serpin	Serpin		571.209	729.529	246.698	74.121		412.169		177.774			436.403	72.4723						
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form						280.103	495.622	95.7584		244.512	454.329	361.858						
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98		66.8453		390.907		364.089	206.346	220.106				217.75						
G2XKQ0;P63165	P63165;G2XKQ0	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	1073.02	724.658			278.206	1196.75	1115.54	756.943	531.078		763.814	916.233						
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein			289.049				128.623	464.972										
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	194.747	243.009			330.884	98.8718	332.284	386.86		401.264	394.077	254.441						
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A		679.087	281.205			759.441	827.126	357.863		376.63		391.451						
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1		513.636	922.482	447.06		2145.9	1860.1	837.537	354.569	375.319		1066.45						
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase		573.863		296.191	459.435	851.361	1095.54	256.624	585.165	341.957	676.839	780.223						
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1682.98	2288.55	2129.19	1704.17	1400.58	2006.14	958.198	1813.2	1783.74	1549.27	1226.35	958.774						
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	114.863	556.854		348.76			92.718	254.728			410.833	99.4892						
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein		603.639					429.732					699.337						
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	222.358	272.307	272.676			381.901		230.029				280.669						
O00194	O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	379.27	1659.14	363.539	1387.41	657.361		421.759	617.111	614.378	970.143	971.203	508.736						
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1		485.701	195.709		147.68		386.142	269.801	605.45	916.683	384.588	347.741						
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	860.443	645.117	535.888	1152.78	319.119	1122.75	1272.91	573.707	419.241	925.119	550.55	1160.22						
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12		1368.33	1142.28	569.917	216.37	1054.31	1523.44	543.086	330.327	711.807		899.878						
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9							301.978	463.103				462.715						
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	463.382						254.409					964.041						
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	841.006	2064.99	2242.74	323.317	722.384	479.58	920.576	947.436	896.636	581.789	1717.47	504.236						
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	242.06				285.659	533.83	337.288	668.211				224.75						
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha						846.579	650.888	359.375				389.264						
O00291	O00291	HIP1_HUMAN	HIP1	Huntingtin-interacting protein 1							70.5758	163.625				104.077						
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1378.99	1195.19	1585.94	1362.12	885.552	2109.48	3152.47	893.138	837.554	1906.3	1591.86	3036.33						
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F			752.636			767.423	1049.66	659.739				808.859						
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	463.039	604.045				492.789	197.443	288.745	229.052	285.516		242.296						
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5						669.167	511.443					388.938						
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3		1152.52					697.938	566.267	614.359			295.159						
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein			446.646			328.993	692.135	306.241				460.71						
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	390.887	841.769	621.717			484.349	314.194	787.393	602.334	1697.68	817.028	325.675						
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	2950.79	1340.36	2907.18	3182.74	784.394	1553.49	1250.98	1495.25	3169.44	2418.92	2227.84	1241.57						
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	907.049	481.694	1043.61		610.189	1178.66	1393.65	849.319	545.694	48.2002		1575.08						
O00505;O00629	O00629;O00505	IMA3_HUMAN;IMA4_HUMAN	KPNA3;KPNA4	Importin subunit alpha-4												232.56						
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog	700.233	501.445	1027.95	153.941		577.229	371.06	595.88		583.446	381.005	352.228						
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	1117.44	1698.5	1648.45	2101.6	852.141	1097.78	963.551	1046.56	943.781	1561.01	883.339	577.405						
O00571	Q9NQI0;O15523;O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	3094.13	1369.29	851.412		322.536	1057.52	834.556	380.54	360.55	6610.17		1130.83						
