ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
ANGP2	-7.4053463478484804	9.346529363698963	-145.2315723644134	6.48746151860847e-22	4.572760997997842e-18	35.539592264351704
IL33	-7.48055985946372	9.384136119506582	-138.61110240315062	1.175970425099098e-21	4.572760997997842e-18	35.31665728451402
GSTT1	7.384610566211367	9.336161472880407	130.59689102371308	2.5125506128257893e-21	6.513368705315388e-18	35.01208928752463
NKX21	7.201807015486919	9.244759697518184	119.9118725178179	7.458084280951181e-21	1.4500380363239334e-17	34.535234188698865
DRB5	9.885652489499984	10.586682434524716	94.30046324242119	1.5932314790183727e-19	2.478112242465177e-16	32.92856440470269
CH3L1	-8.106349783276247	9.697031081412847	-89.73275443133807	2.998798415341566e-19	3.88694254601856e-16	32.54755047221041
DPPA4	6.071428323214702	8.679570351382074	60.19183269677558	4.830740316297271e-17	5.3669524914062677e-14	28.91638945444023
CHP3	6.854047961193126	9.070880170371286	59.34837851861191	5.78005423971237e-17	5.6189352277803876e-14	28.77140160978921
PPR1C	5.874931986072348	8.581322182810899	53.36588500203584	2.230242241386865e-16	1.9271771012517388e-13	27.64872542834439
ENTP2	-5.692931780436284	8.490322079992866	-47.15360008524984	1.0733425757643322e-15	7.946360837930707e-13	26.278396145668374
CRF	5.184806528846868	12.391072767000944	46.9826727774373	1.1239548568501707e-15	7.946360837930707e-13	26.237268113698228
SNED1	-6.693535293682164	8.990623836615805	-46.13590929339583	1.4156436826452841e-15	9.174550766610312e-13	26.030554719114186
AL1A1	-3.3337788822827625	16.885326647388936	-38.287469984606545	1.5032052746165894e-14	8.992636477456321e-12	23.84749975634631
APH1A	6.215024793459171	8.75136858650431	38.01738657922734	1.6440601894546718e-14	9.132754352420702e-12	23.76258621671272
LPXN	-4.55294879178853	7.920330585668989	-33.997471293776016	6.751246785571997e-14	3.5002964167595614e-11	22.405649884766923
CALB1	-2.8478539598075105	18.186066460359058	-32.19195425960872	1.3441329769273603e-13	6.533326350977551e-11	21.73307565807786
POSTN	-1.8762756661338063	15.319385705781125	-25.8806312075121	2.090403426972996e-12	9.562980853864112e-10	18.994253764973266
TM2D3	6.710915250515757	8.999313815032602	25.37848006168445	2.6720566778864337e-12	1.1544769324401552e-9	18.745394599210833
MFGM	1.7840670212148797	15.87675956601248	25.245384855668178	2.8539419676349884e-12	1.168163509594595e-9	18.678545923025105
CO1A1	-1.7976980147893877	18.722382502953543	-24.621201329493378	3.90424317042602e-12	1.5181649568201581e-9	18.359923516891946
AINX	1.273764888369921	15.838204556927446	24.24466134741212	4.734219803492155e-12	1.6885258110116068e-9	18.163519947396516
IL18	2.654041854731873	14.44142928420164	24.227388919545994	4.7765935247853094e-12	1.6885258110116068e-9	18.1544330292911
RTN1	-1.7845788668653157	17.467325062709648	-23.769705315763076	6.062316003046971e-12	1.965489668858248e-9	17.911115579136172
NFL	1.3574495246602347	15.10463704136098	23.768691877215662	6.0655461042301596e-12	1.965489668858248e-9	17.910571325492036
ITA7	-1.0895633499025463	16.05867282626765	-22.615672380467043	1.1282063528069213e-11	3.509624322311771e-9	17.27501116647411
PKP2	1.46216147462922	13.149313376658371	22.080177551742654	1.5207423342698308e-11	4.5487742821601824e-9	16.96823340411673
CNTP3	-1.386811554129989	13.379734070720254	-21.6768620541046	1.9129763836074528e-11	5.51008049456117e-9	16.732044923692236
SYTL1	5.6252104299467804	8.456461404748115	21.497221974973158	2.1216083579924963e-11	5.892767214324158e-9	16.625381119222936
EFHD2	-1.3789366133700798	16.305606079983587	-21.409993417077512	2.2316361311880844e-11	5.984632480086114e-9	16.573256631426673
PLXD1	1.4740579078504001	14.254766122985746	21.33360178664082	2.3330467764302068e-11	6.048034926765906e-9	16.527428298567948
NEUM	1.8493416959426252	16.503318697526318	20.92701313375409	2.9632130566503e-11	7.433841271473995e-9	16.280643994730575
QOR	1.0018658010266808	16.963793298458214	20.488028951776716	3.855170940250191e-11	9.369270125726792e-9	16.008636347816683
PEG10	1.8226838965477132	13.611754384300857	20.256574917170365	4.4384724164259464e-11	1.045999999471048e-8	15.862824052020988
LRAT2	1.446798944150926	14.772352227822156	20.05166530656834	5.034531983931961e-11	1.1515751540893783e-8	15.732318307975325
GDPD2	-2.0918019043354628	11.197190613197881	-20.001049402648317	5.194675208697549e-11	1.1542568313725953e-8	15.699873601506587
CO1A2	-1.4015566487449367	17.24405676987188	-19.76291498387779	6.025287535292145e-11	1.3016294767213059e-8	15.546109411663606
SRBS1	-1.0978372627107484	13.92069134048683	-19.259620452466134	8.290195287037317e-11	1.7425094256024115e-8	15.214905642733358
EAA1	-2.0691966828047805	14.49359726850239	-19.138633204407004	8.961618340894571e-11	1.8340659430825546e-8	15.133994652351396
DPYL5	1.4514543831965931	15.015454971577192	19.032137597671152	9.601150741719839e-11	1.8874815577177246e-8	15.062351202403827
SLIT2	1.5163108135006218	12.220365528182493	19.015088133955974	9.708018813001026e-11	1.8874815577177246e-8	15.050844285202059
RFIP1	1.6436663432098801	14.587261660226329	18.622036242915744	1.2562904511281254e-10	2.3829684971764466e-8	14.782681801410265
RFLA	-1.3636072656621192	14.930413108090885	-18.373993256587895	1.4821292869307345e-10	2.7444093963000765e-8	14.610546783412472
NIBA1	-1.3842218173913854	16.038594992506606	-17.381725372210113	2.9337325837965796e-10	4.797652064118092e-8	13.898262079086605
GLT17	1.03208598923845	12.676354910726142	17.355773168375013	2.988029919933938e-10	4.797652064118092e-8	13.87910334336261
AF1L2	-1.3210765806378046	13.93434660420788	-17.32432571678585	3.055276713208007e-10	4.797652064118092e-8	13.855850443960987
MMAB	-1.150729147890526	13.865468610899264	-17.316320561584863	3.0726534650351684e-10	4.797652064118092e-8	13.849924708372429
HEPH	-2.0080161010939164	12.570314573545604	-17.28913394956839	3.1324651296793225e-10	4.797652064118092e-8	13.82978018413869
SHOT1	1.245120967232359	14.775419301515178	17.284261722440917	3.143315907248666e-10	4.797652064118092e-8	13.826166744703167
CO3A1	-1.6697425008058524	14.005804029268521	-17.03652406231108	3.7520535283369274e-10	5.611484671130055e-8	13.641118541036311
NQO2	-1.5738177089577565	13.65946443679588	-16.981939900525123	3.90253483778637e-10	5.726417628955584e-8	13.599996222566164
GFAP	-1.2379075685124896	20.433512655534926	-16.752495774331116	4.6098866967569086e-10	6.51837978921427e-8	13.425729795307197
RIR2	1.0548320276220153	13.136616140981596	16.461970957863183	5.709658494677841e-10	7.929288234483851e-8	13.201741718265543
IL1AP	1.2980710814333631	13.965108017395194	16.250405967988605	6.686927448064737e-10	9.123549958526221e-8	13.036229759297397
ALK	1.5582203009468831	12.095440833437221	15.999101729533328	8.087249450870137e-10	1.0843886030933975e-7	12.836932150325419
5NTD	1.11006124763544	17.922442967415403	15.892294871394528	8.775149577415435e-10	1.1566836993823702e-7	12.7513243129275
HHIP	-1.0320624157625762	13.11791016066208	-15.210038623858916	1.4961289409818058e-9	1.9392324623359173e-7	12.191280821764073
KAT3	1.317676318308539	16.226991019573607	15.067931517351077	1.6765398291549049e-9	2.1161965266894892e-7	12.071660351771603
LTBP2	-1.2757003206964903	14.237232315007954	-14.705123032656038	2.252059170292181e-9	2.7800419313273477e-7	11.761417351407777
MGP	-1.6173952150207385	13.453653084184184	-14.551986668305913	2.5558198274255437e-9	3.065247484699163e-7	11.628328089054966
CAVN2	-1.0576024269979378	14.76986640976523	-14.456589530712623	2.767094666954828e-9	3.2118948096877165e-07	11.544762682932996
NFIX	-1.0310858443830269	13.42064496028498	-13.75339053413132	5.043466446015748e-9	5.447644243147843e-7	10.912660415718333
ENTP3	-1.32244933469803	12.960266977589393	-13.636503171389585	5.587322703542651e-9	5.952412145952218e-7	10.804743229345101
MEG10	-1.585042132347427	12.210706975459015	-13.617061003051612	5.683735966445729e-9	5.973299271763301e-7	10.786711819770934
DPB1	1.063869467424343	14.440491929496067	13.518705461175449	6.199629558317121e-9	6.18134859936311e-7	10.69513466469443
CAH3	-1.4911912159245746	12.015516215670768	-13.126894278593094	8.812641715652205e-9	8.675432230712304e-7	10.324265709468827
VAT1L	1.1589699784338188	13.314036653490078	13.038845112045887	9.549439610060628e-9	9.056828274078233e-7	10.23955929482702
MGMT	1.332531665871321	12.31269477866076	12.971091495374793	1.0161351213672679e-8	9.521063661293063e-7	10.174029941183695
DRB1	1.2801346218593637	15.86059868667274	12.886809454776005	1.0981878236161163e-8	1.0047772593250043e-6	10.092088377872019
OCAD2	1.1814159609078603	17.856407137761565	12.313657130298841	1.8845839596065066e-8	1.5759580057913766e-6	9.521947592443693
STXB2	1.109655539119405	13.194091227313278	12.229583754434563	2.0436402635097784e-8	1.6907862052463348e-6	9.436367037798172
FILA	-1.3580892890245477	16.979364457685627	-12.211600967891073	2.079495496208574e-8	1.6965888086456424e-6	9.41799538115349
FADS2	1.0032200031787954	15.084953696600461	12.196642695147073	2.109834219599423e-8	1.6965888086456424e-6	9.402695705346067
PRR36	1.2890918681300472	13.633637235600206	12.193582030991978	2.116100224233346e-8	1.6965888086456424e-6	9.39956317504551
GPR39	-1.3208559835453229	13.33840301928438	-12.164336539630957	2.1769898980698607e-8	1.7275969833968681e-6	9.3695964743840765
SYUG	1.0215903321316595	12.778659236720769	12.141979077102306	2.2248049237124658e-8	1.7477078678496815e-6	9.346645433696873
XCT	1.3707699377389844	11.947838640470183	12.094388039719673	2.3303769816368582e-8	1.7943902758603808e-6	9.297668538263538
CYGB	-1.4817586712848239	14.59663235040625	-12.079834939325414	2.3637231005139534e-8	1.8022229953624526e-6	9.282658298352933
GMDS	-1.0422088921900359	15.043871540599188	-11.766143231992226	3.222238253760164e-8	2.3203098981011846e-6	8.955257507705673
GDIR2	-1.1420217262859016	14.591883487766903	-11.55634977294163	3.9797028677967604e-8	2.7634061788263753e-6	8.732092384830734
FDFT	1.2610246688980806	14.714334174233477	11.293102862675674	5.210744691409711e-8	3.434234022465536e-6	8.447145534475103
DRA	1.1446450163837902	14.655460866082887	10.391872043017806	1.3660241706968881e-7	7.481387306696971e-6	7.427718929075809
ATS16	1.482700135265354	11.870602316559188	10.367448051665798	1.4034802378112307e-7	7.579767923234681e-6	7.3990983777437105
FAT3	1.0702056189978868	12.283080229926748	10.349734243770946	1.4313325481903968e-7	7.637945515005839e-6	7.378306869805757
PLCB4	1.1513061170000274	12.67200246130085	10.265725385350637	1.5717193468769615e-7	8.203531114538341e-6	7.279309464696359
MAON	1.0952486953839342	14.619458067955858	10.190730078313367	1.7095233132429696e-7	8.65312043700045e-6	7.190382249501694
GPC4	1.183195729143322	16.33145875009976	10.177321043324513	1.7354965138373347e-7	8.707713798782549e-6	7.174426993011581
GPC5C	-1.9166880154020938	11.848325709514084	-10.113639666793231	1.8647414957799516e-7	9.237002938013175e-6	7.098423126963004
DUS23	-1.0825046618259844	14.685850952198168	-10.081925876646494	1.9329125066549228e-7	9.279173187811935e-6	7.060430188541702
ASTN2	-3.510637079953943	7.767986082840636	-10.062999065459724	1.974863123082701e-7	9.339555286420942e-6	7.037710630958195
PNCB	-1.118909121989327	14.896938628350396	-9.812372938317619	2.632329266563481e-7	1.1565889664443044e-5	6.7336251377532115
APBA1	1.1601111181662689	12.238120233297336	9.720705408837778	2.9282828493779325e-7	1.253993996443622e-5	6.6208788986595835
CXAR	1.2337661800159034	14.401498926874782	9.567157045747846	3.50662915779958e-7	1.4429129608575307e-5	6.4301539358814
ASGL1	1.3561092285090022	12.358699078239049	9.553222628348196	3.564852048120916e-7	1.4573894936036259e-5	6.412728712967677
EST1	1.7575126164561135	12.57623675404552	9.490652788205162	3.839320604698013e-7	1.5470671680174322e-5	6.3342417216594615
NEIL2	-1.2114459361310865	12.521311865448624	-9.464384311597524	3.9612021041682724e-7	1.5662912925618524e-5	6.301172155803883
NCHL1	1.146012647031413	12.01155274464163	9.434088518488789	4.106922600000777e-7	1.6050018623219117e-5	6.2629450237957105
NPS3A	1.1076736377532954	16.315957610094568	9.343797505441131	4.5762169974588706e-7	1.7290780856443445e-5	6.14845653267732
HNMT	-1.2712666144582414	13.960683513553027	-9.180810613702555	5.574606483325421e-7	2.016451842828921e-5	5.939643890435818
VLDLR	1.4428567745958496	15.347929098230082	9.076075141796645	6.337240972657839e-7	2.180739957715045e-5	5.803981784647265
LEG9	-1.0142866988016854	12.906296766907138	-9.070804806256884	6.378449696254092e-7	2.1852512461571842e-5	5.797124291218607
PLXA4	-1.1365395565315837	12.327761552183196	-8.939767840851715	7.50067210210148e-7	2.5143416783639312e-5	5.625663999261102
PPIL3	1.0605971256126587	13.595477805415932	8.88855708561722	7.994970845987837e-7	2.6458250327339322e-5	5.558149112676908
CY24A	1.05716295179747	12.497196240714224	8.816130810238494	8.75425468318974e-7	2.8017217560150867e-5	5.46217365638714
PTHR	-1.219407347607473	10.978136001663199	-8.810261850100458	8.819065520708783e-7	2.8108964161701723e-5	5.454371118451391
NRK	1.4009255489511574	11.581902002943528	8.46777321650003	1.3649951727719656e-6	4.0313381104967413e-5	4.9923686445528315
S17A5	1.1019681286536471	13.933819087460199	8.345196259867237	1.6009548490978075e-6	4.54402403701958e-5	4.823768809121411
TMTC1	-5.018263430801804	8.828411131781364	-8.304862439929094	1.687812254019527e-6	4.7216244242841226e-5	4.767909582498493
CDC20	1.0468338253533493	11.28077760427296	8.232417021142894	1.8566778017435677e-6	5.048735407048855e-5	4.667099618962672
CO8A1	1.3703485874247452	16.785653234477078	8.06222118782236	2.3283492231307897e-6	6.11742294198924e-5	4.4278227815478814
SFRP2	-5.336771799818171	9.059460883226397	-7.890875769601411	2.9342422843654755e-6	7.337492683443828e-5	4.183414766438235
ETS1	1.0792535075641052	10.102010970586262	7.868530652004927	3.024863881000687e-6	7.539861026455879e-5	4.151278324024528
TSP2	-5.07666984920148	8.910647151416896	-7.809472451964936	3.279015716751396e-6	8.069906718093546e-5	4.066046710437481
RDH10	-1.2318872862333232	13.476392500534043	-7.757337846383051	3.522279613894934e-6	8.587074782840409e-5	3.990449896055164
RLBP1	-6.290562430748732	9.699334315845276	-7.691467281017317	3.857409897731733e-6	9.174029594697152e-5	3.894453776266708
RNF5	1.2643447647214021	10.290712107965804	7.6623462813168945	4.016231357477274e-6	9.43371566450188e-5	3.8518421910318796
RASF4	1.0139099990073395	11.393210350583587	7.613320414409211	4.2995211369189195e-6	9.922069994604877e-5	3.779864960402291
NADC	1.1050610838123736	14.419470735790222	7.530754717772643	4.825707302988344e-6	1.0878123389953726e-4	3.657963250432461
SPTC3	-5.177356019750253	9.0035996011458	-7.5031690634083095	5.016426871776755e-6	1.1210560856841329e-4	3.6170432589364463
CD34	-1.5402025131283978	11.632589515356043	-7.464497848928479	5.297384750379408e-6	1.1737253904188222e-4	3.559516587040042
TIM9	-1.8338565988784254	11.571828633529327	-7.37281498592196	6.03246561466757e-6	1.2818165323844177e-4	3.422368752996391
ARX	-1.5994629511069816	11.971988828008577	-7.339100608008122	6.329390153008776e-6	1.3375996527160123e-4	3.3716648345989757
GABR2	1.857823845776158	12.166104428167626	7.287210230413248	6.817107011698084e-6	1.4213576737258984e-4	3.2933396327022617
PM34	1.0568593122337635	14.197722319357672	7.2770310309487956	6.9173784821344865e-6	1.4345720654815975e-4	3.277934006927987
DDX3Y	7.471902640455991	10.555092746186425	7.168370312965065	8.090796571426878e-6	0.00016311438257750961	3.112645154437491
TLCD4	1.3025057936057773	12.015194003202273	7.115090852573922	8.741733226006339e-6	0.00017342974310880435	3.031037443860983
CK2N1	-5.181758280313462	9.068752968736442	-6.985075468776683	1.0574829694645779e-5	2.0058646472014688e-4	2.8303309269591477
S35F1	1.4934857320425083	12.461157677794684	6.805413061540224	1.3806927984999024e-5	2.479826303448901e-4	2.5493045896918236
CLGN	-1.0922708076194882	12.367151049696146	-6.782620106119032	1.428641506247577e-5	2.5424588087156536e-4	2.5133448128715727
PCOC1	-5.690325822215344	9.433614811878233	-6.753829974199739	1.4917405473559845e-5	2.6306726160515856e-4	2.4678241585880336
TM164	1.4709634076186149	11.324945880613104	6.563352149075124	1.9910847685059442e-5	3.301634593746424e-4	2.16385182655363
