"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ANGP2"	-7.40534634784848	9.34652936369896	-145.231572364413	6.48746151860847e-22	4.57276099799784e-18	35.5395922643517
"IL33"	-7.48055985946372	9.38413611950658	-138.611102403151	1.1759704250991e-21	4.57276099799784e-18	35.316657284514
"GSTT1"	7.38461056621137	9.33616147288041	130.596891023713	2.51255061282579e-21	6.51336870531539e-18	35.0120892875246
"NKX21"	7.20180701548692	9.24475969751818	119.911872517818	7.45808428095118e-21	1.45003803632393e-17	34.5352341886989
"DRB5"	9.88565248949998	10.5866824345247	94.3004632424212	1.59323147901837e-19	2.47811224246518e-16	32.9285644047027
"CH3L1"	-8.10634978327625	9.69703108141285	-89.7327544313381	2.99879841534157e-19	3.88694254601856e-16	32.5475504722104
"DPPA4"	6.0714283232147	8.67957035138207	60.1918326967756	4.83074031629727e-17	5.36695249140627e-14	28.9163894544402
"CHP3"	6.85404796119313	9.07088017037129	59.3483785186119	5.78005423971237e-17	5.61893522778039e-14	28.7714016097892
"PPR1C"	5.87493198607235	8.5813221828109	53.3658850020358	2.23024224138687e-16	1.92717710125174e-13	27.6487254283444
"ENTP2"	-5.69293178043628	8.49032207999287	-47.1536000852498	1.07334257576433e-15	7.94636083793071e-13	26.2783961456684
"CRF"	5.18480652884687	12.3910727670009	46.9826727774373	1.12395485685017e-15	7.94636083793071e-13	26.2372681136982
"SNED1"	-6.69353529368216	8.99062383661581	-46.1359092933958	1.41564368264528e-15	9.17455076661031e-13	26.0305547191142
"AL1A1"	-3.33377888228276	16.8853266473889	-38.2874699846065	1.50320527461659e-14	8.99263647745632e-12	23.8474997563463
"APH1A"	6.21502479345917	8.75136858650431	38.0173865792273	1.64406018945467e-14	9.1327543524207e-12	23.7625862167127
"LPXN"	-4.55294879178853	7.92033058566899	-33.997471293776	6.751246785572e-14	3.50029641675956e-11	22.4056498847669
"CALB1"	-2.84785395980751	18.1860664603591	-32.1919542596087	1.34413297692736e-13	6.53332635097755e-11	21.7330756580779
"POSTN"	-1.87627566613381	15.3193857057811	-25.8806312075121	2.090403426973e-12	9.56298085386411e-10	18.9942537649733
"TM2D3"	6.71091525051576	8.9993138150326	25.3784800616844	2.67205667788643e-12	1.15447693244016e-09	18.7453945992108
"MFGM"	1.78406702121488	15.8767595660125	25.2453848556682	2.85394196763499e-12	1.16816350959460e-09	18.6785459230251
"CO1A1"	-1.79769801478939	18.7223825029535	-24.6212013294934	3.90424317042602e-12	1.51816495682016e-09	18.3599235168919
"AINX"	1.27376488836992	15.8382045569274	24.2446613474121	4.73421980349216e-12	1.68852581101161e-09	18.1635199473965
"IL18"	2.65404185473187	14.4414292842016	24.227388919546	4.77659352478531e-12	1.68852581101161e-09	18.1544330292911
"RTN1"	-1.78457886686532	17.4673250627096	-23.7697053157631	6.06231600304697e-12	1.96548966885825e-09	17.9111155791362
"NFL"	1.35744952466023	15.104637041361	23.7686918772157	6.06554610423016e-12	1.96548966885825e-09	17.910571325492
"ITA7"	-1.08956334990255	16.0586728262676	-22.615672380467	1.12820635280692e-11	3.50962432231177e-09	17.2750111664741
"PKP2"	1.46216147462922	13.1493133766584	22.0801775517427	1.52074233426983e-11	4.54877428216018e-09	16.9682334041167
"CNTP3"	-1.38681155412999	13.3797340707203	-21.6768620541046	1.91297638360745e-11	5.51008049456117e-09	16.7320449236922
"SYTL1"	5.62521042994678	8.45646140474812	21.4972219749732	2.1216083579925e-11	5.89276721432416e-09	16.6253811192229
"EFHD2"	-1.37893661337008	16.3056060799836	-21.4099934170775	2.23163613118808e-11	5.98463248008611e-09	16.5732566314267
"PLXD1"	1.4740579078504	14.2547661229857	21.3336017866408	2.33304677643021e-11	6.04803492676591e-09	16.5274282985679
"NEUM"	1.84934169594263	16.5033186975263	20.9270131337541	2.9632130566503e-11	7.43384127147399e-09	16.2806439947306
"QOR"	1.00186580102668	16.9637932984582	20.4880289517767	3.85517094025019e-11	9.36927012572679e-09	16.0086363478167
"PEG10"	1.82268389654771	13.6117543843009	20.2565749171704	4.43847241642595e-11	1.04599999947105e-08	15.862824052021
"LRAT2"	1.44679894415093	14.7723522278222	20.0516653065683	5.03453198393196e-11	1.15157515408938e-08	15.7323183079753
"GDPD2"	-2.09180190433546	11.1971906131979	-20.0010494026483	5.19467520869755e-11	1.1542568313726e-08	15.6998736015066
"CO1A2"	-1.40155664874494	17.2440567698719	-19.7629149838778	6.02528753529215e-11	1.30162947672131e-08	15.5461094116636
"SRBS1"	-1.09783726271075	13.9206913404868	-19.2596204524661	8.29019528703732e-11	1.74250942560241e-08	15.2149056427334
"EAA1"	-2.06919668280478	14.4935972685024	-19.138633204407	8.96161834089457e-11	1.83406594308255e-08	15.1339946523514
"DPYL5"	1.45145438319659	15.0154549715772	19.0321375976712	9.60115074171984e-11	1.88748155771772e-08	15.0623512024038
"SLIT2"	1.51631081350062	12.2203655281825	19.015088133956	9.70801881300103e-11	1.88748155771772e-08	15.0508442852021
"RFIP1"	1.64366634320988	14.5872616602263	18.6220362429157	1.25629045112813e-10	2.38296849717645e-08	14.7826818014103
"RFLA"	-1.36360726566212	14.9304131080909	-18.3739932565879	1.48212928693073e-10	2.74440939630008e-08	14.6105467834125
"NIBA1"	-1.38422181739139	16.0385949925066	-17.3817253722101	2.93373258379658e-10	4.79765206411809e-08	13.8982620790866
"GLT17"	1.03208598923845	12.6763549107261	17.355773168375	2.98802991993394e-10	4.79765206411809e-08	13.8791033433626
"AF1L2"	-1.3210765806378	13.9343466042079	-17.3243257167859	3.05527671320801e-10	4.79765206411809e-08	13.855850443961
"MMAB"	-1.15072914789053	13.8654686108993	-17.3163205615849	3.07265346503517e-10	4.79765206411809e-08	13.8499247083724
"HEPH"	-2.00801610109392	12.5703145735456	-17.2891339495684	3.13246512967932e-10	4.79765206411809e-08	13.8297801841387
"SHOT1"	1.24512096723236	14.7754193015152	17.2842617224409	3.14331590724867e-10	4.79765206411809e-08	13.8261667447032
"CO3A1"	-1.66974250080585	14.0058040292685	-17.0365240623111	3.75205352833693e-10	5.61148467113006e-08	13.6411185410363
"NQO2"	-1.57381770895776	13.6594644367959	-16.9819399005251	3.90253483778637e-10	5.72641762895558e-08	13.5999962225662
"GFAP"	-1.23790756851249	20.4335126555349	-16.7524957743311	4.60988669675691e-10	6.51837978921427e-08	13.4257297953072
"RIR2"	1.05483202762202	13.1366161409816	16.4619709578632	5.70965849467784e-10	7.92928823448385e-08	13.2017417182655
"IL1AP"	1.29807108143336	13.9651080173952	16.2504059679886	6.68692744806474e-10	9.12354995852622e-08	13.0362297592974
"ALK"	1.55822030094688	12.0954408334372	15.9991017295333	8.08724945087014e-10	1.0843886030934e-07	12.8369321503254
"5NTD"	1.11006124763544	17.9224429674154	15.8922948713945	8.77514957741543e-10	1.15668369938237e-07	12.7513243129275
"HHIP"	-1.03206241576258	13.1179101606621	-15.2100386238589	1.49612894098181e-09	1.93923246233592e-07	12.1912808217641
"KAT3"	1.31767631830854	16.2269910195736	15.0679315173511	1.6765398291549e-09	2.11619652668949e-07	12.0716603517716
"LTBP2"	-1.27570032069649	14.237232315008	-14.705123032656	2.25205917029218e-09	2.78004193132735e-07	11.7614173514078
"MGP"	-1.61739521502074	13.4536530841842	-14.5519866683059	2.55581982742554e-09	3.06524748469916e-07	11.628328089055
"CAVN2"	-1.05760242699794	14.7698664097652	-14.4565895307126	2.76709466695483e-09	3.21189480968772e-07	11.544762682933
"NFIX"	-1.03108584438303	13.420644960285	-13.7533905341313	5.04346644601575e-09	5.44764424314784e-07	10.9126604157183
"ENTP3"	-1.32244933469803	12.9602669775894	-13.6365031713896	5.58732270354265e-09	5.95241214595222e-07	10.8047432293451
"MEG10"	-1.58504213234743	12.210706975459	-13.6170610030516	5.68373596644573e-09	5.9732992717633e-07	10.7867118197709
"DPB1"	1.06386946742434	14.4404919294961	13.5187054611754	6.19962955831712e-09	6.18134859936311e-07	10.6951346646944
"CAH3"	-1.49119121592457	12.0155162156708	-13.1268942785931	8.8126417156522e-09	8.6754322307123e-07	10.3242657094688
"VAT1L"	1.15896997843382	13.3140366534901	13.0388451120459	9.54943961006063e-09	9.05682827407823e-07	10.239559294827
"MGMT"	1.33253166587132	12.3126947786608	12.9710914953748	1.01613512136727e-08	9.52106366129306e-07	10.1740299411837
"DRB1"	1.28013462185936	15.8605986866727	12.886809454776	1.09818782361612e-08	1.004777259325e-06	10.092088377872
"OCAD2"	1.18141596090786	17.8564071377616	12.3136571302988	1.88458395960651e-08	1.57595800579138e-06	9.52194759244369
"STXB2"	1.1096555391194	13.1940912273133	12.2295837544346	2.04364026350978e-08	1.69078620524633e-06	9.43636703779817
"FILA"	-1.35808928902455	16.9793644576856	-12.2116009678911	2.07949549620857e-08	1.69658880864564e-06	9.41799538115349
"FADS2"	1.0032200031788	15.0849536966005	12.1966426951471	2.10983421959942e-08	1.69658880864564e-06	9.40269570534607
"PRR36"	1.28909186813005	13.6336372356002	12.193582030992	2.11610022423335e-08	1.69658880864564e-06	9.39956317504551
"GPR39"	-1.32085598354532	13.3384030192844	-12.164336539631	2.17698989806986e-08	1.72759698339687e-06	9.36959647438408
"SYUG"	1.02159033213166	12.7786592367208	12.1419790771023	2.22480492371247e-08	1.74770786784968e-06	9.34664543369687
"XCT"	1.37076993773898	11.9478386404702	12.0943880397197	2.33037698163686e-08	1.79439027586038e-06	9.29766853826354
"CYGB"	-1.48175867128482	14.5966323504062	-12.0798349393254	2.36372310051395e-08	1.80222299536245e-06	9.28265829835293
"GMDS"	-1.04220889219004	15.0438715405992	-11.7661432319922	3.22223825376016e-08	2.32030989810118e-06	8.95525750770567
"GDIR2"	-1.1420217262859	14.5918834877669	-11.5563497729416	3.97970286779676e-08	2.76340617882638e-06	8.73209238483073
"FDFT"	1.26102466889808	14.7143341742335	11.2931028626757	5.21074469140971e-08	3.43423402246554e-06	8.4471455344751
"DRA"	1.14464501638379	14.6554608660829	10.3918720430178	1.36602417069689e-07	7.48138730669697e-06	7.42771892907581
"ATS16"	1.48270013526535	11.8706023165592	10.3674480516658	1.40348023781123e-07	7.57976792323468e-06	7.39909837774371
"FAT3"	1.07020561899789	12.2830802299267	10.3497342437709	1.4313325481904e-07	7.63794551500584e-06	7.37830686980576
"PLCB4"	1.15130611700003	12.6720024613009	10.2657253853506	1.57171934687696e-07	8.20353111453834e-06	7.27930946469636
"MAON"	1.09524869538393	14.6194580679559	10.1907300783134	1.70952331324297e-07	8.65312043700045e-06	7.19038224950169
"GPC4"	1.18319572914332	16.3314587500998	10.1773210433245	1.73549651383733e-07	8.70771379878255e-06	7.17442699301158
"GPC5C"	-1.91668801540209	11.8483257095141	-10.1136396667932	1.86474149577995e-07	9.23700293801317e-06	7.098423126963
"DUS23"	-1.08250466182598	14.6858509521982	-10.0819258766465	1.93291250665492e-07	9.27917318781193e-06	7.0604301885417
"ASTN2"	-3.51063707995394	7.76798608284064	-10.0629990654597	1.9748631230827e-07	9.33955528642094e-06	7.03771063095819
"PNCB"	-1.11890912198933	14.8969386283504	-9.81237293831762	2.63232926656348e-07	1.1565889664443e-05	6.73362513775321
"APBA1"	1.16011111816627	12.2381202332973	9.72070540883778	2.92828284937793e-07	1.25399399644362e-05	6.62087889865958
"CXAR"	1.2337661800159	14.4014989268748	9.56715704574785	3.50662915779958e-07	1.44291296085753e-05	6.4301539358814
"ASGL1"	1.356109228509	12.358699078239	9.5532226283482	3.56485204812092e-07	1.45738949360363e-05	6.41272871296768
"EST1"	1.75751261645611	12.5762367540455	9.49065278820516	3.83932060469801e-07	1.54706716801743e-05	6.33424172165946
"NEIL2"	-1.21144593613109	12.5213118654486	-9.46438431159752	3.96120210416827e-07	1.56629129256185e-05	6.30117215580388
"NCHL1"	1.14601264703141	12.0115527446416	9.43408851848879	4.10692260000078e-07	1.60500186232191e-05	6.26294502379571
