"polyIC10ugYES"	"polyIC1ugYES"	"lipoYES"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"sp|P05161|ISG15_HUMAN"	1.7853426025868	1.77449513607171	-0.425753730314232	24.9731311403297	129.635716716701	7.13160545799026e-07	0.00120376458655862
"sp|Q92626|PXDN_HUMAN"	0.664279683463697	-0.473114994629338	-0.154119806083653	25.383300992783	56.966439613272	7.85747119163591e-07	0.00120376458655862
"sp|Q7Z2W4|ZCCHV_HUMAN"	0.931061036952251	0.525895238539839	0.000713158054091217	25.621336342377	47.9268302955315	1.84394210677424e-06	0.00132958691587843
"sp|P05362|ICAM1_HUMAN"	2.53435614724056	2.12193985162241	1.65874401600999	25.1983522814866	96.9382839885347	2.09423466450139e-06	0.00132958691587843
"sp|P04114|APOB_HUMAN"	1.56042076158532	1.1769968558424	1.69612809195031	25.8148945814101	46.3620174918578	2.16969144236036e-06	0.00132958691587843
"sp|P63218|GBG5_HUMAN"	-1.42956704710714	-0.1645105174154	-0.249046954729737	24.9849284878517	80.5308318637754	4.14538944603966e-06	0.00189362748260398
"sp|P0DP23|CALM1_HUMAN"	-1.05282501959156	0.480976252771525	0.284312887345539	30.5110962042127	40.2328401707044	4.3261724472023e-06	0.00189362748260398
"sp|Q08431|MFGM_HUMAN"	0.659921892801164	0.355451949292299	-0.00558713804673278	26.5342743835971	37.4839699661366	6.08594879693617e-06	0.00217170889026219
"sp|P17677|NEUM_HUMAN"	-1.83033337670151	0.120365388134421	-0.308084095327966	27.0378349171414	37.0203420687152	6.46094408526303e-06	0.00217170889026219
"sp|Q8WUW1|BRK1_HUMAN"	-0.896308095966647	-0.167543733873199	-0.185670451617367	26.6070497143824	42.92178047267	7.0878227488975e-06	0.00217170889026219
"sp|P05204|HMGN2_HUMAN"	-0.987654150582569	0.0272337591550832	-0.290957304903733	24.515795970615	34.251250003662	9.37136541456449e-06	0.00239463789286164
"sp|P69905|HBA_HUMAN"	0.672080248280362	-0.0314334047817935	1.18746696710326	27.8248372117776	33.9414163306948	9.78586130175141e-06	0.00239463789286164
"sp|P07996|TSP1_HUMAN"	0.400718464276836	-0.496146881273017	-0.174736980522969	27.1922725967075	33.6748441137174	1.01600171694521e-05	0.00239463789286164
"sp|Q9UPT8|ZC3H4_HUMAN"	-1.23335606959376	0.132628707641484	-0.229850500961058	23.9638192054556	32.4424109130107	1.21274110686905e-05	0.00265417053674768
"sp|Q86SX6|GLRX5_HUMAN"	-1.37026898199809	0.0335214159883178	-0.107325937137317	26.102558543068	54.7594362796385	1.69045599844422e-05	0.00345303811948873
"sp|P67809|YBOX1_HUMAN"	-0.949138991359852	-0.00430291694050538	0.0563238017204515	29.5261370213162	29.7616965079186	1.82139023060451e-05	0.00348796229160764
"sp|P68036|UB2L3_HUMAN"	-1.19624864506828	-0.172002085535789	-0.421846485310131	28.7459942698008	28.5871934583768	2.19924719071186e-05	0.00349072071109381
"sp|Q9BRP8|PYM1_HUMAN"	-0.582493843013596	-0.0216351180275621	0.0829542084434678	26.7083789453023	28.417017526121	2.2614216166827e-05	0.00349072071109381
"sp|Q04323|UBXN1_HUMAN"	-1.0426375190943	0.00102856964934967	0.0590126952085275	26.9258769028599	32.2697795746995	2.47653804240639e-05	0.00349072071109381
"sp|P60660|MYL6_HUMAN"	-0.574192389511386	-0.0615914543514198	0.082121810340008	32.602667139994	27.8523511095236	2.48323493673273e-05	0.00349072071109381
"sp|P98160|PGBM_HUMAN"	0.526258999564388	-0.122962912800405	0.580335087610414	26.4799530181038	27.3039391228786	2.72384537414132e-05	0.00349072071109381
"sp|P84157|MXRA7_HUMAN"	-0.655665797925716	0.0182460609291108	0.202950544697641	27.8098252803198	27.0780915736574	2.83092783755866e-05	0.00349072071109381
"sp|P07108|ACBP_HUMAN"	-1.18397233849849	0.375329903891608	-0.251167512524122	28.2838512588824	27.0460215798477	2.84653581693277e-05	0.00349072071109381
"sp|P36639|8ODP_HUMAN"	-0.782393708699843	0.346570958984812	0.0361088692062784	24.8234913270127	47.0008839635477	2.92993030023413e-05	0.00349072071109381
"sp|P18859|ATP5J_HUMAN"	-0.407344255236358	0.110308956362757	0.14430234615325	28.0478301959382	26.5625837503992	3.09467692249568e-05	0.00349072071109381
"sp|Q96FW1|OTUB1_HUMAN"	-0.727666119480679	0.244386576738271	0.0105332413144303	27.9458434885817	26.5185615856521	3.11852534324685e-05	0.00349072071109381
"sp|O95340|PAPS2_HUMAN"	0.629184185410326	-0.0611290079654682	0.298267072448817	24.4196955149737	26.4476387797785	3.1574078935421e-05	0.00349072071109381
"sp|Q13501|SQSTM_HUMAN"	-0.300853961839455	-0.0567867774886229	-0.669306932575014	27.4958864147268	26.3890678533917	3.1899536524356e-05	0.00349072071109381
"sp|O00422|SAP18_HUMAN"	-1.2110130922999	0.162379883023002	-0.176072913279332	25.2380011710647	29.9750496993376	3.40433707797614e-05	0.00359685820928238
"sp|P46779|RL28_HUMAN"	-1.22584906107025	-0.424782084751648	-0.457125327577035	28.1372714124884	25.5690746161216	3.69025997243697e-05	0.00376898551851562
"sp|Q15075|EEA1_HUMAN"	-0.504076226501612	-0.0996948443009866	0.051137491793078	26.8052678820875	24.8208507154018	4.23007140122579e-05	0.00397324261283384
"sp|A1L0T0|HACL2_HUMAN"	1.32899513894663	1.71132897473711	0.850906653785729	24.5538960552142	28.1551494417459	4.45174750108258e-05	0.00397324261283384
"sp|P29966|MARCS_HUMAN"	-0.973578239475977	-0.110596865415567	0.0105783000758907	29.2459718459799	24.5150665679748	4.47738701091318e-05	0.00397324261283384
"sp|O00399|DCTN6_HUMAN"	-1.7924463311774	0.126930457209195	-0.0304102802699564	25.209271099961	84.8418561570727	4.54964096580991e-05	0.00397324261283384
"sp|Q04917|1433F_HUMAN"	-0.493233818848111	0.134625752601012	0.0469259386177126	28.838051015065	24.3480818006733	4.61968924111657e-05	0.00397324261283384
"sp|Q96DG6|CMBL_HUMAN"	-0.541842117168317	0.0589076549880534	-0.0997201724068795	25.7075059680725	27.8433568856064	4.66830072003976e-05	0.00397324261283384
"sp|Q01105|SET_HUMAN"	-0.50702630624324	0.0129272859983551	-0.147307653608441	28.5696895949158	23.8063626908791	5.11981205576573e-05	0.00414657603217232
"sp|Q32MZ4|LRRF1_HUMAN"	-0.763603433026782	-0.101678664691422	0.104944786995237	25.8628418365332	23.783172609931	5.14262040543565e-05	0.00414657603217232
"sp|Q08AF3|SLFN5_HUMAN"	0.840095128876349	0.488089675612444	-0.318047395250011	24.5063972130031	23.5542611295318	5.37436763713545e-05	0.00417382703741744
"sp|O00233|PSMD9_HUMAN"	-0.6966324888377	-0.195050236312934	-0.158853762966822	27.0814618187779	23.4295522510503	5.50583930409204e-05	0.00417382703741744
"sp|P05114|HMGN1_HUMAN"	-1.67800710970984	-0.657972367592071	-0.34343863046278	26.4866964509893	23.3560829391845	5.58508187121785e-05	0.00417382703741744
"sp|P23588|IF4B_HUMAN"	-0.580611292255364	-0.156045644915645	0.0105666830425051	28.2559666208485	23.0636990582582	5.91417724782266e-05	0.00431453311603063
"sp|P11166|GTR1_HUMAN"	0.498621081184343	-0.117012002160587	0.235302736773131	27.4284605473886	22.6570735324652	6.41100929346742e-05	0.004568216854694
"sp|Q9UHD9|UBQL2_HUMAN"	-0.850436365148932	-0.0459768483610906	-0.125606166576735	27.0602856411367	22.011772422785	7.30528998766217e-05	0.00502967799419776
"sp|Q01469|FABP5_HUMAN"	-0.641449284770358	-0.0536903823228201	0.0354515002974373	27.6552851965464	21.9099826250011	7.45953606597803e-05	0.00502967799419776
"sp|Q53EL6|PDCD4_HUMAN"	-0.329729429108667	-0.0925312704029378	-0.566441772836961	26.6668567861279	21.7401874946824	7.72553637316865e-05	0.00502967799419776
"sp|Q6ZUT6|CCD9B_HUMAN"	-0.711601852326249	-0.396370376812967	-0.258945675400829	24.2543026424873	24.6806959962908	7.77687826107227e-05	0.00502967799419776
"sp|P62328|TYB4_HUMAN"	-0.740083418062087	-0.018346152679302	0.0596435225177766	34.2392701283997	21.6412022140659	7.88580681140027e-05	0.00502967799419776
"sp|Q99653|CHP1_HUMAN"	-0.738214826218647	0.14762515899808	0.151953549605877	25.0525327615203	21.4980083462184	8.12470634437086e-05	0.00502967799419776
"sp|Q13185|CBX3_HUMAN"	-0.477270797414152	-0.0287029388758005	0.0162281763659126	28.0601155196972	21.3972816265545	8.29791617690701e-05	0.00502967799419776
"sp|O75347|TBCA_HUMAN"	-0.495082575406329	-0.0564034609990121	0.0454370449252485	29.6278608938376	21.3550432498283	8.37185305822734e-05	0.00502967799419776
"sp|P33240|CSTF2_HUMAN"	-0.777419505173148	-0.0828364239983989	-0.0128164786083562	25.7472596621454	21.2204290081395	8.61277009881962e-05	0.00507490915053525
"sp|P36776|LONM_HUMAN"	0.609959167558681	0.363596138861015	0.239297086355337	26.7362205169101	21.0750779351058	8.88221318317105e-05	0.00513492475344077
"sp|P52789|HXK2_HUMAN"	0.470912830907265	-0.173365404648834	0.053945136609587	26.124731564842	20.9403863503042	9.14088155024844e-05	0.00518660390184467
"sp|Q15185|TEBP_HUMAN"	-1.31136671263979	-0.233627163694733	-0.332173251953134	27.2802236643697	20.3348282380777	0.00010420431297329	0.00580512754454839
"sp|O43493|TGON2_HUMAN"	-1.01519187514301	-0.186321258248557	-0.0675156641270161	25.4764276980117	20.2334052872711	0.000106550145020442	0.00582981507754707
"sp|Q15582|BGH3_HUMAN"	0.884680355189204	-0.878492768744699	-0.43844010659788	28.6302641140017	20.0307150129373	0.000111428989255042	0.00598979689609557
"sp|Q9BRQ6|MIC25_HUMAN"	-1.03565573476761	-0.186175354223934	-0.0270476641657604	26.5823163303236	19.9429007544786	0.000113624870251314	0.0060025276284487
"sp|Q14019|COTL1_HUMAN"	-0.782134863229775	-0.0561281977007286	-0.173250463443917	29.6423830460991	19.7445875358489	0.000118775955657134	0.00609324326096313
"sp|O43854|EDIL3_HUMAN"	0.499112842476726	-0.349015271983201	0.136127041557828	25.6718073718468	19.7242634080967	0.000119319385005805	0.00609324326096313
"sp|P19367|HXK1_HUMAN"	0.453117326207521	-0.019973604440794	0.0835105313982491	27.903284855444	19.6303870889693	0.000121868128619081	0.00612137616539121
"sp|P06753|TPM3_HUMAN"	-0.558440767635232	-0.0376472479491122	0.133888823479071	29.770741066099	19.0801733871252	0.000138177234846313	0.00673174234635229
"sp|P05387|RLA2_HUMAN"	-0.607532377390307	0.136730435506608	0.14228151544738	30.3516822477581	19.0602438825586	0.000138815081028259	0.00673174234635229
"sp|P30049|ATPD_HUMAN"	-0.655450886448107	-0.0740140666018867	-0.0908599705833796	28.6941030877466	21.371585627367	0.000141595282048835	0.00673174234635229
"sp|P39060|COIA1_HUMAN"	-0.14183710373969	-0.163438126604112	0.315493851577462	27.229951402614	18.8966551069898	0.000144185144545564	0.00673174234635229
"sp|Q9Y5L4|TIM13_HUMAN"	-0.335096601412388	0.265453593579622	0.0730479525806042	27.3468074271495	18.8455234225038	0.000145914013673489	0.00673174234635229
"sp|P47813|IF1AX_HUMAN"	-0.700651467333666	-0.209597640220313	-0.0792618301500111	27.2860200987036	18.8078984236236	0.000147201937730288	0.00673174234635229
"sp|O14880|MGST3_HUMAN"	1.26786236149352	1.66784684819625	0.832090657577959	26.053125039252	18.648704450139	0.000152802946375708	0.0068851209955172
"sp|P06454|PTMA_HUMAN"	-1.36789614455233	-0.274965604852673	-0.180239432325818	29.8742939500415	18.4719639617895	0.000159320648170047	0.00707476037671051
"sp|Q14108|SCRB2_HUMAN"	-0.406436615814222	0.00192415549386022	0.0676067366811471	28.7339865467015	18.2881825942115	0.000166451433158403	0.00720360672255919
"sp|Q14011|CIRBP_HUMAN"	-0.565643973900465	-0.0159339590231298	0.0943883566504529	27.4284525356935	18.2763272578574	0.000166924307213349	0.00720360672255919
"sp|Q14847|LASP1_HUMAN"	-0.623095750459814	-0.11540348526622	0.013855678092091	29.8454867732944	18.1137786266123	0.000173571660981816	0.00738643846178174
"sp|Q96FJ2|DYL2_HUMAN"	-0.50461048257371	0.13168338332576	-0.0653739291900024	26.3552350873156	17.7535701371046	0.000189456997703768	0.00795200330088142
