name,ID,female_vs_male_p.val,female_vs_male_p.adj,significant,female_vs_male_significant,female_vs_male_ratio,female_centered,male_centered
SHOT1,A0MZ66,3.18E-09,6.73E-10,TRUE,TRUE,-1.22,-0.609,0.609
TCAF2,A6NFQ2,9.99E-08,2.41E-05,TRUE,TRUE,-0.859,-0.43,0.43
BTBDB,A6QL63,2.35E-07,1.31E-04,TRUE,TRUE,0.637,0.319,-0.319
PDLI1,O00151,2.33E-06,0.00387,TRUE,TRUE,-0.859,-0.43,0.43
LEG9,O00182,7.28E-07,8.01E-04,TRUE,TRUE,0.993,0.497,-0.497
ODPX,O00330,1.21E-07,3.52E-05,TRUE,TRUE,-0.712,-0.356,0.356
MATN2,O00339,1.81E-06,0.00282,TRUE,TRUE,-0.683,-0.341,0.341
NCHL1,O00533,2.98E-06,0.00514,TRUE,TRUE,-1.03,-0.517,0.517
PIR,O00625,1.78E-05,0.0318,TRUE,TRUE,-0.627,-0.313,0.313
NFIB,O00712,1.45E-05,0.0267,TRUE,TRUE,0.784,0.392,-0.392
HSPB6,O14558,1.08E-07,2.82E-05,TRUE,TRUE,0.957,0.479,-0.479
NCAN,O14594,7.52E-06,0.0144,TRUE,TRUE,2.26,1.13,-1.13
ABLM1,O14639,1.13E-07,3.08E-05,TRUE,TRUE,0.973,0.487,-0.487
ENC1,O14682,5.69E-07,5.55E-04,TRUE,TRUE,-0.641,-0.321,0.321
P5I11,O14683,7.23E-06,0.0138,TRUE,TRUE,0.628,0.314,-0.314
NHRF1,O14745,7.22E-07,7.92E-04,TRUE,TRUE,0.806,0.403,-0.403
PCD17,O14917,1.02E-05,0.0193,TRUE,TRUE,-1.17,-0.586,0.586
PLD2,O14939,7.29E-09,1.52E-08,TRUE,TRUE,0.944,0.472,-0.472
CLGN,O14967,1.77E-05,0.0316,TRUE,TRUE,1.06,0.528,-0.528
MAST4,O15021,3.79E-07,2.90E-04,TRUE,TRUE,0.614,0.307,-0.307
SYNEM,O15061,1.19E-09,9.18E-12,TRUE,TRUE,-0.891,-0.445,0.445
DCLK1,O15075,7.52E-07,8.39E-04,TRUE,TRUE,0.701,0.351,-0.351
ANGP2,O15123,9.24E-13,5.40E-14,TRUE,TRUE,2.6,1.3,-1.3
CETN3,O15182,9.50E-06,0.018,TRUE,TRUE,-0.772,-0.386,0.386
