Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Spectral Count	96_Lucy_astrolysis_M_60ng Spectral Count	97_Lucy_astrolysis_F_60ng Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Unique Spectral Count	96_Lucy_astrolysis_M_60ng Unique Spectral Count	97_Lucy_astrolysis_F_60ng Unique Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Total Spectral Count	96_Lucy_astrolysis_M_60ng Total Spectral Count	97_Lucy_astrolysis_F_60ng Total Spectral Count	102_Lucy_astrolysis_FT_60ng_reinject Intensity	96_Lucy_astrolysis_M_60ng Intensity	97_Lucy_astrolysis_F_60ng Intensity	102_Lucy_astrolysis_FT_60ng_reinject Unique Intensity	96_Lucy_astrolysis_M_60ng Unique Intensity	97_Lucy_astrolysis_F_60ng Unique Intensity	102_Lucy_astrolysis_FT_60ng_reinject Total Intensity	96_Lucy_astrolysis_M_60ng Total Intensity	97_Lucy_astrolysis_F_60ng Total Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1			231	30.30				1.0000	0.9990	5	17	17	17	6	5	6	6	5	6	6	5	6	5.0779884E9	6.0855296E9	9.711959E9	5.0779884E9	6.0855296E9	9.711959E9	5.0779884E9	6.0855296E9	9.711959E9	
contam_sp|P02769|ALBU_BOVIN	contam_sp|P02769|ALBU_BOVIN Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4			607	58.30				1.0000	0.9990	45	345	317	345	125	108	112	117	100	100	125	108	112	1.03196795E10	5.9286687E9	9.2886825E9	8.5502116E9	4.8989742E9	8.4161674E9	1.03196795E10	5.9286687E9	9.2886825E9	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	10.40	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0000	0.9990	3	5	0	5	2	1	2	0	0	0	2	1	2	1.74102688E8	2.37573856E8	1.87196176E8	0.0	0.0	0.0	1.74102688E8	2.37573856E8	1.87196176E8	sp|P0DPI2|GAL3A_HUMAN
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	17.10	Homo sapiens OX=9606	3:Protein inferred from homology	Malignant T-cell-amplified sequence 2	1.0000	0.9986	3	6	0	6	3	0	3	0	0	0	3	0	3	7.1819664E7	1.51249024E8	2.175216E8	0.0	0.0	0.0	7.1819664E7	1.51249024E8	2.175216E8	sp|Q9ULC4|MCTS1_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	21.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0000	0.9990	22	44	44	44	18	9	17	18	9	17	18	9	17	2.17981712E8	2.60773504E8	2.18193632E8	2.17981712E8	2.60773504E8	2.18193632E8	2.17981712E8	2.60773504E8	2.18193632E8	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	12.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0000	0.9990	7	19	19	19	6	7	6	6	7	6	6	7	6	1.03698672E8	1.17511792E8	1.40286016E8	1.03698672E8	1.17511792E8	1.40286016E8	1.03698672E8	1.17511792E8	1.40286016E8	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	25.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0000	0.9990	11	13	13	13	2	11	0	2	11	0	2	11	0	0.0	1.20500384E8	0.0	0.0	1.20500384E8	0.0	0.0	1.20500384E8	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	4.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0000	0.9985	2	3	3	3	1	1	1	1	1	1	1	1	1	2.1229804E7	1.7563692E7	3.210211E7	2.1229804E7	1.7563692E7	3.210211E7	2.1229804E7	1.7563692E7	3.210211E7	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	18.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0000	0.9990	15	33	26	33	11	12	10	9	9	8	11	12	10	4.777308E7	1.21142448E8	1.48925456E8	4.777308E7	1.21142448E8	1.48925456E8	4.777308E7	1.21142448E8	1.48925456E8	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	4.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	1.0000	0.9989	8	10	10	10	3	4	3	3	4	3	3	4	3	4.2116688E7	3.5890544E7	2.3951892E7	4.2116688E7	3.5890544E7	2.3951892E7	4.2116688E7	3.5890544E7	2.3951892E7	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	2.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0000	0.9990	3	4	4	4	0	1	3	0	1	3	0	1	3	9206385.0	7293616.0	1.1012052E7	9206385.0	7293616.0	1.1012052E7	9206385.0	7293616.0	1.1012052E7	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	7.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	1.0000	0.9990	2	4	4	4	1	0	3	1	0	3	1	0	3	1.3212977E7	0.0	3.2192238E7	1.3212977E7	0.0	3.2192238E7	1.3212977E7	0.0	3.2192238E7	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	12.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0000	0.9990	25	46	46	46	18	13	15	18	13	15	18	13	15	6.7856928E7	8.854092E7	1.03971808E8	6.7856928E7	8.854092E7	1.03971808E8	6.7856928E7	8.854092E7	1.03971808E8	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	10.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1.0000	0.9990	3	7	7	7	2	3	2	2	3	2	2	3	2	1.8247516E7	3.3687256E7	2.2359082E7	1.8247516E7	3.3687256E7	2.2359082E7	1.8247516E7	3.3687256E7	2.2359082E7	
sp|A6NHG4|DDTL_HUMAN	A6NHG4	DDTL_HUMAN	DDTL	134	31.40	Homo sapiens OX=9606	2:Experimental evidence at transcript level	D-dopachrome decarboxylase-like protein	1.0000	0.9990	5	14	0	14	5	6	3	0	0	0	5	6	3	9.5998598E8	7.1316314E8	4.75686496E8	0.0	0.0	0.0	9.5998598E8	7.1316314E8	4.75686496E8	sp|P30046|DOPD_HUMAN
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	9.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0000	0.9990	13	26	26	26	8	7	11	8	7	11	8	7	11	8.8116872E7	1.1868004E8	9.9373192E7	8.8116872E7	1.1868004E8	9.9373192E7	8.8116872E7	1.1868004E8	9.9373192E7	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	8.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein unc-119 homolog B	1.0000	0.9990	2	5	5	5	1	2	2	1	2	2	1	2	2	3.6431768E7	5.3650228E7	3.1929732E7	3.6431768E7	5.3650228E7	3.1929732E7	3.6431768E7	5.3650228E7	3.1929732E7	
sp|B3KU38|IQIP1_HUMAN	B3KU38	IQIP1_HUMAN	IQCJ-SCHIP1	563	8.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	IQCJ-SCHIP1 readthrough transcript protein	1.0000	0.9938	3	5	0	5	1	3	1	0	0	0	1	3	1	5729992.0	2.1781124E7	0.0	0.0	0.0	0.0	5729992.0	2.1781124E7	0.0	sp|P0DPB3|SCHI1_HUMAN
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	66.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	1.0000	0.9990	6	22	22	22	9	7	6	9	7	6	9	7	6	1.74583856E8	1.6972192E8	1.29702696E8	1.74583856E8	1.6972192E8	1.29702696E8	1.74583856E8	1.6972192E8	1.29702696E8	
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	40.70	Homo sapiens OX=9606	4:Protein predicted	Uncharacterized protein C11orf98	1.0000	0.9990	5	16	16	16	5	6	5	5	6	5	5	6	5	1.46645728E8	1.65179616E8	1.54579424E8	1.46645728E8	1.65179616E8	1.54579424E8	1.46645728E8	1.65179616E8	1.54579424E8	
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	30.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	1.0000	0.9989	4	9	9	9	3	3	3	3	3	3	3	3	3	3.0975052E7	2.149759E7	1.6031878E7	3.0975052E7	2.149759E7	1.6031878E7	3.0975052E7	2.149759E7	1.6031878E7	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	11.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	1.0000	0.9990	4	8	8	8	3	3	2	3	3	2	3	3	2	7.4366224E7	1.12285832E8	5.864504E7	7.4366224E7	1.12285832E8	5.864504E7	7.4366224E7	1.12285832E8	5.864504E7	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	15.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0000	0.9990	10	31	31	31	8	11	12	8	11	12	8	11	12	1.63646896E8	1.72312608E8	1.37329024E8	1.63646896E8	1.72312608E8	1.37329024E8	1.63646896E8	1.72312608E8	1.37329024E8	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	48.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0000	0.9990	14	34	34	34	12	11	11	12	11	11	12	11	11	7.8749235E8	9.7284314E8	7.4819994E8	7.8749235E8	9.7284314E8	7.4819994E8	7.8749235E8	9.7284314E8	7.4819994E8	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	23.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0000	0.9990	6	22	22	22	7	8	7	7	8	7	7	8	7	3.78763168E8	5.07353728E8	3.30355072E8	3.78763168E8	5.07353728E8	3.30355072E8	3.78763168E8	5.07353728E8	3.30355072E8	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	43.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.0000	0.9990	7	18	18	18	8	5	5	8	5	5	8	5	5	1.01107608E8	9.9734192E7	1.34679776E8	1.01107608E8	9.9734192E7	1.34679776E8	1.01107608E8	9.9734192E7	1.34679776E8	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	36.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein	1.0000	0.9990	9	27	27	27	10	10	7	10	10	7	10	10	7	2.35118832E8	1.71782416E8	1.9198768E8	2.35118832E8	1.71782416E8	1.9198768E8	2.35118832E8	1.71782416E8	1.9198768E8	
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	8.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 1	1.0000	0.9990	3	5	5	5	0	3	2	0	3	2	0	3	2	2.7617628E7	0.0	1.3595267E7	2.7617628E7	0.0	1.3595267E7	2.7617628E7	0.0	1.3595267E7	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	12.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3	1.0000	0.9990	8	17	17	17	6	6	5	6	6	5	6	6	5	8.5887368E7	7.997196E7	1.00405712E8	8.5887368E7	7.997196E7	1.00405712E8	8.5887368E7	7.997196E7	1.00405712E8	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	26.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small acidic protein	1.0000	0.9990	3	17	17	17	7	4	6	7	4	6	7	4	6	3.81805472E8	4.32043456E8	3.46282816E8	3.81805472E8	4.32043456E8	3.46282816E8	3.81805472E8	4.32043456E8	3.46282816E8	
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	9.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Galectin-8	1.0000	0.9982	3	4	4	4	3	0	1	3	0	1	3	0	1	1.3528392E7	6528929.0	1.78278E7	1.3528392E7	6528929.0	1.78278E7	1.3528392E7	6528929.0	1.78278E7	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	18.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.0000	0.9990	3	15	15	15	5	4	6	5	4	6	5	4	6	2.49613248E8	1.48165856E8	2.39806656E8	2.49613248E8	1.48165856E8	2.39806656E8	2.49613248E8	1.48165856E8	2.39806656E8	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	32.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0000	0.9990	17	48	48	48	16	16	16	16	16	16	16	16	16	4.4424256E8	1.56519514E9	4.55791808E8	4.4424256E8	1.56519514E9	4.55791808E8	4.4424256E8	1.56519514E9	4.55791808E8	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	24.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0000	0.9990	11	31	31	31	11	10	10	11	10	10	11	10	10	2.3219408E8	2.34724992E8	2.82544736E8	2.3219408E8	2.34724992E8	2.82544736E8	2.3219408E8	2.34724992E8	2.82544736E8	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	48.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1.0000	0.9990	11	29	29	29	11	9	9	11	9	9	11	9	9	3.37381056E8	3.68036992E8	2.76245024E8	3.37381056E8	3.68036992E8	2.76245024E8	3.37381056E8	3.68036992E8	2.76245024E8	
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Copper transport protein ATOX1	1.0000	0.9990	2	6	6	6	3	2	1	3	2	1	3	2	1	5.00058688E8	4.43243264E8	3.11501728E8	5.00058688E8	4.43243264E8	3.11501728E8	5.00058688E8	4.43243264E8	3.11501728E8	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	49.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0000	0.9990	12	29	27	29	12	12	5	12	11	4	12	12	5	4.46850624E8	6.9748154E8	3.88674016E8	4.13490304E8	6.5272006E8	3.6205248E8	4.46850624E8	6.9748154E8	3.88674016E8	
