Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-220_3831.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-221_3832.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-222_3833.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-224_3835.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-225_3823.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-226_3824.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-228_3826.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-229_3827.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-22-2024_Slot1-230_3828.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-242_3837.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-243_3838.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-245_3840.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-246_3841.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-314_3844.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-316_3846.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-317_3847.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_day6diff_PC12_DDM_DIA_2-23-2024_Slot1-318_3848.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-196_3784.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-197_3785.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-198_3786.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-200_3788.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-20-2024_Slot1-201_3789.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-202_3791.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-203_3792.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-204_3793.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-205_3794.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-206_3795.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-207_3796.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-219_3805.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-220_3806.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-221_3807.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-222_3808.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-223_3809.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-21-2024_Slot1-224_3810.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-226_3816.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-227_3817.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-228_3818.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-229_3819.d	E:\Lucy\20240222_PC12_SCP_DIA\Lucy_undiff_PC12_DDM_DIA_2-22-2024_Slot1-230_3820.d
A0A096MIX0	A0A096MIX0	A0A096MIX0_RAT	Morc3	MORC family CW-type zinc finger 3																											1662.8				1072.96								
A0A096MJ11	A0A096MJ11	A0A096MJ11_RAT	Gsdmd	Gasdermin D																																							
A0A096MJ28	A0A096MJ28	A0A096MJ28_RAT	Ints2	Integrator complex subunit 2																																							
A0A096MJ37	A0A096MJ37	A0A096MJ37_RAT	Urgcp	Upregulator of cell proliferation	1407.51																				377.271					8587.49													
A0A096MJ94	A0A096MJ94	A0A096MJ94_RAT	Bms1	BMS1 ribosome biogenesis factor	1053.13		2582.94																												4992.88								
A0A096MJ99	A0A096MJ99	A0A096MJ99_RAT	Vamp4	Vesicle-associated membrane protein 4																																					481.135		
A0A096MJE3	A0A096MJE3	A0A096MJE3_RAT	Gspt2	G1 to S phase transition 2	2235.34	37709.5		22756.3	4391.54						7164.18	1898.2	2099.87		2949.88			5854.68			2302.04		8038.14				2690.24			12545.1	1954.96					2760.86	2367.59	11151.3	
A0A096MJF9	A0A096MJF9	A0A096MJF9_RAT	Tmem132e	Transmembrane protein 132E	2083.01				4790.43				14550			6595.96	6001.6		2764.57				17091.7	4768.75	11576.8	9816.39	8326.15				7856.42	4007.62	3724.09	3122.2	1616.1	35623.2				3458.5	3726.75	10071.4	
A0A096MJI1	A0A096MJI1	A0A096MJI1_RAT	Zfx	Zinc finger protein X-linked																											865.619												
A0A096MJM8	A0A096MJM8	A0A096MJM8_RAT	Las1l	LAS1-like (S. cerevisiae)																																							
A0A096MJN4	A0A096MJN4	SEPT4_RAT	Septin4	Septin-4	1386.91	1304.87			1789.58								1718.77				3761.21						888.992																
A0A096MJT6	A0A096MJT6	A0A096MJT6_RAT	Bltp1	Similar to RIKEN cDNA D630029K19																		949.415																					
A0A096MJV7	A0A096MJV7	A0A096MJV7_RAT	Chd9	DNA helicase		2963.35																																					
A0A096MJX5	A0A096MJX5	A0A096MJX5_RAT	C3h9orf78	Uncharacterized protein																											1314.91												
A0A096MJY1	A0A096MJY1	A0A096MJY1_RAT	Gpc6	Glypican 6		8180.04															2070.93																						
A0A096MJY7	A0A096MJY7	A0A096MJY7_RAT	Lsm14a	LSM14A mRNA processing body assembly factor																			6971.97																				
A0A096MJZ0	A0A096MJZ0	DNAL1_RAT	Dnal1	Dynein axonemal light chain 1																														484.707									
A0A096MK32	A0A096MK32	A0A096MK32_RAT	Tdg	Thymine-DNA glycosylase																																				724.791			
A0A096MK48	A0A096MK48	A0A096MK48_RAT	Serf1	Small EDRK-rich factor 1																																							
A0A096MK61	A0A096MK61	A0A096MK61_RAT	Crtap	Cartilage associated protein-like 1																																							
A0A096MKB0	A0A096MKB0	A0A096MKB0_RAT	Rab24	Max dimerization protein 3									5841.48																		1179.07									1456.91			
A0A096MKD1	A0A096MKD1	A0A096MKD1_RAT	Eef1akmt1	EEF1A lysine methyltransferase 1	665.156				2704.26																2463.28						721.971						5854.92			2571.52			
A0A096MKE0	A0A096MKE0	A0A096MKE0_RAT	Asph	Aspartate-beta-hydroxylase					5359.73					5887.78		1018.03				17974.2						2274.59																9081.31	
A0A096MKE2	A0A096MKE2	A0A096MKE2_RAT	Snx12	PX domain-containing protein	7282.08		2329.24	7464.82	5163.98		4378.4	19596.8		2149		3174.96	5854.83		5919.3		9722.79	2732.01	8649.75		3051.48		2886.22	13829.1	4210.67	2178.67	2703.72	1860.57		9313.64	4253.05				4087.63	4312.24	6201.09	6794.93	
A0A096MKE5	A0A096MKE5	A0A096MKE5_RAT	Zfp326	Zinc finger protein 326			3257.85							2762.1			2188.4					3013.81	2327.9													3172.51	5242.02			1722.65			
A0A096MKF8	A0A096MKF8	A0A096MKF8_RAT	Med12	Mediator complex subunit 12																																							
A0A096UWG9	A0A096UWG9	A0A096UWG9_RAT	Dgke	Diacylglycerol kinase																																							
A0A0G2JSI4	A0A0G2JSI4	A0A0G2JSI4_RAT	Adgre5	Adhesion G protein-coupled receptor E5																																							
A0A0G2JSN6	A0A0G2JSN6	A0A0G2JSN6_RAT	Adgrg3	Adhesion G protein-coupled receptor G3																																							
A0A0G2JSU2	A0A0G2JSU2	A0A0G2JSU2_RAT	Adgra3	Adhesion G protein-coupled receptor A3																																	1487.77						
A0A0G2JT23	A0A0G2JT23	A0A0G2JT23_RAT	Nrbp2	Nuclear receptor binding protein 2																																							
A0A0G2JT63	A0A0G2JT63	A0A0G2JT63_RAT	Cyfip2	Cytoplasmic FMR1-interacting protein																																				994.926			
A0A0G2JTI7	A0A0G2JTI7	A0A0G2JTI7_RAT	Prpf3	U4/U6 small nuclear ribonucleoprotein Prp3	2642.55				6743.53						2973.13	1843.37	3152.53	1657.96	3923.42			3225.49	5153.57						4009.84		3184.68			3073.8	1514.26	1937.83	6177.2	2763.18		1835.37	3718.82	2354.65	3054.04
A0A0G2JTM6	A0A0G2JTM6	A0A0G2JTM6_RAT	Dhx35	RNA helicase											2233.93																												
A0A0G2JTM7	A0A0G2JTM7	A0A0G2JTM7_RAT	Brd7	Bromodomain containing 7																																							
