Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score CHIMERYS Identification: CHIMERYS Identification,# Peptides (by Search Engine): CHIMERYS Identification,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Ensembl Gene ID,Gene Symbol,Gene ID,Reactome Pathways,WikiPathways,# Protein Pathway Groups,Abundances (Grouped): Diffrentiated,Abundances (Grouped): Undiffrentiated,Abundances (Grouped) CV [%]: Diffrentiated,Abundances (Grouped) CV [%]: Undiffrentiated,"Abundance: F223: Sample, Diffrentiated","Abundance: F231: Sample, Diffrentiated","Abundance: F233: Sample, Diffrentiated","Abundance: F234: Sample, Diffrentiated","Abundance: F235: Sample, Diffrentiated","Abundance: F201: Sample, Undiffrentiated","Abundance: F215: Sample, Undiffrentiated","Abundance: F216: Sample, Undiffrentiated","Abundance: F217: Sample, Undiffrentiated","Abundance: F218: Sample, Undiffrentiated","Found in Sample: F223: Sample, Diffrentiated","Found in Sample: F231: Sample, Diffrentiated","Found in Sample: F233: Sample, Diffrentiated","Found in Sample: F234: Sample, Diffrentiated","Found in Sample: F235: Sample, Diffrentiated","Found in Sample: F201: Sample, Undiffrentiated","Found in Sample: F215: Sample, Undiffrentiated","Found in Sample: F216: Sample, Undiffrentiated","Found in Sample: F217: Sample, Undiffrentiated","Found in Sample: F218: Sample, Undiffrentiated",# Protein Groups,Modifications
FALSE,High,Master Protein,P00761,Trypsin OS=Sus scrofa PE=1 SV=1,0,TRUE,349.573,71,13,16930,12,231,24.4,7.18,9224.7,13,protein metabolism;other biological processes,non-structural extracellular,other molecular function,Pf00089,,,,,,,0,1.92246E+11,2.75419E+11,6.74,7.6,1.92246E+11,1.86382E+11,2.09202E+11,2.0996E+11,1.81159E+11,3.20402E+11,2.66334E+11,2.75419E+11,2.86003E+11,2.71855E+11,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",0,TRUE,243.153,49,28,1010,23,584,58.8,5.21,564.27,28,cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes,plasma membrane;cytosol;cytoskeleton;other cell component,"bone, tooth or skin structural activity;other molecular function",Pf00038,3858,ENSG00000186395,KRT10,hsa:3858; P13645; Q14664; Q8N175,Formation of the cornified envelope,,2,293973273,301472761.3,5.16,113.13,293973273,278934110.3,297386364.6,317170244.9,281985295.4,301472761.3,37245592.04,1407450732,324278786.2,295328363.9,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P63018,Heat shock cognate 71 kDa protein OS=Rattus norvegicus OX=10116 GN=Hspa8 PE=1 SV=1,0,FALSE,237.735,52,29,1042,2,646,70.8,5.52,556.93,29,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function,Pf00012,24468,ENSRNOG00000034066,Hspa8,P08109; P12225; P63018; Q4FZY7; Q62373; Q62374; Q62375; rno:24468,"Neutrophil degranulation; Clathrin-mediated endocytosis; mRNA Splicing - Major Pathway; AUF1 (hnRNP D0) binds and destabilizes mRNA; Golgi Associated Vesicle Biogenesis; Lysosome Vesicle Biogenesis; Regulation of HSF1-mediated heat shock response; Protein methylation; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Attenuation phase; GABA synthesis, release, reuptake and degradation",,12,37562876.63,286337263.8,48.9,34.67,22940538.87,37562876.63,67994837.12,21546481.39,42226121.43,96436470.55,282266928.9,286337263.8,305970487.5,287260467.2,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P15205,Microtubule-associated protein 1B OS=Rattus norvegicus OX=10116 GN=Map1b PE=1 SV=3,0,FALSE,235.022,28,46,285,46,2461,269.5,4.81,113.11,46,cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,Pf00414,29456,ENSRNOG00000017428,Map1b,B0BNK3; F1LRL9; P15205; Q62958; Q9ER21; Q9QW92; rno:29456,,Wnt signaling pathway,1,12032517.26,814695.9531,69.96,168.74,3271552.609,9341748.922,29314664.77,12032517.26,26174150.44,14241156.38,293314.7031,726446.168,814695.9531,1691900.34,High,High,High,High,High,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
FALSE,High,Master Protein,M0RCB1,"Heat shock cognate protein 70, pseudogene 1 OS=Rattus norvegicus OX=10116 GN=Hsc70-ps1 PE=3 SV=1",0,FALSE,228.906,49,28,986,1,641,70.4,5.59,537.39,28,cell organization and biogenesis;protein metabolism;other metabolic processes;transport,plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component,other molecular function,Pf00012,,ENSRNOG00000034093,Hsc70-ps1,M0RCB1,,,0,36803887.25,283113637.8,48.54,34.7,22139081.18,36803887.25,65781464.87,21145595.2,40889348.93,95244885.68,278918854.9,283113637.8,302767837.2,284120308.4,n/a,n/a,n/a,n/a,n/a,n/a,High,n/a,High,n/a,1,
FALSE,High,Master Protein,A0A0G2K3K2,"Actin, beta OS=Rattus norvegicus OX=10116 GN=Actb PE=1 SV=1",0,TRUE,224.903,70,21,1370,3,378,42.1,5.48,728.97,21,,,,Pf00022,,ENSRNOG00000034254,Actb,A0A0G2K3K2,,Myometrial relaxation and contraction pathways,1,68929725.15,258125833.8,48.05,11.34,57689291.62,63854254.75,160887118.2,68929725.15,128639026.5,198122604.4,237205900.4,261106959.8,258125833.8,264286481.3,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2",0,TRUE,219.398,49,30,764,23,639,65.4,8,407.81,30,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes,plasma membrane;cytosol;cytoskeleton;other cell component,"bone, tooth or skin structural activity;cytoskeletal activity","Pf00038, Pf16208",3849,ENSG00000172867,KRT2,hsa:3849; P35908; Q4VAQ2,Formation of the cornified envelope,,2,23400656.37,32064279.43,13.02,173.09,19772772.34,23400656.37,24089240.73,27010864.02,20212113.95,8764993.324,30488044.15,498860367.6,39423103.92,32064279.43,High,High,High,High,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",0,TRUE,212.179,44,29,1073,20,644,66,8.12,635.23,29,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,"bone, tooth or skin structural activity;other molecular function","Pf00038, Pf16208, Pf16210",3848,ENSG00000167768,KRT1,B2RA01; hsa:3848; P04264; P85925; P86104; Q14720; Q6GSJ0; Q9H298,Formation of the cornified envelope; Neutrophil degranulation,Corticotropin-releasing hormone signaling pathway,4,116634354.4,79090720.77,9.92,131.57,117001404.4,114699874.2,121553995.4,116634354.4,93144904.34,2905195.254,79133917.86,467075397.4,79090720.77,75870722.36,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P21708,Mitogen-activated protein kinase 3 OS=Rattus norvegicus OX=10116 GN=Mapk3 PE=1 SV=5,0,FALSE,202.594,52,24,1215,1,380,43.1,6.61,628.48,24,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component,kinase activity;other molecular function,Pf00069,50689,,Mapk3,P21708; Q4PIY8; Q62686; Q9JJ13; rno:50689,"Oxidative Stress Induced Senescence; Senescence-Associated Secretory Phenotype (SASP); RNA Polymerase I Promoter Opening; ISG15 antiviral mechanism; Regulation of actin dynamics for phagocytic cup formation; RHO GTPases Activate WASPs and WAVEs; FCERI mediated MAPK activation; PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; Oncogene Induced Senescence; Signal transduction by L1; Interferon gamma signaling; SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription; Downregulation of SMAD2/3:SMAD4 transcriptional activity; NCAM signaling for neurite out-growth; Regulation of HSF1-mediated heat shock response; Frs2-mediated activation; ERKs are inactivated; RHO GTPases Activate NADPH Oxidases; Regulation of the apoptosome activity; Gastrin-CREB signalling pathway via PKC and MAPK; MAP2K and MAPK activation; Signaling by NODAL; MAPK3 (ERK1) activation; Thrombin signalling through proteinase activated receptors (PARs); Spry regulation of FGF signaling; IFNG signaling activates MAPKs; Signal attenuation; Activation of the AP-1 family of transcription factors; Negative feedback regulation of MAPK pathway; Golgi Cisternae Pericentriolar Stack Reorganization; Signaling by Activin; Growth hormone receptor signaling; ESR-mediated signaling",Hypothetical network for drug addiction; EPO receptor signaling; Toll-like receptor signaling pathway; IL-3 signaling pathway; Regulation of actin cytoskeleton; IL-1 signaling pathway; Wnt signaling pathway; IL-5 signaling pathway; IL-2 signaling pathway; IL-9 signaling pathway; Hepatocyte growth factor receptor signaling,52,147083015.4,77831122.94,33.26,25.09,213095159.5,151900807,124765308.2,147083015.4,81405897.45,91642948.51,43189877.82,70018479.21,81037807.32,77831122.94,n/a,n/a,High,Peak Found,n/a,High,n/a,n/a,n/a,n/a,1,
FALSE,High,Master Protein,A0A8L2R3C3,Mitogen-activated protein kinase OS=Rattus norvegicus OX=10116 GN=Mapk3 PE=1 SV=1,0,FALSE,200.566,53,24,1215,1,357,41,6.74,628.06,24,protein metabolism;other metabolic processes;transport;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cytoplasmic organelle;other cell component,kinase activity;other molecular function,,,ENSRNOG00000053583,Mapk3,A0A8L2R3C3,,"S1P receptor signal transduction; VEGFR-3 signaling; Nuclear factor, erythroid-derived 2, like 2 signaling pathway; Spinal cord injury; MAPK signaling pathway; Renin-angiotensin system; Insulin induced PI3K-Akt and MAPK in hepatocytes; Insulin signaling",8,146988695.5,77831122.94,33.29,24.97,213095159.5,151900807,124576681.9,146988695.5,81405897.45,91219713.01,43189877.82,70018479.21,81037807.32,77831122.94,n/a,High,n/a,High,n/a,n/a,n/a,n/a,n/a,n/a,1,
FALSE,High,Master Protein,A0A8I6G5T6,Pyruvate kinase OS=Rattus norvegicus OX=10116 GN=Pkm PE=1 SV=1,0,FALSE,199.255,54,27,597,4,591,64.4,7.44,291.72,27,other metabolic processes,,kinase activity;other molecular function,,,ENSRNOG00000011329,Pkm,A0A8I6G5T6,,,0,36026589.05,56539484.58,41.66,54.44,40837078.03,17148591.98,36026589.05,16845135.4,42968515.22,140489593.3,41165256.8,56539484.58,69763922.97,53940956.33,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I6AW29,Chromogranin B OS=Rattus norvegicus OX=10116 GN=Chgb PE=3 SV=1,0,FALSE,197.618,46,30,397,30,693,79.5,5.02,171.43,30,,non-structural extracellular;other cell component,,,24259,ENSRNOG00000021269,Chgb,A0A8I6AW29,,,0,7961178.742,5082955.102,116.41,182.08,1047540.445,829261.9297,40766923.36,7961178.742,49485427.48,95111979.23,5082955.102,1768373.926,2981214.75,6861355.973,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P69897,Tubulin beta-5 chain OS=Rattus norvegicus OX=10116 GN=Tubb5 PE=1 SV=1,0,FALSE,183.256,58,20,969,4,444,49.6,4.89,500.04,20,cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes,other membranes;cytoskeleton;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,"Pf00091, Pf03953",29214,ENSRNOG00000061216,Tubb5,P05218; P69897; Q6P9X8; Q8WUC1; Q9CY33; rno:29214,Neutrophil degranulation; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Recruitment of NuMA to mitotic centrosomes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2,,8,34900264.25,88982450.29,70.47,18.71,14829570.61,34900264.25,101062560.6,31190043.7,53100097.46,57193689.91,73008100.96,88982450.29,91788628.53,90782512.72,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I5ZV49,Filamin A OS=Rattus norvegicus OX=10116 GN=Flna PE=1 SV=1,0,FALSE,181.823,20,37,399,36,2647,281,6.05,145.92,37,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,,293860,ENSRNOG00000054890,Flna,A0A8I5ZV49,,Focal adhesion; MAPK signaling pathway; TNF-alpha NF-kB signaling pathway,3,1260484.742,16398212.61,113.04,38.06,122475.6094,292286.457,4370335.367,1503759.449,1260484.742,4754546.703,16330750.78,16398212.61,17394166.89,18152090.74,Peak Found,Peak Found,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P0DMW0,Heat shock 70 kDa protein 1A OS=Rattus norvegicus OX=10116 GN=Hspa1a PE=2 SV=1,0,FALSE,173.307,39,21,673,12,641,70.1,5.82,400.12,21,cell organization and biogenesis;protein metabolism;DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,Pf00012,24472,,Hspa1a,P0DMW0; P42853; Q07439; Q63256; rno:24472,Neutrophil degranulation; AUF1 (hnRNP D0) binds and destabilizes mRNA; Regulation of HSF1-mediated heat shock response; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Attenuation phase,Apoptosis modulation by HSP70; Cardiovascular signaling,8,22528423.26,371137174.6,17.06,50.96,25613662.68,22528423.26,20183892.4,24318818.84,16216533.52,27074314.48,370864160.5,374879953.6,371137174.6,381089419.3,Peak Found,Peak Found,Peak Found,Peak Found,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,A0A8I6ABE3,Pyruvate kinase OS=Rattus norvegicus OX=10116 GN=Pkm PE=1 SV=1,0,FALSE,171.846,50,26,550,3,591,64.5,7.08,274.98,26,other metabolic processes,,kinase activity;other molecular function,,25630,ENSRNOG00000011329,Pkm,A0A8I6ABE3,,Hexoses metabolism in proximal tubules,1,33284417.34,53479555.59,41.62,52.29,36544335.12,15992058.54,33284417.34,15847115.79,41218695.42,129744382.2,40501235.99,53479555.59,66503914.45,50633434.08,High,Peak Found,High,Peak Found,High,High,Peak Found,High,Peak Found,High,1,
