Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-36_3577.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-11-2024_Slot1-37_3579.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-38_3611.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-39_3612.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-40_3614.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-41_3615.d	D:\Data\Lucy\20231206_Arpa_SC_PC12\PC12_SC_DIA_newcolumn\Lucy_diff_PC12_wDDM_DIA_2-13-2024_Slot1-42_3617.d
A0A096MJ99	A0A096MJ99	A0A096MJ99_RAT	Vamp4	Vesicle-associated membrane protein 4							187.316
A0A096MJF9	A0A096MJF9	A0A096MJF9_RAT	Tmem132e	Transmembrane protein 132E			1032.42	813.177		1073.02	196.106
A0A096MJW7	A0A096MJW7	A0A096MJW7_RAT	AABR07038657.1	Serine/threonine-protein phosphatase 4 regulatory subunit 3-like central domain-containing protein						741.454	
A0A096MJY1	A0A096MJY1	A0A096MJY1_RAT	Gpc6	Glypican 6							432.278
A0A096MK48	A0A096MK48	A0A096MK48_RAT	Serf1	Small EDRK-rich factor 1							291.424
A0A096MKE2	A0A096MKE2	A0A096MKE2_RAT	Snx12	PX domain-containing protein	1139.98	262.308	1098.2	575.204		1079.7	1210.83
A0A0G2JSI4	A0A0G2JSI4	A0A0G2JSI4_RAT	Adgre5	Adhesion G protein-coupled receptor E5	518.005						92.9244
A0A0G2JTI7	A0A0G2JTI7	A0A0G2JTI7_RAT	Prpf3	U4/U6 small nuclear ribonucleoprotein Prp3			548.955	648.201		300.108	376.726
A0A0G2JTX2	A0A0G2JTX2	A0A0G2JTX2_RAT	Praf2	PRA1 family protein							125.49
A0A0G2JU49	A0A0G2JU49	A0A0G2JU49_RAT	Mtx1	Metaxin 1						224.217	214.341
A0A0G2JU91	A0A0G2JU91	A0A0G2JU91_RAT	Ncor2	Nuclear receptor co-repressor 2							101.308
A0A0G2JUA5	A0A0G2JUA5	A0A0G2JUA5_RAT	Ahnak	AHNAK nucleoprotein	5470.7	1151.48	5322.26	6199.37	4071.47	6861.02	5915.42
A0A0G2JUG6	A0A0G2JUG6	A0A0G2JUG6_RAT	Rac3	Rac family small GTPase 3							97.4681
A0A0G2JV76	A0A0G2JV76	A0A0G2JV76_RAT	Lig3	DNA ligase							72.2743
A0A0G2JVD3	A0A0G2JVD3	A0A0G2JVD3_RAT	Arid1b	AT-rich interaction domain 1B	190.304		797.167				107.096
A0A0G2JVL6	A0A0G2JVL6	A0A0G2JVL6_RAT	Ndufa8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	585.974						288.818
A0A0G2JVM2	A0A0G2JVM2	A0A0G2JVM2_RAT	Mia3	MIA SH3 domain ER export factor 3	220.794						125.771
A0A0G2JW32	A0A0G2JW32	A0A0G2JW32_RAT	LOC120095902	Paired immunoglobulin-like type 2 receptor beta							79.5409
A0A0G2JWH3	A0A0G2JWH3	A0A0G2JWH3_RAT	Ncapd2	Condensin complex subunit 1							62.7722
A0A0G2JWT6	A0A0G2JWT6	A0A0G2JWT6_RAT	Pex16	Peroxisomal membrane protein PEX16	66.5385		460.241				313.877
A0A0G2JXI6	A0A0G2JXI6	A0A0G2JXI6_RAT	Cyrib	CYFIP related Rac1 interactor B						131.921	114.427
A0A0G2JXM1	A0A0G2JXM1	A0A0G2JXM1_RAT	Ctnnd1	Catenin delta 1	915.105		1622.19	1947.17		939.764	846.402
A0A0G2JXM5	A0A0G2JXM5	A0A0G2JXM5_RAT	Poldip3	DNA polymerase delta interacting protein 3	620.541			404.125		227.794	340.066
A0A0G2JXT8	A0A0G2JXT8	A0A0G2JXT8_RAT	Flnb	Filamin B							350.234
A0A0G2JY13	A0A0G2JY13	A0A0G2JY13_RAT	Akain1	A-kinase anchor inhibitor 1							68.5632
A0A0G2JY22	A0A0G2JY22	A0A0G2JY22_RAT	Dip2b	Disco-interacting protein 2 homolog B							114.289
A0A0G2JY81;ENSEMBL:ENSBTAP00000016046	ENSEMBL:ENSBTAP00000016046;A0A0G2JY81	(Bos;A0A0G2JY81_RAT	(Bos;Fbln1	Fibulin-1	1003.23						617.587
A0A0G2JYE0	A0A0G2JYE0	A0A0G2JYE0_RAT	Atxn2l	Ataxin 2-like	1025.83		1140.12	1566.13	400.947	622.301	975.477
A0A0G2JYI7	A0A0G2JYI7	A0A0G2JYI7_RAT	Ubap2	Ubiquitin-associated protein 2				453.804			214.699
A0A0G2JYR1	A0A0G2JYR1	A0A0G2JYR1_RAT	Exoc6b	Exocyst complex component						277.726	130.298
A0A0G2JZ02	A0A0G2JZ02	A0A0G2JZ02_RAT	RGD1563099	Glycine cleavage system H protein			629.812				169.034
A0A0G2JZF6	A0A0G2JZF6	A0A0G2JZF6_RAT	Ndufaf2	NADH:ubiquinone oxidoreductase complex assembly factor 2							289.773
A0A0G2K0J7	A0A0G2K0J7	A0A0G2K0J7_RAT	Ctdp1	protein-serine/threonine phosphatase							231.972
A0A0G2K0L0	A0A0G2K0L0	A0A0G2K0L0_RAT	Papss1	3'-phosphoadenosine 5'-phosphosulfate synthase 1							194.788
A0A0G2K0Z9	A0A0G2K0Z9	A0A0G2K0Z9_RAT	Nop14	NOP14 nucleolar protein							69.8262
A0A0G2K160	A0A0G2K160	A0A0G2K160_RAT	Ahctf1	AT hook containing transcription factor 1			640.13				258.495
A0A0G2K162	A0A0G2K162	A0A0G2K162_RAT	Epb41l2	Erythrocyte membrane protein band 4.1-like 2			296.955				81.6666
A0A0G2K1L5	A0A0G2K1L5	A0A0G2K1L5_RAT	Reep2	Receptor expression-enhancing protein							114.278
A0A0G2K1R2;B1H245;D3ZUL4	B1H245;A0A0G2K1R2;D3ZUL4	A0A0G2K1R2_RAT;B1H245_RAT;D3ZUL4_RAT	Bcl7a;Bcl7b;Bcl7c	Uncharacterized protein	486.284		662.252			156.95	317.298
