Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5923.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5924.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_350nlmin_15cm_4-30-2024_Slot2-91_5925.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5926.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5927.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_10min_400nlmin_15cm_4-30-2024_Slot2-91_5928.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1899.69	2479.3	2652.66	2335.23	1709.49	2068.03
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1562.05	1602.82	1353.84	1606.03	1695.07	1326.51
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1195.94	795.142	1031.45	1209.4	1632.24	1043.66
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	645.618	514.443	388.31	877.298	990.993	774.113
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223			924.255		1085.18	
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1313.43		2133.6		3143.16	3208.76
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B			1335	1140.57		
A2A3N6;Q99755	O60331;Q99755;A2A3N6	PI51A_HUMAN;PIPSL_HUMAN	PIP5K1A;PIPSL	Putative PIP5K1A and PSMD4-like protein	1360.95			1482.76	803.166	
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5			1348.3			
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1		881.337	776.287	1016.28	1155.76	1219.91
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2202.28	2154.2	2084.82	1444.79	2784.22	1910.29
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	3492.86	2529.71	2178.44	2606.54	2332.92	3015.14
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1					2012.23	1965.19
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3			493.405			405.939
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	5631.49	5526.14	5947.47	6091.45	4777.84	5716.81
A6NIH7;Q13432	A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119;UNC119B	Protein unc-119 homolog B	506.618				704.994	
A6ZKI3;Q9BWD3	Q9BWD3;Q17RB0;A6ZKI3	RTL8A_HUMAN;RTL8C_HUMAN	RTL8A;RTL8C	Retrotransposon Gag-like protein 8C	578.074	1826.83				
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	8643.51	8198.65	8043.53	8972.35	7974.69	9507.29
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	3968.75	4211.11	3900.22	3598.05	4113.01	4565.26
C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	663.214	616.098	515.622	1064.17	841.649	552.999
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		59507.8	59727.1	64855.5	54930.7	53274.8	63610.5
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		828.267	1302.39	746.997	624.485	988.762	1045.1
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		1264.46	1276.08	1025.1	947.097	1171.6	705.497
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		641.278	828.228				
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin		1404.32	724.004	1279.94	1171.53	1392.6	948.372
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	5632.23	5327.52	5774.89	6391.94	5292.04	5626.01
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1194.85	1166.52	711.9	1033.61	1033.76	1344.18
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	1930.93	1645.46	2790.15	1854.53	2037.71	1732.03
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	2031.76	2182.89	2250.46	2653.99	2678.44	1647.51
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1678.07	1936.32	1848.77	1818.48	2065.02	2027.99
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A		1217.91	1163.61	1098.63	592.075	919.639
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	1647.06	1455.3	1230.15	1387.21	1608.13	1456.18
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	2772.45	2842.64	2395.49	2434.93	3264.69	2970.36
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	3189.61	2788.37	3455.26	4000.41	3479.21	2928.54
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	2498.64	2881.58	2551.93	2837.11	2559.83	2178.26
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1564.51	2178.36	2228.37	2276.9	1903.35	1545.52
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1						336.032
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3			742.205		965.665	527.08
O00193	O00193	SMAP_HUMAN	SMAP	Small acidic protein			2063.94	2700.47	3541.7	2520.92
O00203	O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	1582.49	1969.84	1519.88	1615.14	1516.36	1369.28
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	706.345	1177.35	1029.41	951.804	1650	363.5
