Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-07_9785.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-08_9786.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-09_9787.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-10_9788.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-11_9789.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_day0_PC12_control_75ng_12-28-2023_Slot1-12_9790.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-13_9795.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-14_9796.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-15_9797.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-16_9798.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-17_9799.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day2_PC12_75ng_12-28-2023_Slot1-18_9800.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-19_9805.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-20_9806.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-21_9807.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-22_9808.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-23_9809.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day4_PC12_75ng_12-29-2023_Slot1-24_9810.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-25_9815.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-26_9816.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-27_9817.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-28_9818.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-29_9819.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_diff_day6_PC12_75ng_12-29-2023_Slot1-30_9820.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-01_9780.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-02_9775.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-03_9776.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-04_9777.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-05_9778.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_control_75ng_12-27-2023_Slot1-06_9779.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-31_9825.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-32_9826.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-33_9827.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-34_9828.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-35_9829.d	D:\Lucy\20240104_Arpa_PC12\PC12_75ng_Pro2\Arpa_undiff_PC12_floating_75ng_12-30-2023_Slot1-36_9830.d
A0A096MIX0	A0A096MIX0	A0A096MIX0_RAT	Morc3	MORC family CW-type zinc finger 3	6299.14	5555.61	5291.84	5045.95	5199.09	5168.19	6045.74	4340.57	5404.1	5201.8	5352.63	5250.13	4668.6	5321.8	5750.74	5307.61	5667.72	5144	5907.88	5176.61	6267.25	6460.3	6020.19	6178.02	5569.29	6036.12	5478.97	4695.29	5504.65	5367.33	5752.32	5079.99	7941.74	11560.7	5355.7	5341.24
A0A096MJ11	A0A096MJ11	A0A096MJ11_RAT	Gsdmd	Gasdermin D	1072.23	1434.98	1168.07	1378.55	1060.7	1307.47	1244.21	1981.53	1202.97	1076.45	1105.53	1500.42	2453.94	2221.37	2296.73	2478.61	2082.89	2528.17	1576.74	1450.27	1988.19	1609.53	1960.78	1646.06				2001.14				419.845	438.346	509.258		1061.23
A0A096MJ28	A0A096MJ28	A0A096MJ28_RAT	Ints2	Integrator complex subunit 2	3026.98	2917.12	3117.22	2807.73	2395.47	3005.09	2957.57	3083.87	4059.29	3458.94	3683.46	4416.53	3103.21	4454.07	3647.67	3560.44	3825.19	3129.04	3474.81	3754.87	3497.81	3475.84	2949.62	3412.73	3118.75	3960.11	3794.45	3086.87	3695.11	2773.64	1783.42	1822.39	1951.69	1888.96	1351.91	1327.62
A0A096MJ37	A0A096MJ37	A0A096MJ37_RAT	Urgcp	Upregulator of cell proliferation	2336.43	2317.47	1922.61	2967.37	1780.13	2154.4	3647.16	2838.11	4302.32	2862.65	2897.68	2872.15	3132.18	2783.12	2602.51	2165.63	2479.74	1848.23	3508.19	3235.04	3640.7	3561.3	4810.81	3326.07	3301.4	2912.83	2481.29	2344	3376.99	2581.16	2188.72	2348.56	2272.4	2466.21	2419.35	2021.04
A0A096MJ94	A0A096MJ94	A0A096MJ94_RAT	Bms1	BMS1 ribosome biogenesis factor	11831.8	11638.2	11299.8	11686	11350.2	10853.1	10799.9	11749.1	12132.9	10402.1	11212.4	10857.6	8802.65	8595.54	9468.85	11636.6	9068.36	10297.1	10345.7	11240.6	11291.7	9229.84	9959.11	9552.78	13080.2	13850.2	13631.8	13785.1	13776.5	13227.8	15376.7	13653.6	13466.3	14940.5	13606.5	16276.2
A0A096MJ99	A0A096MJ99	A0A096MJ99_RAT	Vamp4	Vesicle-associated membrane protein 4	8629.78	7099.73	6813.41	7661.81	7763.23	9229.86	7951.86	8272.95	6829.97	8715.71	7599.94	8346.02	11271.5	10995.8	9978.1	9422.5	10384.1	10715.5	7922.23	7434.31	7649.07	7384.55	7694.16	8533.46	8667.04	9747.83	9256.51	9767.94	9048.74	9514.58	17417.7	16454.2	17597.4	17608.1	16390.9	19431.4
A0A096MJD8	A0A096MJD8	A0A096MJD8_RAT	Sh2d5	SH2 domain containing 5															654.509		506.027			461.344	526.304		259.776				219.301		331.471							
A0A096MJE3	A0A096MJE3	A0A096MJE3_RAT	Gspt2	G1 to S phase transition 2	20560.4	21237.1	21170.1	20522.6	21434	20784.6	17996.7	18064	19005.6	18262.4	19817.4	18891.4	22277.3	21918	22756.8	22150.8	22139.6	23349.4	21256.3	21633.6	21245.8	21967	22481.9	22502.4	14851.2	16181	15081.7	16666.4	16552.3	16016.1	14013.6	14988	14086.8	14655.3	13785	17609.7
A0A096MJF9	A0A096MJF9	A0A096MJF9_RAT	Tmem132e	Transmembrane protein 132E	52350.8	48797.2	51852.4	52057	46500.2	47193.2	30299.5	30397.8	30042.2	29757.2	32614	27955	22996.7	23294.1	23647.2	22668.5	22406.6	21888.8	25216.9	25851.9	24244.3	26024.1	23952.9	24349.3	42941.3	39777.3	40399.2	43987.4	44789.3	42799.4	47687.4	44647.4	47708.7	47819.6	51256	48071
A0A096MJI1	A0A096MJI1	A0A096MJI1_RAT	Zfx	Zinc finger protein X-linked	2559.16	1254.1	1228.83	1582.96	2182.93	1244.42	4909.62	5701.08	4319.5	3734.84	4958.08	3068.57	3654.43	3306.93	3130.8	2946.26	2382.26	1876.03	4074.58	4758.7	5366.74	5855.5	4783.3	4870.33	5331.58	5460.78	5583.14	6753.84	6927.12	6314.6	4428.98	4838.84	3806.61	4082.9	4748.74	4113.33
A0A096MJM8	A0A096MJM8	A0A096MJM8_RAT	Las1l	LAS1-like (S. cerevisiae)	2529.97	2558.4	2891.07	2710.48	2785.04	2547	3107.84	2956.82	2674.56	3095.61	3108.16	2816.1	2338.9	2582.33	2849.06	2703.87	2401.35	2572.57	2866.89	2689.67	2781.16	2937.97	2915.55	2855	3379.75	3809.32	3235.93	3205.78	3292.11	3154.23	4012.56	3553.97	4176.3	3855.06	4036.74	4065.96
A0A096MJN4	A0A096MJN4	SEPT4_RAT	Septin4	Septin-4	6012.05	5144.07	4391.66	4066.32	3865.1	4318.71	14351.4	11959	11852.8	11414	15594.5	10868.9	17107.9	15462.1	18588	14816.5	10354.5	11305.5	21045.8	20346.5	22162.2	22760.5	20911.8	19428.5	13381.3	12096.7	11147.4	12580.4	12864.3	11688.2	7913.39	7803.84	7210.84	7231.61	7856.19	6762.51
