Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5680.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5681.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5682.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5683.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_0.5ul_4-22-2024_Slot2-90_5684.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5675.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5676.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5677.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5678.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_1ul_4-22-2024_Slot2-89_5679.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5670.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5671.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5672.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5673.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_2ul_4-22-2024_Slot2-88_5674.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5685.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5686.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5687.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5688.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_3ul_4-22-2024_Slot2-87_5689.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2455.24	2345.88	3456.45	2726.14	2800.27	4388.79	3031.15	2698.59	2324.91	2663.84	3606.41	2626.08	2194.32	3739.17	3029.77	2795.37	2579.64	2406.33	2884.62	2656.63
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1358.99	1958.39	2019.33	2053.86	1894.24	2059.71	1385.23	1818.45	1654.16	2264.77	1740.88	1563.36	1718.54	1573.17	1777.97	1995.83	1624.1	1878.81	1889.95	1764.47
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1642.28	2367.4	2026.67	1315.71	1440.6	1659.99	1820.19	1549.05	1051.19	1413.46	2097.08	1898.02	1868.46	1944.04	1851.49	1271.27	1897.44	1808.72	1562.06	1674.37
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1063.73		1129.41		883.362	768.408	1225.04	951.184	1294.88	665.379	912.166	1868.33	929.407	1188.67	942.564	680.864	646.043	877.551	1231.99	894.605
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	753.733			1021.65	588.703							856.158		953.279	1068.18		976.296			610.477
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	986.821	1621.94		1629.23	1491.32	606.221	907.647	707.111	1119.81	780.424		1270.8	585.944			694.174	937.927	1073.92	1323.47	1180.89
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B				1586.48	889.668	994.315	1250.22	1074.34	706.177	1247.07	836.872	1492.25	1013.75	1339.93	1592.89	671.693	1667.21	773.206	892.589	1149.39
A2A3N6;O60331;Q99755	O60331;Q99755;A2A3N6	PI51A_HUMAN;PI51C_HUMAN;PIPSL_HUMAN	PIP5K1A;PIP5K1C;PIPSL	Putative PIP5K1A and PSMD4-like protein						1357.49				1799.01	1136.34	840.848		1076.31		1316.95	988.372	1172.11		
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8								306.082		595.953										
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10					1016.41							1138.91						380.504		
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5			3544.2	3253.78							3571.68			5210.27			4418.09	5185.97		
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	2257.11	1569.64	2067.55	2283.66	1923.05	1534.62	1976.4	1831.09	1758.74	1631.41	1398.07	2222.06	1740.13	1322.62	1762.33	1646.88	2130.93	1670.89	2019.08	1675.27
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1909.66	2726.09	2573.81	3382.09	1534.63	3211.56	2479.62	3571.64	3454.44	3327.78	3965.39	4262.58	3887.95	3819.44	3999.64	2246.58	2424.85	2895.1	2855.82	3573.77
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	3685.17	4152.23	4662.31	3976.38	4495.55	3625.73	4285.37	3648.51	4241.9	3191.46	5236.29	3982.25	4271.24	4122.17	4528.62	4119.94	3634.72	4263.2	4234.14	4235.62
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	5043.49	7244.78	6374.58	6303.06	6042.65	6784.5	6393.17	5066.18	6452.61	6259.47	5077.26	7757.3	4878.87	5451.72	5063.26	5220.73	7194.19	6873.21	5219.37	5258.18
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1		899.303		1143.43	960.473		908.68	1362.19	1666.11			1218.11	1914.39	1177.46	564.611	1201.23	1087.09	993.229	1117.59	728.762
A6NHS7	A6NHS7	MANS4_HUMAN	MANSC4	MANSC domain-containing protein 4					1362.03		1124.02	1415.52		1194.23				1497.84	931.533				836.085	857.09
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1																		1167.08	1457.32	951.334
A6ZKI3;Q17RB0;Q9BWD3	Q9BWD3;Q17RB0;A6ZKI3	RTL8A_HUMAN;RTL8B_HUMAN;RTL8C_HUMAN	RTL8A;RTL8B;RTL8C	Retrotransposon Gag-like protein 8C	1740.04					1866.76	727.933					533.212		1171.24	1852.59	1263.94	1140.77		1409.19	1161.76
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	14431	15689	14048.3	14962.9	14402	12888.7	15279.6	16196.6	12468.8	13833.8	14202	13862.4	12640.2	14647.4	13678.7	13482.1	12246.1	14460	13952.4	12658.7
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	6784.14	5587.21	5541.68	5356.64	4812.15	5356.44	4716.61	5315.04	5510.44	5326	5867.84	5892.75	5769.64	5547.4	5664.26	5839.18	5281.37	5504.31	6088.09	5474.64
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A								352.848				388.423	534.48							
C4AMC7;Q6VEQ5	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3																		538.119		
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		90740.4	84014.5	71034.1	68781.5	78784.3	70878.6	64055.9	80702.3	74031.9	80535.1	70376.4	71446.4	81734.8	75613	74083.2	84859.2	75741.5	73856.4	78253.4	80308.1
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		1151.89	1404.93	1839.9	1485.45	709.07	1394.68	1879.83	1485.73	2210.62	901.975	1642.1	902.3	1378.65	1326.5	2212.56	1754.89	1230.58	1113.57	1438.32	1526.18
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		1576.23	1873.12	1636.9	1120.12	1587.97	1276.24	1946.61	1386.72	1462.72	1644.21	1630.24	1120.07	1086.45	1626.35	1014.32	1106.15	1173.2	1428.54	1172.9	1217.3
CONT|P15497|APOA1_BOVIN	CONT|P15497|APOA1_BOVIN	Apolipoprotein	Apolipoprotein		1190.96			919.182	1206.62		955.247						900.058	998.372						684.169
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		449.509		693.967	855.388	986.308	568.78	893.186	924.3	915.717	1098.15		780.844			1113.78	1083.78		850.408	1170.66	
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin				1336.73	1404.91	1264.72	1628.62	1700.02	923.813	1440.75	1403.11	1458.76	1147.62	968.293	1346.43	1509.65	1227.34	1089.52	1259.84	1222.01	1220.43
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein			2321.84			2086.54			1024.37	1713.12	2237.84		1308.47	1007.06	1482.91		1472.6				
CONT|Q3ZBD7|G6PI_BOVIN	CONT|Q3ZBD7|G6PI_BOVIN	Glucose-6-phosphate	Glucose-6-phosphate													1325.44						1277.85	1227.79	
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	8418.92	8521.66	7598.61	7409.84	9581.47	7607.66	8780.28	7864.57	8783.06	8303.09	9676.78	7934.5	7608.33	8419.79	9921.51	7666.8	9309.68	8343.22	8972.33	8460.61
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	2337.05	2702.42	1515.16		1478.92		1296.28	1928.94	2405.8	1449.34	1508.03	1489.01	1550.78	1503.51	2338.94	1903.3	1468.26	1609.84	2098.52	2157.69
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	2805.15	2401.81	2501.68	2052.72	2528.52	2361.73	2767.16	2295.7	1908.65	1712.96	2046.48	1676.43	2142.85	2733.81	2128.47	2131.07	2323.84	1698.13	2564.46	2872.39
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	MIEF1 upstream open reading frame protein	1464.22								1622.32	1124.26						1140.81	1485.08	860.298		1210.01
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	3180.17	3542.5	1227.09	3032.92	2762.93	2887.78	3325.62	2767.78	2833.25	2668.11	3349.73	2448.93	2821.15	2147.49	3126.16	3151.33	3215.81	3248.9	3667.96	3704.85
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2229.38	2781.16	1783.64	2345.1	2253.14	2629.16	2121.23	1965.55	2291.18	1828.28	1792.21	1990.05	1963.16	1848.45	1839.23	2086.33	2602.45	2213.37	2012.03	2162.45
