Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-26_3729.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-27_3730.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-28_3731.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-29_3732.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-30_3733.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-31_3734.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-34_3737.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-35_3738.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-36_3739.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-37_3740.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-38_3741.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-18-2024_Slot1-39_3742.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-50_3744.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-51_3745.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-52_3746.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-53_3748.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-54_3749.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-55_3750.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-56_3754.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-57_3755.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-58_3756.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-59_3758.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-60_3759.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-61_3760.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-62_3762.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-63_3763.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-64_3764.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-19-2024_Slot1-65_3766.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-66_3767.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-69_3768.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-74_3770.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-75_3771.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-77_3772.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-83_3774.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-84_3775.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-85_3776.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-86_3778.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-87_3779.d	E:\Lucy\20240220_immo_astro_SCP\Lucy_immo_astro_DDM_DIA_2-20-2024_Slot1-88_3780.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_10ng_2-24-2024_Slot2-06_3864.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	E:\Lucy\20240224_pri_astro_bulk_SCP\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B																																								1873.11	1646.23	2660.12	1781.68	1387.71	1846.1
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	9018.02	12543.6	7724.07	2935.22	12307	7156.13	12244.1	10811.3	7913.94	5357.05	5105.36			10088	10150.9		12260.1	11458.7	11174.9	8466.75	7365.27	5915.72	2502.65	16925.5	13103.2	7621.1	4454.01					6901.45	10082.4		7140.77	3773.14	8987.64	18054.7	7280.22	10653	7392.29	3737.15	5811.77	8321.48	5287.31
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1																																								329.411	1309.86	499.771	1639.5	1223.61	1661.04
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47																																									20.7036			24.4722	88.1828
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56																																								429.62	482.142	813.353	526.44	384.734	547.987
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	8564.76	8789.99	6813.16	10076.2	9732.7	9176.26	8226.27	9637.64	6042.31	11977.9	3776.28			6002.13	7846.93			11535	12737.1	6506.75	9251.31	7540.92	12081.5		9971.01	6838.13	7438.05	5259.07		4037.11	6114.25	7672.33	5968.35		10054.9		5894.23		8128.59	7427.74	7198.07	6975.49	6054.95	6535.18	5857.23
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	4404.03	9799.23		6967.01	4547.1	7717.35	7784.1	11430.1	6872.35				7684.4		1881.82		4978.15	4017.49		1989.21	5359.5	5312.59		4052.27		9197.22									4180.82	4518.14		3915.68	2441.26	3556.48	2827.66	4066.72	3787.78	4340.59	4011.31
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like																																								152.051		237.46	120.026	110.626	139.206
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1						13739.5					4799.53																			5831.16										1513.48	1707.94	2041.5	5227.57	4074.39	5516.61
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223																																								1033.47	902.568	1364.7	1121.13	1296.33	1314.87
A0PJZ3	A0PJZ3	GXLT2_HUMAN	GXYLT2	Glucoside xylosyltransferase 2																																								191.256	157.417	139.3	67.3778	204.997	
A1A5C7	A1A5C7	S22AN_HUMAN	SLC22A23	Solute carrier family 22 member 23																																								1572.55	1976.37	1715.08	1572.44	1467.1	1565.12
A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A																																								369.786	383.711	608.342	460.536	394.199	596.933
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	3999.8		8017.65	5532.16	5184.59	5192.73	8900.82	3831.48	4540.27	10464.1	5633.54	10279.1	7508.16		6145.43		9609.81			3494		5822.9	6311.12	5011.1	5476.2	1932.93	6759.12					1716.29			3289.23		3208.98	6669.41	4131.35	447.897	347.814	615.352	535.958	657.901	566.162
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	9605.68	9790.84		8270.9	4820.2	6158.38	8752.19	5770.72	4947.17						4199.93					4894.04	3497.01	4061.12	6835.85		4102.51	4038.08	6840.02	17957.4				8318.98							10179.7	4955.9	4009.91	4569.72	3546.18	3762.74	3320.66
A1XBS5	A1XBS5	CBAR1_HUMAN	CIBAR1	CBY1-interacting BAR domain-containing protein 1																																									194.787	303.295	194.266	133.523	355.361
A2AJT9	A2AJT9	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3																																								509.976	370.568	455.351	679.507	603.921	608.343
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	2871.61			2794.56	3255.17	3738.35			3158.24		23098				4669.82		2881.33										10817.8	1509.82			8754.51	5140.98			4359.65			9589.23	3011.55	1345.62	1102.42	2039.38	1347.74	1550.52	1440.32
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic																																								473.111	357.302	334.958	655.336	577.494	581.579
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B																																								326.728	186.622	286.578	82.13	280.931	419.142
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5															1207.62																									721.879	723.745	1065.59	630.556	799.473	898.082
A2RUS2	A2RUS2	DEND3_HUMAN	DENND3	DENN domain-containing protein 3																																								353.102	789.376	415.308	436.97	334.483	608.148
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8				15490.7				1777.79	2472.69													5288.29										12368.6					24704.7		20868.8	1581.51	1428.08	2171.27	1875.03	2194.05	2061.94
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1											3563.77	5336.68	6990.8									3208.12		4537.58							2566.4									881.994	977.524	1217.15	803.651	891.213	1064.69
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10																																								1138.06	917.776	1266.73	1221.33	1340.06	1576.79
