Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	female_33_1_1 Spectral Count	female_33_2_2 Spectral Count	female_33_3_3 Spectral Count	female_37_1_1 Spectral Count	female_37_2_2 Spectral Count	female_37_3_3 Spectral Count	male_33_1_1 Spectral Count	male_33_2_2 Spectral Count	male_33_3_3 Spectral Count	male_37_1_1 Spectral Count	male_37_2_2 Spectral Count	male_37_3_3 Spectral Count	female_33_1_1 Unique Spectral Count	female_33_2_2 Unique Spectral Count	female_33_3_3 Unique Spectral Count	female_37_1_1 Unique Spectral Count	female_37_2_2 Unique Spectral Count	female_37_3_3 Unique Spectral Count	male_33_1_1 Unique Spectral Count	male_33_2_2 Unique Spectral Count	male_33_3_3 Unique Spectral Count	male_37_1_1 Unique Spectral Count	male_37_2_2 Unique Spectral Count	male_37_3_3 Unique Spectral Count	female_33_1_1 Total Spectral Count	female_33_2_2 Total Spectral Count	female_33_3_3 Total Spectral Count	female_37_1_1 Total Spectral Count	female_37_2_2 Total Spectral Count	female_37_3_3 Total Spectral Count	male_33_1_1 Total Spectral Count	male_33_2_2 Total Spectral Count	male_33_3_3 Total Spectral Count	male_37_1_1 Total Spectral Count	male_37_2_2 Total Spectral Count	male_37_3_3 Total Spectral Count	female_33_1_1 Intensity	female_33_2_2 Intensity	female_33_3_3 Intensity	female_37_1_1 Intensity	female_37_2_2 Intensity	female_37_3_3 Intensity	male_33_1_1 Intensity	male_33_2_2 Intensity	male_33_3_3 Intensity	male_37_1_1 Intensity	male_37_2_2 Intensity	male_37_3_3 Intensity	female_33_1_1 MaxLFQ Intensity	female_33_2_2 MaxLFQ Intensity	female_33_3_3 MaxLFQ Intensity	female_37_1_1 MaxLFQ Intensity	female_37_2_2 MaxLFQ Intensity	female_37_3_3 MaxLFQ Intensity	male_33_1_1 MaxLFQ Intensity	male_33_2_2 MaxLFQ Intensity	male_33_3_3 MaxLFQ Intensity	male_37_1_1 MaxLFQ Intensity	male_37_2_2 MaxLFQ Intensity	male_37_3_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		246	Bos taurus	1:Experimental evidence at protein level	Cationic trypsin	1.0	0.999	13	1374	1374	1374	139	103	120	151	78	118	115	76	94	154	114	112	139	103	120	151	78	118	115	76	94	154	114	112	139	103	120	151	78	118	115	76	94	154	114	112	1.66062326E11	1.45812013E11	1.67319077E11	7.4910794E10	8.3101663E10	1.6113972E11	1.3055742E11	8.215593E10	9.4968783E10	1.41991985E11	9.0328539E10	8.8972567E10	4.1370599E10	4.5477802E10	4.1899463E10	4.8279921E10	1.92388198E10	4.0672154E10	3.4398437E10	2.64749609E10	3.29892229E10	3.7230436E10	3.089937E10	3.1837993E10	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	6	54	54	54	5	6	5	4	10	4	3	7	5	1	3	1	5	6	5	4	10	4	3	7	5	1	3	1	5	6	5	4	10	4	3	7	5	1	3	1	3.58897376E8	5.10071616E8	5.5993805E8	4.52638016E8	4.13547469E9	2.98925248E8	1.7961336E7	1.31690944E9	5.8476416E7	0.0	1.7192266E7	0.0	2.61274688E8	4.5304048E8	4.87505472E8	3.87019968E8	3.79880627E9	0.0	0.0	1.22302925E9	0.0	0.0	0.0	0.0	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	0.9649	0.999	1	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0.0	6.6923592E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	1:Experimental evidence at protein level	Alpha-S2-casein	0.9999	0.9987	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.0	0.0	4.1952868E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	1:Experimental evidence at protein level	Beta-casein	0.9984	0.999	2	3	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0.0	0.0	6.3503084E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	1:Experimental evidence at protein level	Kappa-casein	1.0	0.999	3	5	5	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0.0	0.0	5.02532E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	34	272	230	272	37	31	25	26	22	23	12	20	23	16	20	17	33	27	23	22	17	19	10	18	21	10	16	14	37	31	25	26	22	23	12	20	23	16	20	17	3.21031117E9	2.0450313E9	1.59706509E9	1.44716915E9	1.68046528E9	1.66150195E9	9.4028672E8	9.4165594E8	1.21669517E9	4.92044416E8	1.2248471E9	6.5482355E8	6.0689094E8	3.40019616E8	3.29133312E8	2.98254496E8	2.69642464E8	2.61303008E8	1.9927496E8	1.9723032E8	2.48791856E8	1.76811104E8	2.0608864E8	1.65086304E8	
sp|A0A075B767|PAL4H_HUMAN	A0A075B767	PAL4H_HUMAN	PPIAL4H	164	Homo sapiens OX=9606	3:Protein inferred from homology	Peptidyl-prolyl cis-trans isomerase A-like 4H	0.8725	0.996	2	3	3	52	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	6	5	6	3	4	5	2	4	6	3	6	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	164	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Peptidyl-prolyl cis-trans isomerase A-like 4C	0.9628	0.9989	2	4	0	53	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	5	3	4	5	2	5	6	4	6	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0DN37|PAL4G_HUMAN
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	8	81	0	81	4	6	8	7	9	6	7	5	6	8	7	8	0	0	0	0	0	0	0	0	0	0	0	0	4	6	8	7	9	6	7	5	6	8	7	8	8.3875632E7	3.59328064E8	2.39743648E8	1.67818208E8	1.49422656E8	2.10408144E8	2.00723552E8	1.4247136E8	1.684152E8	3.297664E8	2.87310816E8	2.02279872E8	8.2115488E7	1.0281164E8	7.288292E7	1.13911688E8	8.2438296E7	9.1125512E7	8.077032E7	8.2507136E7	1.11631536E8	1.07220872E8	1.08735992E8	8.1191208E7	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0.8903	0.9966	1	3	3	3	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.5611075E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0U1RRE5|NBDY_HUMAN	A0A0U1RRE5	NBDY_HUMAN	NBDY	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	Negative regulator of P-body association	0.9651	0.999	1	12	12	12	2	1	1	1	0	1	1	0	2	1	1	1	2	1	1	1	0	1	1	0	2	1	1	1	2	1	1	1	0	1	1	0	2	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein MMP24	0.9651	0.999	1	10	10	10	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0.0	0.0	1.0187102E7	1.0837376E7	1.7602896E7	1.6749743E7	0.0	2.2339332E7	1.6242868E7	1.7772262E7	1.7538108E7	2.2281946E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	275	Homo sapiens OX=9606	4:Protein predicted	Heterogeneous nuclear ribonucleoprotein A1-like 3	0.9998	0.999	15	2	2	232	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	18	17	27	17	18	20	23	23	12	19	22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	37	235	235	235	17	22	17	20	22	24	21	18	19	10	22	23	17	22	17	20	22	24	21	18	19	10	22	23	17	22	17	20	22	24	21	18	19	10	22	23	3.45120288E8	3.6462208E8	3.50836E8	4.3916272E8	4.61739392E8	5.27075488E8	4.86177536E8	5.6422554E8	5.2485232E8	2.322956E8	5.00850688E8	4.36930656E8	5.642264E7	5.4715988E7	5.356546E7	7.180156E7	6.7619512E7	7.1465712E7	6.6227444E7	6.5649956E7	6.918248E7	6.4312904E7	7.2495168E7	7.4097048E7	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	20	122	122	122	9	11	7	8	13	6	10	12	14	11	9	12	9	11	7	8	13	6	10	12	14	11	9	12	9	11	7	8	13	6	10	12	14	11	9	12	2.75144448E8	2.88567776E8	1.88159552E8	2.97922176E8	2.03588528E8	1.96772736E8	2.97476736E8	2.39469136E8	2.48936448E8	3.20949856E8	2.27078656E8	2.40025952E8	9.0310592E7	7.0633552E7	7.2369496E7	8.5400176E7	6.4470764E7	7.4103216E7	8.1766272E7	6.8393384E7	6.847764E7	9.6171216E7	8.196604E7	6.8115552E7	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	0.9084	0.9972	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	27	94	94	94	4	2	4	3	1	1	11	20	13	10	14	11	4	2	4	3	1	1	11	20	13	10	14	11	4	2	4	3	1	1	11	20	13	10	14	11	3.9647584E7	3.440748E7	5.361448E7	2.4518738E7	0.0	1.7379922E7	1.95254768E8	3.34414944E8	2.00573088E8	2.44041696E8	2.67221792E8	2.39618848E8	2.5293474E7	2.42671E7	2.9430406E7	1.8181016E7	0.0	0.0	6.34385E7	6.2570352E7	5.7872436E7	5.6438056E7	6.0934232E7	5.1937956E7	
