Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	PC12_day6_1_1 Spectral Count	PC12_day6_2_2 Spectral Count	PC12_day6_3_3 Spectral Count	PC12_undiff_1_1 Spectral Count	PC12_undiff_2_2 Spectral Count	PC12_undiff_3_3 Spectral Count	PC12_day6_1_1 Unique Spectral Count	PC12_day6_2_2 Unique Spectral Count	PC12_day6_3_3 Unique Spectral Count	PC12_undiff_1_1 Unique Spectral Count	PC12_undiff_2_2 Unique Spectral Count	PC12_undiff_3_3 Unique Spectral Count	PC12_day6_1_1 Total Spectral Count	PC12_day6_2_2 Total Spectral Count	PC12_day6_3_3 Total Spectral Count	PC12_undiff_1_1 Total Spectral Count	PC12_undiff_2_2 Total Spectral Count	PC12_undiff_3_3 Total Spectral Count	PC12_day6_1_1 Intensity	PC12_day6_2_2 Intensity	PC12_day6_3_3 Intensity	PC12_undiff_1_1 Intensity	PC12_undiff_2_2 Intensity	PC12_undiff_3_3 Intensity	PC12_day6_1_1 MaxLFQ Intensity	PC12_day6_2_2 MaxLFQ Intensity	PC12_day6_3_3 MaxLFQ Intensity	PC12_undiff_1_1 MaxLFQ Intensity	PC12_undiff_2_2 MaxLFQ Intensity	PC12_undiff_3_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0G2JTR4|ABR_RAT	A0A0G2JTR4	ABR_RAT	Abr	859	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Active breakpoint cluster region-related protein	1.0	0.999	5	23	17	23	3	7	3	3	4	3	2	6	2	2	3	2	3	7	3	3	4	3	91600.87	101786.32	33757.977	69613.4	89393.55	98014.75	29966.914	29797.719	27399.215	32452.824	34185.535	32987.61	
sp|A0A0G2JXT6|MTMR6_RAT	A0A0G2JXT6	MTMR6_RAT	Mtmr6	655	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Myotubularin-related protein 6	1.0	0.999	4	10	10	10	0	1	0	3	2	4	0	1	0	3	2	4	0	1	0	3	2	4	9533.65	13632.901	0.0	19673.732	26381.047	35607.188	0.0	6958.77	0.0	14915.312	14668.43	15125.019	
sp|A0A0G2JZ79|SIR1_RAT	A0A0G2JZ79	SIR1_RAT	Sirt1	555	Rattus norvegicus OX=10116	3:Protein inferred from homology	NAD-dependent protein deacetylase sirtuin-1	1.0	0.999	3	8	8	8	0	0	0	4	2	2	0	0	0	4	2	2	0	0	0	4	2	2	0.0	13495.161	0.0	27255.8	26476.094	10652.931	0.0	8767.607	0.0	19008.357	17863.41	0.0	
sp|A0A0G2K1Q8|ABCA3_RAT	A0A0G2K1Q8	ABCA3_RAT	Abca3	1704	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Phospholipid-transporting ATPase ABCA3	1.0	0.999	6	11	11	11	2	3	5	0	1	0	2	3	5	0	1	0	2	3	5	0	1	0	70016.055	53433.914	66056.61	0.0	8816.037	22077.168	29832.256	26239.77	25521.809	0.0	0.0	11878.67	
sp|A0A0G2K2P5|ZO1_RAT	A0A0G2K2P5	ZO1_RAT	Tjp1	1765	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Tight junction protein ZO-1	1.0	0.999	15	52	52	52	6	5	7	12	10	12	6	5	7	12	10	12	6	5	7	12	10	12	178919.1	163153.9	132385.64	256376.25	137578.44	238757.17	51571.168	48143.902	45342.79	75869.63	62040.98	76057.516	
sp|A0A0G2K5L2|GHC1_RAT	A0A0G2K5L2	GHC1_RAT	Slc25a22	323	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Mitochondrial glutamate carrier 1	1.0	0.999	8	36	33	36	7	8	10	4	4	3	6	7	9	4	4	3	7	8	10	4	4	3	255630.53	289211.75	235014.0	102595.55	62793.58	69067.23	68482.484	71662.29	68439.71	31939.014	26505.764	28453.832	
sp|A0A0G2QC33|ATG4B_RAT	A0A0G2QC33	ATG4B_RAT	Atg4b	393	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Cysteine protease ATG4B	1.0	0.999	4	22	22	22	3	5	3	4	3	4	3	5	3	4	3	4	3	5	3	4	3	4	14976.374	22915.39	18816.516	23739.498	32623.926	43624.492	9911.793	12737.352	13233.985	13313.149	20986.266	20816.744	
sp|A0A8I5ZNK2|OXSR1_RAT	A0A8I5ZNK2	OXSR1_RAT	Oxsr1	528	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Serine/threonine-protein kinase	1.0	0.999	5	27	27	27	4	4	3	5	5	6	4	4	3	5	5	6	4	4	3	5	5	6	83762.41	72196.98	70434.61	79760.54	50145.867	74434.836	29735.457	26336.664	29972.367	30141.518	27498.738	25789.963	
sp|A0JPJ7|OLA1_RAT	A0JPJ7	OLA1_RAT	Ola1	396	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Obg-like ATPase 1	1.0	0.999	14	88	88	88	11	15	17	16	16	13	11	15	17	16	16	13	11	15	17	16	16	13	469584.2	510937.72	507269.6	470211.97	435230.84	429407.78	100052.35	119930.5	115308.1	97709.97	100815.97	111239.75	
sp|A0JPM9|EIF3J_RAT	A0JPM9	EIF3J_RAT	Eif3j	259	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit J	1.0	0.999	9	53	23	53	7	8	8	11	11	8	3	4	3	5	4	4	7	8	8	11	11	8	202162.52	190860.62	230069.16	222312.4	244099.88	207668.44	82220.09	69391.81	72686.734	81364.12	78873.15	78637.67	
sp|A0JPN6|MED22_RAT	A0JPN6	MED22_RAT	Med22	200	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 22	1.0	0.999	3	3	3	3	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	9972.613	7374.801	0.0	0.0	11587.172	7212.6997	7629.487	0.0	0.0	0.0	6403.428	0.0	
sp|A0JPQ7|CS047_RAT	A0JPQ7	CS047_RAT		397	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Uncharacterized protein C19orf47 homolog	1.0	0.999	2	7	7	7	0	0	0	2	2	3	0	0	0	2	2	3	0	0	0	2	2	3	4784.1343	0.0	0.0	20211.277	6263.3984	19986.326	0.0	0.0	0.0	13597.473	0.0	13488.036	
sp|A0JPQ9|CHID1_RAT	A0JPQ9	CHID1_RAT	Chid1	393	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Chitinase domain-containing protein 1	1.0	0.999	3	13	13	13	4	3	2	1	2	1	4	3	2	1	2	1	4	3	2	1	2	1	60052.418	47773.78	32760.693	0.0	19497.734	3884.0857	26419.51	21739.543	25794.79	0.0	13390.617	0.0	
sp|A0MZ67|SHOT1_RAT	A0MZ67	SHOT1_RAT	Shtn1	633	Rattus norvegicus OX=10116	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	17	86	86	86	15	13	18	14	14	12	15	13	18	14	14	12	15	13	18	14	14	12	354956.06	361116.53	347370.94	315193.4	248752.64	268082.6	58321.195	60470.957	69522.83	57394.863	55799.34	57880.73	
sp|A1A5P2|RRS1_RAT	A1A5P2	RRS1_RAT	Rrs1	365	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	Ribosome biogenesis regulatory protein homolog	1.0	0.999	3	10	10	10	1	1	1	2	3	2	1	1	1	2	3	2	1	1	1	2	3	2	22224.643	20124.982	19636.086	42982.5	38041.105	40927.69	0.0	0.0	0.0	26923.201	20080.338	25024.35	
sp|A1A5P5|ARMC9_RAT	A1A5P5	ARMC9_RAT	Armc9	730	Rattus norvegicus OX=10116	2:Experimental evidence at transcript level	LisH domain-containing protein ARMC9	0.9921	0.9988	1	5	5	5	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	9392.3955	8017.8555	8231.527	9640.65	8275.578	7069.8403	0.0	0.0	0.0	0.0	0.0	0.0	
