Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	f_10ug_polyIC_1 Spectral Count	f_10ug_polyIC_2 Spectral Count	f_10ug_polyIC_3 Spectral Count	f_1ug_polyIC_1 Spectral Count	f_1ug_polyIC_2 Spectral Count	f_1ug_polyIC_3 Spectral Count	f_control_1 Spectral Count	f_control_2 Spectral Count	f_control_3 Spectral Count	f_lipo_1 Spectral Count	f_lipo_2 Spectral Count	f_lipo_3 Spectral Count	m_10ug_polyIC_1 Spectral Count	m_10ug_polyIC_2 Spectral Count	m_10ug_polyIC_3 Spectral Count	m_1ug_polyIC_1 Spectral Count	m_1ug_polyIC_2 Spectral Count	m_1ug_polyIC_3 Spectral Count	m_control_1 Spectral Count	m_control_2 Spectral Count	m_control_3 Spectral Count	m_lipo_1 Spectral Count	m_lipo_2 Spectral Count	m_lipo_3 Spectral Count	f_10ug_polyIC_1 Unique Spectral Count	f_10ug_polyIC_2 Unique Spectral Count	f_10ug_polyIC_3 Unique Spectral Count	f_1ug_polyIC_1 Unique Spectral Count	f_1ug_polyIC_2 Unique Spectral Count	f_1ug_polyIC_3 Unique Spectral Count	f_control_1 Unique Spectral Count	f_control_2 Unique Spectral Count	f_control_3 Unique Spectral Count	f_lipo_1 Unique Spectral Count	f_lipo_2 Unique Spectral Count	f_lipo_3 Unique Spectral Count	m_10ug_polyIC_1 Unique Spectral Count	m_10ug_polyIC_2 Unique Spectral Count	m_10ug_polyIC_3 Unique Spectral Count	m_1ug_polyIC_1 Unique Spectral Count	m_1ug_polyIC_2 Unique Spectral Count	m_1ug_polyIC_3 Unique Spectral Count	m_control_1 Unique Spectral Count	m_control_2 Unique Spectral Count	m_control_3 Unique Spectral Count	m_lipo_1 Unique Spectral Count	m_lipo_2 Unique Spectral Count	m_lipo_3 Unique Spectral Count	f_10ug_polyIC_1 Total Spectral Count	f_10ug_polyIC_2 Total Spectral Count	f_10ug_polyIC_3 Total Spectral Count	f_1ug_polyIC_1 Total Spectral Count	f_1ug_polyIC_2 Total Spectral Count	f_1ug_polyIC_3 Total Spectral Count	f_control_1 Total Spectral Count	f_control_2 Total Spectral Count	f_control_3 Total Spectral Count	f_lipo_1 Total Spectral Count	f_lipo_2 Total Spectral Count	f_lipo_3 Total Spectral Count	m_10ug_polyIC_1 Total Spectral Count	m_10ug_polyIC_2 Total Spectral Count	m_10ug_polyIC_3 Total Spectral Count	m_1ug_polyIC_1 Total Spectral Count	m_1ug_polyIC_2 Total Spectral Count	m_1ug_polyIC_3 Total Spectral Count	m_control_1 Total Spectral Count	m_control_2 Total Spectral Count	m_control_3 Total Spectral Count	m_lipo_1 Total Spectral Count	m_lipo_2 Total Spectral Count	m_lipo_3 Total Spectral Count	f_10ug_polyIC_1 Intensity	f_10ug_polyIC_2 Intensity	f_10ug_polyIC_3 Intensity	f_1ug_polyIC_1 Intensity	f_1ug_polyIC_2 Intensity	f_1ug_polyIC_3 Intensity	f_control_1 Intensity	f_control_2 Intensity	f_control_3 Intensity	f_lipo_1 Intensity	f_lipo_2 Intensity	f_lipo_3 Intensity	m_10ug_polyIC_1 Intensity	m_10ug_polyIC_2 Intensity	m_10ug_polyIC_3 Intensity	m_1ug_polyIC_1 Intensity	m_1ug_polyIC_2 Intensity	m_1ug_polyIC_3 Intensity	m_control_1 Intensity	m_control_2 Intensity	m_control_3 Intensity	m_lipo_1 Intensity	m_lipo_2 Intensity	m_lipo_3 Intensity	f_10ug_polyIC_1 MaxLFQ Intensity	f_10ug_polyIC_2 MaxLFQ Intensity	f_10ug_polyIC_3 MaxLFQ Intensity	f_1ug_polyIC_1 MaxLFQ Intensity	f_1ug_polyIC_2 MaxLFQ Intensity	f_1ug_polyIC_3 MaxLFQ Intensity	f_control_1 MaxLFQ Intensity	f_control_2 MaxLFQ Intensity	f_control_3 MaxLFQ Intensity	f_lipo_1 MaxLFQ Intensity	f_lipo_2 MaxLFQ Intensity	f_lipo_3 MaxLFQ Intensity	m_10ug_polyIC_1 MaxLFQ Intensity	m_10ug_polyIC_2 MaxLFQ Intensity	m_10ug_polyIC_3 MaxLFQ Intensity	m_1ug_polyIC_1 MaxLFQ Intensity	m_1ug_polyIC_2 MaxLFQ Intensity	m_1ug_polyIC_3 MaxLFQ Intensity	m_control_1 MaxLFQ Intensity	m_control_2 MaxLFQ Intensity	m_control_3 MaxLFQ Intensity	m_lipo_1 MaxLFQ Intensity	m_lipo_2 MaxLFQ Intensity	m_lipo_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		246	Bos taurus	1:Experimental evidence at protein level	Cationic trypsin	1	0.999	14	2022	1968	2022	74	80	79	89	73	89	71	79	79	110	108	105	81	95	65	71	78	84	83	80	77	105	78	89	74	80	79	89	73	89	71	79	77	110	108	105	77	90	62	65	74	80	77	76	73	100	75	85	74	80	79	89	73	89	71	79	79	110	108	105	81	95	65	71	78	84	83	80	77	105	78	89	8.85E+10	7.96E+10	5.02E+10	6.28E+10	4.34E+10	5.27E+10	7.87E+10	9.97E+10	5.68E+10	7.87E+10	9.94E+10	5.78E+10	4.53E+10	7.11E+10	6.68E+10	8.45E+10	6.90E+10	6.73E+10	7.20E+10	7.35E+10	3.67E+10	9.17E+10	9.70E+10	6.93E+10	2.36E+10	2.34E+10	2.11E+10	2.24E+10	9.49E+09	2.96E+10	2.64E+10	3.38E+10	2.66E+10	3.48E+10	3.66E+10	1.14E+10	2.28E+10	3.62E+10	1.81E+10	3.35E+10	2.72E+10	2.89E+10	2.52E+10	2.47E+10	2.28E+10	2.80E+10	3.08E+10	2.66E+10	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1	0.999	6	225	225	279	9	9	12	9	9	10	11	9	11	9	11	9	11	9	7	11	9	9	7	9	9	9	8	9	9	9	12	9	9	10	11	9	11	9	11	9	11	9	7	11	9	9	7	9	9	9	8	9	9	9	12	9	9	10	11	9	13	9	11	9	15	14	10	17	13	13	13	13	13	14	11	13	5.70E+09	8.00E+09	8.08E+09	6.13E+09	6.91E+09	7.36E+09	6.45E+09	7.48E+09	7.20E+09	1.02E+10	9.43E+09	8.15E+09	5.78E+09	4.17E+09	2.36E+09	6.17E+09	4.74E+09	5.78E+09	3.67E+09	4.66E+09	4.82E+09	6.55E+09	6.88E+09	6.39E+09	2.78E+09	3.57E+09	3.58E+09	2.67E+09	3.19E+09	3.26E+09	2.70E+09	3.10E+09	3.00E+09	4.43E+09	4.64E+09	3.39E+09	2.57E+09	3.52E+09	1.93E+09	2.62E+09	1.94E+09	2.45E+09	1.69E+09	2.13E+09	2.14E+09	3.00E+09	3.11E+09	2.77E+09	
contam_sp|P00791|PEPA_PIG	P00791	PEPA_PIG	PGA	385	Sus scrofa	1:Experimental evidence at protein level	Pepsin A	0.8147	0.9944	1	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64E+07	0	0	0	3.09E+07	9.60E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	0.9473	0.9986	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1	0.999	30	432	363	432	21	17	21	17	11	19	26	19	16	20	21	14	21	16	20	9	22	12	18	16	20	21	16	19	18	14	18	14	9	16	23	16	13	18	18	9	19	13	16	7	18	9	16	13	18	18	13	17	21	17	21	17	11	19	26	19	16	20	21	14	21	16	20	9	22	12	18	16	20	21	16	19	2.47E+09	1.57E+09	3.54E+09	1.48E+09	1.11E+09	1.20E+09	1.71E+09	2.24E+09	1.15E+09	1.88E+09	1.87E+09	1.29E+09	1.90E+09	1.42E+09	3.18E+09	1.09E+09	1.92E+09	1.02E+09	1.12E+09	1.07E+09	1.27E+09	1.81E+09	1.54E+09	1.52E+09	5.69E+08	4.25E+08	7.73E+08	3.83E+08	2.99E+08	3.19E+08	3.99E+08	5.31E+08	2.75E+08	4.18E+08	4.03E+08	3.75E+08	4.27E+08	3.83E+08	7.77E+08	2.88E+08	3.76E+08	2.51E+08	2.78E+08	2.85E+08	2.86E+08	4.22E+08	4.21E+08	3.65E+08	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	"Keratin, type II microfibrillar, component 5"	0.9891	0.999	4	6	1	132	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	6	6	3	3	4	6	8	3	4	9	5	4	3	5	3	4	5	6	9	10	6	6	3.14E+07	0	0	2.62E+07	0	0	0	0	2.11E+07	0	0	0	0	0	0	0	0	0	6.12E+07	0	0	1.17E+08	1.17E+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens OX=9606	3:Protein inferred from homology	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	0.9872	0.9984	6	3	3	69	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	3	1	4	4	4	5	2	2	2	5	3	1	1	3	3	4	3	3	2	2	5	0	0	0	0	0	8710480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A096LP01|SIM26_HUMAN	A0A096LP01	SIM26_HUMAN	SMIM26	95	Homo sapiens OX=9606	3:Protein inferred from homology	Small integral membrane protein 26	0.9294	0.9981	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	164	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Peptidyl-prolyl cis-trans isomerase A-like 4C	0.9868	0.999	3	2	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	5	4	4	8	7	10	8	6	7	8	7	5	5	3	11	9	8	7	8	7	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	1	0.999	9	187	0	187	6	11	7	8	3	7	7	10	8	7	8	8	8	9	8	7	9	9	8	8	9	8	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	7	8	3	7	7	10	8	7	8	8	8	9	8	7	9	9	8	8	9	8	7	7	5.86E+08	7.42E+08	5.20E+08	6.14E+08	4.28E+08	6.34E+08	6.73E+08	8.01E+08	6.73E+08	7.65E+08	7.07E+08	4.46E+08	7.12E+08	8.06E+08	6.69E+08	4.07E+08	5.91E+08	7.20E+08	6.24E+08	6.63E+08	4.70E+08	7.71E+08	7.68E+08	6.49E+08	2.55E+08	2.37E+08	2.35E+08	2.69E+08	2.16E+08	2.66E+08	2.58E+08	2.59E+08	2.50E+08	2.48E+08	2.48E+08	2.01E+08	2.56E+08	2.88E+08	2.40E+08	1.81E+08	2.07E+08	2.44E+08	2.25E+08	2.20E+08	2.14E+08	2.48E+08	2.49E+08	2.53E+08	sp|P0DPI2|GAL3A_HUMAN
