Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-99_3554.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-100_3555.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-101_3557.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-102_3558.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-103_3559.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-10-2024_Slot1-113_3560.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-11-2024_Slot1-114_3562.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_noDDM_DIA_2-11-2024_Slot1-115_3563.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-53_3542.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-54_3543.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-57_3545.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-58_3546.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-59_3549.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-10-2024_Slot1-60_3550.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-61_3567.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-62_3568.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-63_3569.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_2-11-2024_Slot1-64_3570.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-47_3534.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-50_3535.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-9-2024_Slot1-51_3537.d	D:\Data\Lucy\20240212_immo_astro_SCP\Lucy_immo_astro_wDDM_DIA_200flow_2-10-2024_Slot1-52_3538.d
Q9BY32	Q9BY32	ITPA_HUMAN	ITPA	Inosine triphosphate pyrophosphatase				572.129						393.815	551.273	113.081	13.8138	216.553	374.785				372.93			
O15305	O15305;H3BV55;A0A804HKA7;H3BPH4	PMM2_HUMAN	PMM2	Phosphomannomutase 2		80.5846		528.696	637.211				211.05		578.148	182.604	16.2927	142.856					304.822			
Q14677	Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1		256.602		169.866		352.656			77.667	93.8319		395.427	20.8582	149.123					138.608	207.142		
Q86WJ1	Q86WJ1;A0A0A0MRH8;A0A0A0MSH9;A0A494C179;A0A494C1F7	CHD1L_HUMAN	CHD1L	Chromodomain-helicase-DNA-binding protein 1-like				267.339								121.065	22.6512	161.765								
P12109	P12109;A0A087X0S5	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain		385.362		188.129		364.827			163.585			253.298	24.4224	209.547					167.465			
Q9UEY8	Q9UEY8	ADDG_HUMAN	ADD3	Gamma-adducin									108.498		124.394		27.7793	41.3908					113.485	163.258		
Q9H8Y8	Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2				246.422					333.88		135.847	153.496	27.8278	249.536					36.7929			
Q12874	Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3		192.192		182.827					104.681		217.966	213.878	28.4342	53.9213					53.7504			236.889
Q8N3C0	Q8N3C0	ASCC3_HUMAN	ASCC3	Activating signal cointegrator 1 complex subunit 3		448.444		190.956	122.428				1058.81	514.543	39.9258	2927.34	28.8075	331.21					362.489	47.2966		
A6NFN3;O43251;Q9NWB1	O43251;Q9NWB1;A6NFN3;A0A087X2B1;A0A0G2JRA5;A0A0G2JSB3;A0A286YEU2;A0A3B3ITL7;A0A6Q8PFM4;A0A6Q8PGE0;A0A6Q8PH77;A0A6Q8PHA3;A0A804HJM2;A0A804HKG7;A0A8I5KWJ3;A0A8Q3SI19;A0A8Q3SI20;A0A8Q3SI31;A0A8Q3SI58;A0A8Q3SI75;A0A8Q3WKT3;A0A994J531;B0QYV1;B0QYY4;B0QYY6;B0QYY7;B7Z1U7;F5H0M1;F8VR27;F8VZG9;F8VZY7;I3L1D4;J3QQZ2;J3QRF4;S4R469	RFOX1_HUMAN;RFOX2_HUMAN;RFOX3_HUMAN	RBFOX1;RBFOX2;RBFOX3	RNA binding protein fox-1 homolog 3									120.276		42.4287		30.6138	99.2155								
B7ZW38;O60812;P0DMR1	O60812;B7ZW38;P0DMR1;A0A0G2JPF8	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3												139.677	37.0878	45.1141								419.883
