Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Unique Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Unique Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Unique Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Unique Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Unique Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Unique Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Total Spectral Count	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Total Spectral Count	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Total Spectral Count	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Total Spectral Count	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Total Spectral Count	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Total Spectral Count	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Intensity	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Unique Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Unique Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Unique Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Unique Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Unique Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Unique Intensity	Hela_10ng_DDA_8-3-2023_S1-D1_2074 Total Intensity	Hela_1250ng_DDA_8-3-2023_S1-G1_2077 Total Intensity	Hela_2500pg_DDA_8-3-2023_S1-F1_2076 Total Intensity	Hela_310pg_DDA_8-3-2023_S1-A1_2079 Total Intensity	Hela_5ng_DDA_8-4-2023_S1-D1_2083 Total Intensity	Hela_625pg_DDA_8-3-2023_S1-H1_2078 Total Intensity	Indistinguishable Proteins
contam_sp|P02769|ALBU_BOVIN	contam_sp|P02769|ALBU_BOVIN Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4			607	13.2				1	0.999	7	17	17	17	10	2	4	0	1	0	10	2	4	0	1	0	10	2	4	0	1	0	89960.89	11604.534	32239.17	0	23416.555	0	89960.89	11604.534	32239.17	0	23416.555	0	89960.89	11604.534	32239.17	0	23416.555	0	
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	10.5	Homo sapiens OX=9606	3:Protein inferred from homology	Malignant T-cell-amplified sequence 2	1	0.999	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16278.705	0	0	0	0	0	0	0	0	0	0	0	16278.705	0	0	0	0	0	sp|Q9ULC4|MCTS1_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	14.6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1	0.999	12	27	27	27	12	2	7	0	6	0	12	2	7	0	6	0	12	2	7	0	6	0	93908.82	14473.585	32939.617	0	30677.502	3028.3013	93908.82	14473.585	32939.617	0	30677.502	3028.3013	93908.82	14473.585	32939.617	0	30677.502	3028.3013	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	6.4	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1	0.999	3	4	4	4	4	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	44558.57	0	5736.546	0	9044.212	0	44558.57	0	5736.546	0	9044.212	0	44558.57	0	5736.546	0	9044.212	0	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	15.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1	0.999	7	18	18	18	6	2	6	0	4	0	6	2	6	0	4	0	6	2	6	0	4	0	58774.82	10074.729	25662.426	0	13106.2705	0	58774.82	10074.729	25662.426	0	13106.2705	0	58774.82	10074.729	25662.426	0	13106.2705	0	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	1.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1	0.9988	2	3	3	3	2	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	10091.15	0	0	0	0	0	10091.15	0	0	0	0	0	10091.15	0	0	0	0	0	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	1.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1	0.999	2	3	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	18313.998	0	0	0	0	0	18313.998	0	0	0	0	0	18313.998	0	0	0	0	0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	2.8	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1	0.999	6	7	7	7	5	0	2	0	0	0	5	0	2	0	0	0	5	0	2	0	0	0	55442.625	2578.52	19309.521	0	15248.01	0	55442.625	2578.52	19309.521	0	15248.01	0	55442.625	2578.52	19309.521	0	15248.01	0	
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	19	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerol-3-phosphate phosphatase	1	0.999	5	19	19	19	7	3	5	0	4	0	7	3	5	0	4	0	7	3	5	0	4	0	103718.18	22845.463	35974.46	0	38168.008	7737.9937	103718.18	22845.463	35974.46	0	38168.008	7737.9937	103718.18	22845.463	35974.46	0	38168.008	7737.9937	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	4.5	Homo sapiens OX=9606	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1	0.999	5	8	8	8	5	0	3	0	0	0	5	0	3	0	0	0	5	0	3	0	0	0	58557.35	9840.18	17457.086	0	9474.383	0	58557.35	9840.18	17457.086	0	9474.383	0	58557.35	9840.18	17457.086	0	9474.383	0	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	10.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1	0.999	3	14	14	14	6	1	5	0	2	0	6	1	5	0	2	0	6	1	5	0	2	0	103938.875	18148.186	36805.715	0	20810.312	8974.389	103938.875	18148.186	36805.715	0	20810.312	8974.389	103938.875	18148.186	36805.715	0	20810.312	8974.389	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	13.7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1	0.999	2	5	5	5	2	0	2	0	1	0	2	0	2	0	1	0	2	0	2	0	1	0	24692.717	0	6287.6104	0	0	0	24692.717	0	6287.6104	0	0	0	24692.717	0	6287.6104	0	0	0	
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	32.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	AH receptor-interacting protein	1	0.999	8	13	13	13	11	1	1	0	0	0	11	1	1	0	0	0	11	1	1	0	0	0	51403.062	12954.326	21649.965	0	6409.8286	2533.0762	51403.062	12954.326	21649.965	0	6409.8286	2533.0762	51403.062	12954.326	21649.965	0	6409.8286	2533.0762	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	4.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3	1	0.999	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	12713.58	0	0	0	0	0	12713.58	0	0	0	0	0	12713.58	0	0	0	0	0	
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	13.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small acidic protein	1	0.999	3	14	14	14	6	2	4	0	2	0	6	2	4	0	2	0	6	2	4	0	2	0	117165.67	22190.59	39486.766	0	27566.17	0	117165.67	22190.59	39486.766	0	27566.17	0	117165.67	22190.59	39486.766	0	27566.17	0	
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	14.3	Homo sapiens OX=9606	1:Experimental evidence at protein level	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	1	0.999	2	5	5	5	4	0	1	0	0	0	4	0	1	0	0	0	4	0	1	0	0	0	29314.012	0	7244.4844	0	0	0	29314.012	0	7244.4844	0	0	0	29314.012	0	7244.4844	0	0	0	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	26.1	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1	0.999	13	45	45	45	15	8	12	0	10	0	15	8	12	0	10	0	15	8	12	0	10	0	148071.67	30038.08	51727.957	4172.175	52082.1	5847.888	148071.67	30038.08	51727.957	4172.175	52082.1	5847.888	148071.67	30038.08	51727.957	4172.175	52082.1	5847.888	
