Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	female_1 Spectral Count	female_2 Spectral Count	female_3 Spectral Count	male_1 Spectral Count	male_2 Spectral Count	male_3 Spectral Count	female_1 Unique Spectral Count	female_2 Unique Spectral Count	female_3 Unique Spectral Count	male_1 Unique Spectral Count	male_2 Unique Spectral Count	male_3 Unique Spectral Count	female_1 Total Spectral Count	female_2 Total Spectral Count	female_3 Total Spectral Count	male_1 Total Spectral Count	male_2 Total Spectral Count	male_3 Total Spectral Count	female_1 Intensity	female_2 Intensity	female_3 Intensity	male_1 Intensity	male_2 Intensity	male_3 Intensity	female_1 MaxLFQ Intensity	female_2 MaxLFQ Intensity	female_3 MaxLFQ Intensity	male_1 MaxLFQ Intensity	male_2 MaxLFQ Intensity	male_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	0.999	0.9892	10	8	5	63	2	2	1	2	1	0	1	1	0	2	1	0	12	12	11	11	7	10	8.7093464E7	8.7749056E7	1.8612266E7	1.3472798E7	1.9787124E7	1.0421829E7	5.9441904E7	6.336596E7	0.0	0.0	1.5388326E7	0.0	
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		246	Bos taurus	1:Experimental evidence at protein level	Cationic trypsin	1.0	0.999	14	1065	1011	1065	178	162	185	189	197	154	170	152	175	179	187	148	178	162	185	189	197	154	1.63322364E11	1.22977239E11	1.05986253E11	1.32801642E11	7.3470239E10	8.6948413E10	3.26971924E10	3.7574279E10	3.07080253E10	5.1759555E10	4.4211487E10	2.49277194E10	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	5	5	59	1	0	2	0	2	0	1	0	2	0	2	0	9	10	12	10	12	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	55	433	383	433	58	53	57	86	92	87	51	45	49	76	85	77	58	53	57	86	92	87	1.04855818E10	1.0215425E10	1.06496061E10	2.7729154E10	3.18415237E10	2.70708879E10	1.36775206E9	1.37544781E9	1.34460006E9	3.82899302E9	4.01639936E9	3.58030874E9	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	0.9764	0.999	2	6	0	34	1	0	2	2	1	0	0	0	0	0	0	0	5	6	5	6	7	5	1.09056614E9	1.11324173E9	1.17425126E9	6.0143846E8	0.0	5.5979898E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens OX=9606	3:Protein inferred from homology	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	0.9722	0.9989	1	5	0	5	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	9111795.0	7556554.5	9327378.0	1.3095228E7	1.1680738E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q8NFP7|NUD10_HUMAN, sp|Q96G61|NUD11_HUMAN, sp|Q9NZJ9|NUDT4_HUMAN
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	11	78	0	78	13	7	14	15	15	14	0	0	0	0	0	0	13	7	14	15	15	14	1.59483546E9	1.48496525E9	1.54643981E9	1.51868736E9	1.47447526E9	1.56833728E9	2.94007296E8	2.83594304E8	3.25278496E8	2.75165088E8	2.85652768E8	2.93479072E8	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F2|SIK1B_HUMAN	A0A0B4J2F2	SIK1B_HUMAN	SIK1B	783	Homo sapiens OX=9606	5:Protein uncertain	Putative serine/threonine-protein kinase SIK1B	0.9808	0.999	1	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P57059|SIK1_HUMAN
sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein MMP24	1.0	0.999	3	21	21	21	3	4	4	4	3	3	3	4	4	4	3	3	3	4	4	4	3	3	1.13913032E8	1.07554712E8	1.01131856E8	1.7490736E8	1.08914336E8	8.617624E7	8.3738384E7	0.0	0.0	1.44762E8	0.0	0.0	
sp|A0A0X1KG70|ORM2B_HUMAN	A0A0X1KG70	ORM2B_HUMAN	OR4M2B	313	Homo sapiens OX=9606	3:Protein inferred from homology	Olfactory receptor 4M2	0.7896	0.9896	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q8NGB6|OR4M2_HUMAN, sp|Q8NGD0|OR4M1_HUMAN
sp|A0A1B0GTU1|ZC11B_HUMAN	A0A1B0GTU1	ZC11B_HUMAN	ZC3H11B	805	Homo sapiens OX=9606	4:Protein predicted	Zinc finger CCCH domain-containing protein 11B	0.9752	0.999	1	5	0	5	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0.0	2193735.8	0.0	0.0	0.0	3072948.8	0.0	0.0	0.0	0.0	0.0	0.0	sp|O75152|ZC11A_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	15	51	51	51	11	6	6	9	9	10	11	6	6	9	9	10	11	6	6	9	9	10	6.8094704E7	2.504446E7	2.2634982E7	9.6350992E7	8.4021792E7	1.49243104E8	2.7302112E7	1.9242468E7	0.0	3.2541086E7	2.6723106E7	3.1791466E7	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	27	122	122	122	17	20	16	18	24	27	17	20	16	18	24	27	17	20	16	18	24	27	4.32273984E8	5.381895E8	4.22168288E8	5.23841472E8	6.9334106E8	8.1129261E8	1.24306496E8	9.9224464E7	1.07853784E8	1.49927824E8	1.62891824E8	1.81216224E8	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	0.9745	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	0.9752	0.999	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0PJZ3|GXLT2_HUMAN	A0PJZ3	GXLT2_HUMAN	GXYLT2	443	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Glucoside xylosyltransferase 2	0.9672	0.9987	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4704317.0	0.0	3294545.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho GTPase-activating protein 10	0.9995	0.999	2	2	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	11	50	50	50	7	11	5	9	9	9	7	11	5	9	9	9	7	11	5	9	9	9	1.62860848E8	2.84693312E8	2.30777104E8	1.7496024E8	1.7869824E8	2.96987808E8	5.4691436E7	6.7848632E7	5.58633E7	3.1148764E7	5.0766492E7	7.788388E7	
sp|A1L188|NDUF8_HUMAN	A1L188	NDUF8_HUMAN	NDUFAF8	74	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	0.9752	0.999	1	9	9	9	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	0.0	0.0	0.0	0.0	1.3195468E7	5688978.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0	0.999	4	5	4	5	0	0	0	2	1	2	0	0	0	1	1	2	0	0	0	2	1	2	5578613.5	0.0	0.0	1.8027736E7	0.0	1.840523E7	0.0	0.0	0.0	9347028.0	0.0	1.0659026E7	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens OX=9606	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	1.0	0.999	37	111	111	111	19	18	17	16	21	20	19	18	17	16	21	20	19	18	17	16	21	20	1.94611808E8	1.37733184E8	1.28681112E8	1.71887232E8	2.46684016E8	2.26140656E8	2.9865638E7	2.7278702E7	2.502415E7	2.6385312E7	2.9413974E7	3.3458078E7	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.999	21	62	62	62	12	12	11	6	8	13	12	12	11	6	8	13	12	12	11	6	8	13	1.60617488E8	8.1637608E7	5.2649252E7	8.1736056E7	7.8104312E7	1.74791952E8	2.4733858E7	1.8948984E7	2.0991334E7	1.7677362E7	2.1836624E7	2.5883958E7	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTP-binding protein 10	0.9994	0.9989	3	4	4	4	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A4D1S0|KLRG2_HUMAN	A4D1S0	KLRG2_HUMAN	KLRG2	409	Homo sapiens OX=9606	1:Experimental evidence at protein level	Killer cell lectin-like receptor subfamily G member 2	0.9703	0.9988	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 37C	0.9512	0.998	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1.3433234E7	0.0	2.5698214E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PKW4|PSD1_HUMAN	A5PKW4	PSD1_HUMAN	PSD	1024	Homo sapiens OX=9606	1:Experimental evidence at protein level	PH and SEC7 domain-containing protein 1	0.9614	0.9979	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PLL7|PDES1_HUMAN	A5PLL7	PDES1_HUMAN	PEDS1	270	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plasmanylethanolamine desaturase	0.9751	0.999	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	16	39	39	39	7	5	6	6	6	9	7	5	6	6	6	9	7	5	6	6	6	9	1.9705344E7	1.4346502E7	2.7934966E7	1.5298238E7	3.2377658E7	6.4298336E7	1.1311092E7	1.4808329E7	1.3247748E7	8576247.0	1.0362581E7	1.4916165E7	
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1.0	0.999	6	38	0	38	6	7	4	5	9	7	0	0	0	0	0	0	6	7	4	5	9	7	5.20732928E8	4.9506496E8	6.7394752E8	7.5850208E8	7.5678682E8	8.6618848E8	2.00667936E8	1.94172224E8	2.09989872E8	2.52034176E8	2.34912016E8	2.55913968E8	sp|Q9GZQ8|MLP3B_HUMAN
