Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Spectral Count	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Spectral Count	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Unique Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Unique Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Unique Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Unique Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Unique Spectral Count	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Unique Spectral Count	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Unique Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Unique Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Unique Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Unique Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Total Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Total Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Total Spectral Count	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Total Spectral Count	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Total Spectral Count	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Total Spectral Count	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Total Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Total Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Total Spectral Count	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Total Spectral Count	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 Intensity	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 Intensity	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 Intensity	Hela_10ng_DDA_12_14_2023_Slot1_15_2711 MaxLFQ Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2763 MaxLFQ Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2764 MaxLFQ Intensity	Hela_250pg_DDA_100nlmin_12_20_2023_Slot1_11_2765 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2766 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2767 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2768 MaxLFQ Intensity	Hela_250pg_DDA_200nlmin_12_20_2023_Slot1_11_2769 MaxLFQ Intensity	Hela_250pg_DDA_300nlmin_12_20_2023_Slot1_11_2770 MaxLFQ Intensity	Hela_250pg_DDA_300nlmin_12_21_2023_Slot1_11_2771 MaxLFQ Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2772 MaxLFQ Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2773 MaxLFQ Intensity	Hela_250pg_DDA_400nlmin_12_21_2023_Slot1_11_2774 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	0.9978	0.9986	4	10	10	46	0	0	0	1	1	1	1	2	1	1	0	1	1	0	0	0	1	1	1	1	2	1	1	0	1	1	5	2	3	4	3	4	4	4	3	5	3	3	3	0.0	60165.24	0.0	284806.3	318540.97	232742.9	316717.03	222843.83	244989.22	235529.95	254554.83	264585.53	305551.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		246	Bos taurus	1:Experimental evidence at protein level	Cationic trypsin	1.0	0.999	4	6	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	176534.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	7	58	58	58	12	1	3	3	6	3	3	5	4	3	4	6	5	12	1	3	3	6	3	3	5	4	3	4	6	5	12	1	3	3	6	3	3	5	4	3	4	6	5	397040.78	915142.25	1151769.1	971085.3	1459737.8	1595573.4	1635554.8	1646965.8	1437856.8	1423628.5	1540108.4	1673418.2	1575891.2	0.0	589333.2	692799.1	622537.3	868620.1	1006686.6	1025105.6	1036540.5	904364.56	905942.0	967263.9	976809.2	932762.6	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	13	38	37	38	14	0	2	2	2	2	2	2	1	2	2	4	3	13	0	2	2	2	2	2	2	1	2	2	4	3	14	0	2	2	2	2	2	2	1	2	2	4	3	292497.16	0.0	187526.1	165553.86	94672.07	86046.445	118005.6	55905.434	0.0	0.0	0.0	231939.5	106747.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	1.0	0.999	3	19	0	49	2	1	1	0	1	2	2	0	4	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2	2	3	4	5	3	6	2	5	4	4	691889.94	412121.4	659476.25	591138.06	0.0	370186.22	617437.4	390244.84	325399.66	392073.62	0.0	420506.88	112587.12	664397.6	0.0	0.0	0.0	0.0	0.0	293807.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P78386|KRT85_HUMAN
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	5	6	0	6	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	45051.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0.9824	0.999	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	19283.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A1B0GUC4|MYCOS_HUMAN	A0A1B0GUC4	MYCOS_HUMAN	MYOCOS	108	Homo sapiens OX=9606	4:Protein predicted	Myocilin opposite strand protein	0.9402	0.9964	1	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	13	18	18	18	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	472586.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	4	5	5	5	3	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	104311.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
