Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Hela_0_25ng_1 Spectral Count	Hela_0_25ng_2 Spectral Count	Hela_0_25ng_3 Spectral Count	Hela_0_25ng_4 Spectral Count	Hela_0_5ng_1 Spectral Count	Hela_0_5ng_2 Spectral Count	Hela_0_5ng_3 Spectral Count	Hela_0_5ng_4 Spectral Count	Hela_10ng_1 Spectral Count	Hela_10ng_2 Spectral Count	Hela_10ng_3 Spectral Count	Hela_10ng_4 Spectral Count	Hela_1ng_1 Spectral Count	Hela_1ng_2 Spectral Count	Hela_1ng_3 Spectral Count	Hela_1ng_4 Spectral Count	Hela_5ng_1 Spectral Count	Hela_5ng_2 Spectral Count	Hela_5ng_3 Spectral Count	Hela_5ng_4 Spectral Count	Hela_0_25ng_1 Unique Spectral Count	Hela_0_25ng_2 Unique Spectral Count	Hela_0_25ng_3 Unique Spectral Count	Hela_0_25ng_4 Unique Spectral Count	Hela_0_5ng_1 Unique Spectral Count	Hela_0_5ng_2 Unique Spectral Count	Hela_0_5ng_3 Unique Spectral Count	Hela_0_5ng_4 Unique Spectral Count	Hela_10ng_1 Unique Spectral Count	Hela_10ng_2 Unique Spectral Count	Hela_10ng_3 Unique Spectral Count	Hela_10ng_4 Unique Spectral Count	Hela_1ng_1 Unique Spectral Count	Hela_1ng_2 Unique Spectral Count	Hela_1ng_3 Unique Spectral Count	Hela_1ng_4 Unique Spectral Count	Hela_5ng_1 Unique Spectral Count	Hela_5ng_2 Unique Spectral Count	Hela_5ng_3 Unique Spectral Count	Hela_5ng_4 Unique Spectral Count	Hela_0_25ng_1 Total Spectral Count	Hela_0_25ng_2 Total Spectral Count	Hela_0_25ng_3 Total Spectral Count	Hela_0_25ng_4 Total Spectral Count	Hela_0_5ng_1 Total Spectral Count	Hela_0_5ng_2 Total Spectral Count	Hela_0_5ng_3 Total Spectral Count	Hela_0_5ng_4 Total Spectral Count	Hela_10ng_1 Total Spectral Count	Hela_10ng_2 Total Spectral Count	Hela_10ng_3 Total Spectral Count	Hela_10ng_4 Total Spectral Count	Hela_1ng_1 Total Spectral Count	Hela_1ng_2 Total Spectral Count	Hela_1ng_3 Total Spectral Count	Hela_1ng_4 Total Spectral Count	Hela_5ng_1 Total Spectral Count	Hela_5ng_2 Total Spectral Count	Hela_5ng_3 Total Spectral Count	Hela_5ng_4 Total Spectral Count	Hela_0_25ng_1 Intensity	Hela_0_25ng_2 Intensity	Hela_0_25ng_3 Intensity	Hela_0_25ng_4 Intensity	Hela_0_5ng_1 Intensity	Hela_0_5ng_2 Intensity	Hela_0_5ng_3 Intensity	Hela_0_5ng_4 Intensity	Hela_10ng_1 Intensity	Hela_10ng_2 Intensity	Hela_10ng_3 Intensity	Hela_10ng_4 Intensity	Hela_1ng_1 Intensity	Hela_1ng_2 Intensity	Hela_1ng_3 Intensity	Hela_1ng_4 Intensity	Hela_5ng_1 Intensity	Hela_5ng_2 Intensity	Hela_5ng_3 Intensity	Hela_5ng_4 Intensity	Hela_0_25ng_1 MaxLFQ Intensity	Hela_0_25ng_2 MaxLFQ Intensity	Hela_0_25ng_3 MaxLFQ Intensity	Hela_0_25ng_4 MaxLFQ Intensity	Hela_0_5ng_1 MaxLFQ Intensity	Hela_0_5ng_2 MaxLFQ Intensity	Hela_0_5ng_3 MaxLFQ Intensity	Hela_0_5ng_4 MaxLFQ Intensity	Hela_10ng_1 MaxLFQ Intensity	Hela_10ng_2 MaxLFQ Intensity	Hela_10ng_3 MaxLFQ Intensity	Hela_10ng_4 MaxLFQ Intensity	Hela_1ng_1 MaxLFQ Intensity	Hela_1ng_2 MaxLFQ Intensity	Hela_1ng_3 MaxLFQ Intensity	Hela_1ng_4 MaxLFQ Intensity	Hela_5ng_1 MaxLFQ Intensity	Hela_5ng_2 MaxLFQ Intensity	Hela_5ng_3 MaxLFQ Intensity	Hela_5ng_4 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	0.9999	0.998	6	13	7	510	1	0	0	0	0	0	0	0	2	0	1	2	2	1	0	1	1	2	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	5	0	0	0	1	0	2	0	56	59	64	75	14	9	2	10	56	60	53	44	257420.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105589.33	68578.48	36995.574	80015.97	353517.84	232109.3	0.0	297598.6	48366.87	268462.62	0.0	327538.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96751.05	66623.055	0.0	75192.13	213231.69	0.0	0.0	186522.78	0.0	187797.61	0.0	206383.94	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	7	116	115	116	8	0	0	0	0	0	0	0	14	8	15	11	7	6	0	6	11	10	8	12	8	0	0	0	0	0	0	0	14	7	15	11	7	6	0	6	11	10	8	12	8	0	0	0	0	0	0	0	14	8	15	11	7	6	0	6	11	10	8	12	1497019.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1004363.2	956487.4	851197.06	773573.8	1744770.9	1705419.4	0.0	1742287.0	1439690.5	1401805.1	995865.4	1412319.4	873158.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	574991.2	572835.75	565949.6	613820.25	881706.7	809582.7	0.0	1052616.0	725195.75	683826.1	623259.44	659826.6	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	18	135	115	135	5	3	3	2	2	2	2	0	14	11	12	15	6	5	3	4	13	10	11	12	4	3	3	2	2	2	2	0	11	9	11	14	5	5	3	4	10	8	8	9	5	3	3	2	2	2	2	0	14	11	12	15	6	5	3	4	13	10	11	12	156897.38	4736.4272	5473.467	0.0	0.0	0.0	0.0	0.0	174854.3	215982.6	143333.5	238997.5	117691.516	84430.66	1524.842	69358.83	188336.42	185352.25	212347.66	220302.44	98815.94	2973.465	3444.1907	0.0	0.0	0.0	0.0	0.0	33052.46	35040.867	34509.613	36494.414	34334.99	34483.133	0.0	43218.08	32941.395	32920.555	33758.39	34253.44	
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.0	0.999	7	51	0	51	1	0	0	0	0	0	0	0	4	4	6	5	4	4	0	4	4	4	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	4	6	5	4	4	0	4	4	4	6	5	49854.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100578.055	197162.88	122905.195	108557.13	127321.49	133181.31	0.0	99187.516	178658.31	301322.75	166260.67	298991.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63572.1	62097.26	62160.57	68381.54	89061.805	89808.86	0.0	89034.15	83672.92	78146.97	78228.39	77171.02	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0.9658	0.999	1	10	10	10	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	2	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48210.188	11591.013	55874.758	0.0	0.0	0.0	0.0	0.0	11294.832	15326.697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A1B0GUY1|MRCOL_HUMAN	A0A1B0GUY1	MRCOL_HUMAN	MARCOL	285	Homo sapiens OX=9606	2:Experimental evidence at transcript level	MARCO-like protein	0.943	0.9983	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4790.914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	21	171	171	171	1	0	0	0	0	0	0	0	24	23	18	17	15	5	0	4	13	20	17	14	1	0	0	0	0	0	0	0	24	23	18	17	15	5	0	4	13	20	17	14	1	0	0	0	0	0	0	0	24	23	18	17	15	5	0	4	13	20	17	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	413943.9	427079.06	314870.47	317297.12	248815.83	152584.34	0.0	54623.285	306638.34	312215.4	383193.3	405113.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37035.883	35752.598	39259.504	35442.26	36583.668	36796.34	0.0	31141.336	37995.07	41304.09	40908.805	37749.85	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	10	66	66	66	1	0	0	0	0	0	0	0	9	6	6	9	2	4	0	2	8	6	6	7	1	0	0	0	0	0	0	0	9	6	6	9	2	4	0	2	8	6	6	7	1	0	0	0	0	0	0	0	9	6	6	9	2	4	0	2	8	6	6	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160392.0	189666.47	146065.73	200851.66	140112.97	86635.06	0.0	120071.734	365185.56	150236.11	174912.34	550863.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62762.35	71609.54	73463.51	70036.28	104262.32	62550.0	0.0	68375.914	81662.945	77113.5	74792.51	75745.74	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens OX=9606	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	19	105	105	105	0	0	0	0	0	0	0	0	13	14	13	21	7	3	0	0	8	12	5	9	0	0	0	0	0	0	0	0	13	14	13	21	7	3	0	0	8	12	5	9	0	0	0	0	0	0	0	0	13	14	13	21	7	3	0	0	8	12	5	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183343.12	231637.11	181883.03	234055.9	91750.22	31540.312	0.0	0.0	236217.1	237027.73	86953.83	285958.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35829.96	35553.438	34298.46	37408.258	30110.615	18829.217	0.0	0.0	34982.605	37415.91	34664.867	35466.043	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transmembrane protein 223	0.9998	0.999	2	4	4	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24062.83	0.0	9374.9795	0.0	0.0	0.0	0.0	0.0	0.0	29491.508	25110.959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
