Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
AAA42931.1	AAA42931.1 polyprotein (Genbank M33854.1, PUBMED2157045) [Coxsackievirus B3 Kandolf]	AAA42931.1 polyprotein (Genbank M33854.1, PUBMED2157045) [Coxsackievirus B3 Kandolf]		2185		polyprotein		1.0000	0.9990	81	81	81	144	144	144	     0	     0	     0	10C(57.0214), 11C(57.0214), 12C(57.0214), 13C(57.0214), 15M(15.9949), 16C(57.0214), 18C(57.0214), 1C(57.0214), 20M(15.9949), 2C(57.0214), 35M(15.9949), 3C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), 8M(15.9949), 9C(57.0214)		
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	164	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase A-like 4C 	2:Experimental evidence at transcript level	1.0000	0.9990	1	0	1	5	0	5	     0	     0	     0	24C(57.0214), 9M(15.9949)		
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	5	0	5	     0	     0	     0	12C(57.0214)		sp|P0DPI2|GAL3A_HUMAN, tr|A0A096LPI6|A0A096LPI6_HUMAN
sp|A0AV96-2|RBM47_HUMAN	A0AV96-2	RBM47_HUMAN	RBM47	524	Homo sapiens OX=9606	Isoform 2 of RNA-binding protein 47 		1.0000	0.9990	7	0	7	8	0	8	     0	     0	     0	11C(57.0214), 2C(57.0214), 5C(57.0214), 6C(57.0214)		sp|A0AV96|RBM47_HUMAN, tr|D6R9D6|D6R9D6_HUMAN, tr|D6RBS9|D6RBS9_HUMAN, tr|D6REZ6|D6REZ6_HUMAN
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	Ubiquitin-like modifier-activating enzyme 6 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	     0	     0	     0	5C(57.0214)		
sp|A0MZ66-3|SHOT1_HUMAN	A0MZ66-3	SHOT1_HUMAN	SHTN1	649	Homo sapiens OX=9606	Isoform 3 of Shootin-1 		1.0000	0.9990	12	0	12	14	0	14	     0	     0	     0			sp|A0MZ66-5|SHOT1_HUMAN, sp|A0MZ66-6|SHOT1_HUMAN, sp|A0MZ66|SHOT1_HUMAN
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9985	7	0	7	7	0	7	     0	     0	     0			
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens OX=9606	Glycerol-3-phosphate phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	5	4	5	     0	     0	     0	7C(57.0214)		
sp|A6NGU5|GGT3_HUMAN	A6NGU5	GGT3_HUMAN	GGT3P	568	Homo sapiens OX=9606	Putative glutathione hydrolase 3 proenzyme 	5:Protein uncertain	1.0000	0.9990	5	0	5	7	0	7	     0	     0	     0	10C(57.0214), 14C(57.0214)		sp|P19440|GGT1_HUMAN
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens OX=9606	Putative small nuclear ribonucleoprotein G-like protein 15 	5:Protein uncertain	1.0000	0.9990	4	0	4	5	0	5	     0	     0	     0			sp|P62308|RUXG_HUMAN
