Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5765.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5766.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5767.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5768.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_15cm_4-25-2024_Slot2-91_5769.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5770.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5771.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5772.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5773.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_15cm_4-25-2024_Slot2-91_5774.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5775.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5776.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5777.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5778.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_15cm_4-25-2024_Slot2-91_5779.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5780.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5782.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-25-2024_Slot2-91_5783.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-26-2024_Slot2-91_5788.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_350nlminB_15cm_4-26-2024_Slot2-91_5789.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5840.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5841.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5842.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5843.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5844.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5796.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5797.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5798.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5799.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_200nlminC_15cm_4-26-2024_Slot2-91_5800.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5801.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5802.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-26-2024_Slot2-91_5803.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-27-2024_Slot2-91_5804.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_250nlminA_15cm_4-27-2024_Slot2-91_5805.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5806.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5807.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5808.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5809.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_300nlminB_15cm_4-27-2024_Slot2-91_5810.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5811.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5812.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5813.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5814.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_350nlminB_15cm_4-27-2024_Slot2-91_5815.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5834.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5835.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5836.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5837.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_400nlminB_15cm_4-27-2024_Slot2-91_5838.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial				858.614		1198.24	2087.51	1129.54	1351.17	1059.05	1023.12	992.2	1255.01	1736.43	865.904	1168.38	1210.28	1789.26	2033.32	1539.22	1530.27	1828.12	1377.14	1546.9	1470.17	2502.23	1426.16	2307.77	1910.81	1971.22	1509.09	1653.27	1570.16	1269.69	1274.56	1284.94	1460.07	1863.69	1238.57	949.703	1725.65	1633.87	2235.41	1595.98	924.883	1215.85	1606.56	1569.18	1332.52	1359.57
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	1744.35	1370.23	976.901	1310.46	1024	1129.58	940.437	894.923	1061.71	1098.38	1030.58	1014.77	932.347	988.435	913.802	1092.81	944.228	1030.79	975.131	1019.34	1160.1	1266.13	952.081	1118.07	1084.96	1478.48	1254.39	2109.3	1700.96	1356.16	1049.84	1235.28	1165.59	983.875	1306.05	924.489	1354.59	1103.8	1270.71	1261.54	1553.54	1092.28	1107.47	1066.35	941.33	845.392	982.63	1269.57	901.894	955.456
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2		894.212		848.566	1379.55	811.769	1079.84	669.184	824.959	666.155	709.307	794.126		1192.34	872.982	1042.71		996.199	1154.43	1102.19	1240.47	1075.44	969.925	1255.43	999.273	615.154	1968.35	517.824	806.238	914.153	1063.46	852.006		527.584	638.555		1162.49		1235.73			1268.6	878.874	838.486		1810.79	1188.59		925.589	1113.66
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	598.33		375.289					1006.44	495.263	1101.46	764.285	585.94		563.212	287.454		295.866	510.427		458.21	659.159	750.804			552.425	654.845	1058.49		1082.38			386.181	480.394	851.386		630.233		531.947				370.026	383.624			379.459	565.665	650.46		
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223						339.495		898.066			769.229	531.026				950.159	508.138			736.91																	606.564			333.58					5033.93		470.451	1407.34		
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2						1243.79							435.867	509.641	597.791	522.36	473.219			807.433			708.831		1061.54			1303.25				724.356		466.214															710.008	
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B						234.923				302.144		435.675	661.089	554.232		575.327	326.28		990.953	784.508						637.664	938.2				563.56		539.427							605.553	425.111			612.968	434.938			705.07		958.99
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10										382.534																										491.454														
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5	1835.18		1577.01			2476.88	1542.5			1385.87				1600.79		2322.1		1910.7				1582.37							2486.59	2552.49		1393.31	1546.65				1588.95				1747.61						1202.9			
A5A3E0	Q6S8J3;A5A3E0;P0CG38;P0CG39;Q9BYX7	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F		7946.21		6954.94		4470.05	6477.67	4565.24	6096.06	5194.41		3182.04	2573.45	2583.86	4059.02					2676.86				2329		5159.66	5165.1					6180.42				2685.64			4003.67	3513.98		3224.67			2263.18					
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	866.625	1457.35	746.027		743.601	567.357	618.431	641.324	825.555		797.912	814.951	998.339	652.207	823.827	674.555	962.618	869.06	755.451	742.186	1206.09	1119.45	1080.96	427.982	784.46	645.9	894.158	1934.57	303.994	1274.25	1211.31	868.749	837.242	907.454	672.131	1049.44	531.571	1383.49	927.822	1107.52	745.893	750.522	890.171	905.422	1260.36	1134.09	535.983	1168.62	604.807	795.374
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2		1666.2	2002.83		1960.07	1586.64		1655.64	1224.84	1935.07	1443.85	1554.24	1952.01	1314.39	1595.42	1729.54	1403.55	1610.79	2432.51	2301.26	1511.99	1942.38	2232.44	1463.42	1421.82	1931.31					1830	1459.82	1557.56		1713.71		1305.97	1700.54	2117.88	1980	2123.31	1660.89	1748.25	2599.62	2133.36	1603.68	1248.51	2331.06	2153.87	2969.68
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	2720.17	1657.23	1783.57	1743.42	2004.2	1779.63	1887.81	1702.08	2076.08	1834.45	1524.31	1518.9	1613.51	1757.09	1863.38	1715.22	1441.4	1623.2	1924.2	1768.42	1656.77	1470.67	2315.48	1965.37	1492.96	2330.47	2588.13	2366.82	2605.29	2428.71	1992.23	1981.12	2693.95	2548.8	1441.21	1795.2	2088.25	1738.11	1569.42	2065.47	1650.11	2002.57	2643.66	1533.36	2294.12	1750.74	1830.4	1859.39	1622.1	1896.5
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3		479.903		209.622		305.792								223.072	314.081	79.7039	283.31	326.853	208.691		169.33		295.025													358.51									378.048	555.551				
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	3957.63	5102.48	6032.82	4973.68	4854.34	4307.99	4415.37	5081.13	4217.05	4615.71	4024.28	5018.13	4248.64	4737.69	5612.76	4619.35	4165.83	4559.24	4336	3829.42	5357.21	5258.4	5640.93	4235.89	5220.69	5090.12	4809.35	3435.5	4689.71	3689.36	5989.64	4176.1	2802.39	3747.25	6628.84	4772.07	4001.21	4976.34	4238.69	5376.5	3476.96	5292.84	4163.71	4558.34	4744.27	3296.65	3899.1	2982.94	4185.97	3561.6
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1						723.625					682.436		404.63		686.113	727.461	726.497	719.914						616.832												1242.6		433.22			969.822	531.05	1036.32				995.935		1384.41	
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B													502.221											808.926									1049.01									496.069								
A6ZKI3;Q9BWD3	Q9BWD3;Q17RB0;A6ZKI3	RTL8A_HUMAN;RTL8C_HUMAN	RTL8A;RTL8C	Retrotransposon Gag-like protein 8C		2716.05	788.291								625.56	500.554								748.882				738.588		553.233		441.574	2520.81									534.335		783.435										
