Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	Trypsin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	18	18	18	     0	     0	     0	17M(15.9949)		
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	Alpha-S1-casein 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	101	101	101	     0	     0	     0	4M(15.9949)		
contam_sp|P02663|CASA2_BOVIN	P02663	CASA2_BOVIN	CSN1S2	222	Bos taurus	Alpha-S2-casein 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	34	34	34	     0	     0	     0	2M(15.9949)		
contam_sp|P02666|CASB_BOVIN	P02666	CASB_BOVIN	CSN2	224	Bos taurus	Beta-casein 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	34	34	34	     0	     0	     0	2M(15.9949), 4M(15.9949), 5M(15.9949)		
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus	Kappa-casein 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	33	33	33	     0	     0	     0	2C(57.0214), 9M(15.9949)		
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	Serum albumin 	1:Experimental evidence at protein level	1.0000	0.9990	18	15	18	23	19	23	     0	     0	     0	11C(57.0214), 2C(57.0214), 30C(57.0214), 3C(57.0214), 9C(57.0214)		
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	5:Protein uncertain	1.0000	0.9990	4	0	4	5	0	5	     0	     0	     0	12C(57.0214)		sp|P0DPI2|GAL3A_HUMAN
sp|A0A1B0GUS4|UB2L5_HUMAN	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	154	Homo sapiens OX=9606	Ubiquitin-conjugating enzyme E2 L5 	2:Experimental evidence at transcript level	1.0000	0.9986	2	0	2	2	0	2	     0	     0	     0			sp|P68036|UB2L3_HUMAN
sp|A0A3B3IRV3|MCTS2_HUMAN	A0A3B3IRV3	MCTS2_HUMAN	MCTS2	181	Homo sapiens OX=9606	Malignant T-cell-amplified sequence 2 	3:Protein inferred from homology	1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0	10C(57.0214), 5C(57.0214)		sp|Q9ULC4|MCTS1_HUMAN
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens OX=9606	RNA-binding protein 47 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	Ubiquitin-like modifier-activating enzyme 6 	1:Experimental evidence at protein level	1.0000	0.9985	6	6	6	6	6	6	     0	     0	     0			
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	Extended synaptotagmin-2 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	     0	     0	     0			
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens OX=9606	2-hydroxyacyl-CoA lyase 2 	1:Experimental evidence at protein level	1.0000	0.9977	2	2	2	3	3	3	     0	     0	     0	10C(57.0214), 16C(57.0214)		
