Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-2-2023_Slot1-13_2475.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2477.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2478.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2479.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2480.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_1ng_DIA_12-3-2023_Slot1-13_2481.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2482.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2483.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2484.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2485.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-3-2023_Slot1-14_2486.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_5ng_DIA_12-4-2023_Slot1-14_2487.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_12-1-2023_Slot1-9_2456.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_12-1-2023_Slot1-9_2457.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2488.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2489.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2491.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2492.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_10ng_DIA_12-4-2023_Slot1-15_2493.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-10_2462.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2463.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2464.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2465.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2466.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-1-2023_Slot1-11_2467.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_250pg_DIA_12-2-2023_Slot1-11_2468.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2469.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2470.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2471.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2472.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2473.d	D:\Lucy\20231204_Hela_dilution_DIA\120423_SCP_Hela_dilution_DIA\Hela_500pg_DIA_12-2-2023_Slot1-12_2474.d
A0A024R3Z1	A0A024R3Z1	A0A024R3Z1_HUMAN	MAP2	Microtubule-associated protein							823.861				750.252		799.344		1035.67	1204.6	1317.01	1130.8	1011.8													
A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8	A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8	A0A024R4E5_HUMAN;C9J5E5_HUMAN;C9JBS3_HUMAN;C9JEJ8_HUMAN;C9JES8_HUMAN;C9JHN6_HUMAN;C9JHS7_HUMAN;C9JHZ8_HUMAN;C9JIZ1_HUMAN;C9JK79_HUMAN;C9JT62_HUMAN;C9JZI8_HUMAN	HDLBP	High density lipoprotein binding protein							4596.27	4101.27	4432.87	4157.87	2906.03	4437.81	2077.65		3858.44	3634.24	3519.09	3966.61	3970.2													
A0A024RBG1;Q9NZJ9	Q9NZJ9;A0A024RBG1	NUD4B_HUMAN;NUDT4_HUMAN	NUDT4;NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B		1139.25	2259.62				730.809	837.57	955.078	688.902	941.668	999.756	1139.88		554.883	726.506	623.25	825.461	872.923													
A0A024RCL3	A0A024RCL3;A0A0G2JJ55;A0A0G2JK11;Q96QC4	A0A024RCL3_HUMAN	MICA	MHC class I polypeptide-related sequence A		5360.33	4637.8		5623.56	5851.42	3843.37	4257.2	4390.49	4445.77	4448.12	4427.41	4417.18		3324.09	3300.87	3325.66	3339.42	3139.95								9778.2	4954.12				
A0A087WTU2	Q9Y6I9;A0A087WTU2;C9J7M7;C9JHG1;C9JL41;C9JUC1;C9JXQ5	A0A087WTU2_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3 (Fragment)	5402.73	5055.76	5601.94		4142.96	4789.88	4621.84	5971.37	4748.66	5022.65	5378.1	5065.78	6412.06		5199.07	4899.48	5063.23	5105.06	4686.96		5872.75	4770.77	3301.25		13471.1	3567.03	8237.33	6918.37	8754.65	4606.94	4971.88	5511.05
A0A087WUL4;A0A087WX23;A0A087WZG9	A0A087WUL4;A0A087WX23;A0A087WZG9	A0A087WUL4_HUMAN;A0A087WX23_HUMAN;A0A087WZG9_HUMAN	PEG10	Paternally expressed 10	8643.07	7979.62	3957.8		5470.3	5577.37	8602.94	6742.79	7716.65	7625.9	7922.89	9039.94	11008.8		10631.8	10940.4	9843.56	11259.6	11115.6			7866	13464.9	5684.25	4772.85	8465.16	5588.72	7322.47	4822.63	6700.64	5406.33	14333.6
A0A087WVI9;B1AV70	P15941;A0A0A0MRA9;A0A0C4DGW0;B1AV70;A0A087WVI9;A0A087WZZ2;A0A087X051;A0A0A0MSH3;Q7Z4Q8	A0A087WVI9_HUMAN;B1AV70_HUMAN	HNRNPU;YIPF6	Heterogeneous nuclear ribonucleoprotein U (Fragment)							1086.04				1081.16	728.804	885.494		1111.86	1133.1	956.434	726.671	1099.9													
A0A087WWU8	J3KN67;A0A087WWU8	A0A087WWU8_HUMAN	TPM3	Tropomyosin 3	60138.1	51321.1	64124		56853.4	59475.2	78903.6	89517.2	82976.4	88323.5	88884.8	92856.3	99822.4		106466	92806.1	95977.7	110179	99456.5		59405.6	79054.2	66392.8	72727.9	62618.7	68925.6	70420.4	73513.8	77720.4	72343.8	74355.6	79638.3
A0A087WXU8;F5GYL3;G3V529	A0A087WXU8;F5GYL3;G3V529	A0A087WXU8_HUMAN;F5GYL3_HUMAN;G3V529_HUMAN	DDX24	ATP-dependent RNA helicase		1798.3	2940.36			3052.27	1945.28	2301.45	2160.65	2516.71	2367.74	2334.01	1182.45		2331.61	2604.98	2306.28	1937.73	2541.13									2292.17				
A0A087WY03;E5RFV3	A0A087WY03;E5RFV3	A0A087WY03_HUMAN;E5RFV3_HUMAN	SREK1	Splicing regulatory glutamic acid and lysine rich protein 1	4008.96	7876.61					5315.84	5379.67	5070.47	4889.32	4497.57	4985.83	5541.45		5809.26	5635.09	5375.92	5140.43	5030.95												3967.12	
A0A087WY49	Q9NP79;A0A087WY49;Q5TGM0	A0A087WY49_HUMAN	MYO19	Myosin XIX	20706.5	18949.8	15611.4		17322.7	21925.6	12191.2	15890.4	15967.2	17503.3	17851.2	17032.4	19097.2		20296.2	18395.4	20683.5	19532.6	20628.4		23463.7	12973.5	18117.7	20072	13548.8	13819.3	14291.7	16633.3	15624.7	19630.8	14324.6	13819.7
