Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	71_Hela_200pg_1 Spectral Count	72_Hela_200pg_2 Spectral Count	73_Hela_200pg_3 Spectral Count	71_Hela_200pg_1 Unique Spectral Count	72_Hela_200pg_2 Unique Spectral Count	73_Hela_200pg_3 Unique Spectral Count	71_Hela_200pg_1 Total Spectral Count	72_Hela_200pg_2 Total Spectral Count	73_Hela_200pg_3 Total Spectral Count	71_Hela_200pg_1 Intensity	72_Hela_200pg_2 Intensity	73_Hela_200pg_3 Intensity	71_Hela_200pg_1 MaxLFQ Intensity	72_Hela_200pg_2 MaxLFQ Intensity	73_Hela_200pg_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		246	Bos taurus	1:Experimental evidence at protein level	Cationic trypsin	1.0	0.999	4	11	11	11	4	4	3	4	4	3	4	4	3	3889258.8	3385380.0	1027753.94	2473883.5	1663482.5	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	0.9843	0.9988	1	5	5	5	2	1	2	2	1	2	2	1	2	186139.94	269905.72	203404.16	0.0	0.0	0.0	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar, component 5	0.9997	0.9773	2	1	0	5	1	0	0	0	0	0	3	1	1	114255.97	0.0	0.0	0.0	0.0	0.0	sp|P78386|KRT85_HUMAN
sp|A6NHG4|DDTL_HUMAN	A6NHG4	DDTL_HUMAN	DDTL	134	Homo sapiens OX=9606	2:Experimental evidence at transcript level	D-dopachrome decarboxylase-like protein	0.8856	0.9903	1	3	0	3	1	1	1	0	0	0	1	1	1	104192.516	0.0	122526.414	0.0	0.0	0.0	sp|P30046|DOPD_HUMAN
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	0.8395	0.9857	1	2	0	2	1	1	0	0	0	0	1	1	0	241494.67	160250.73	0.0	0.0	0.0	0.0	sp|Q13838|DX39B_HUMAN
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0	0.999	5	14	14	14	5	5	4	5	5	4	5	5	4	353075.12	202596.28	259200.06	204900.31	117343.54	148496.23	
sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	Homo sapiens OX=9606	1:Experimental evidence at protein level	Podocalyxin	0.7705	0.9779	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pirin	0.9865	0.999	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00767|SCD_HUMAN	O00767	SCD_HUMAN	SCD	359	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stearoyl-CoA desaturase	0.9604	0.9969	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-7	0.8026	0.9817	1	1	0	1	1	0	0	0	0	0	1	0	0	135581.31	60944.46	0.0	0.0	0.0	0.0	sp|Q8TAA3|PSMA8_HUMAN
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myosin regulatory light chain 12B	1.0	0.995	2	3	0	3	1	1	1	0	0	0	1	1	1	0.0	110739.85	82645.445	0.0	0.0	0.0	sp|P19105|ML12A_HUMAN, sp|P24844|MYL9_HUMAN
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 3	1.0	0.9984	2	4	4	4	2	0	2	2	0	2	2	0	2	408940.44	329795.1	295410.88	249498.48	197997.12	177584.1	
sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 2	0.882	0.99	1	1	1	1	1	0	0	1	0	0	1	0	0	160461.89	0.0	0.0	0.0	0.0	0.0	
sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	352	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit H	0.9819	0.9986	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15427|MOT4_HUMAN	O15427	MOT4_HUMAN	SLC16A3	465	Homo sapiens OX=9606	1:Experimental evidence at protein level	Monocarboxylate transporter 4	0.9806	0.9985	1	3	3	3	1	1	1	1	1	1	1	1	1	0.0	72271.52	90140.734	0.0	0.0	0.0	
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens OX=9606	1:Experimental evidence at protein level	D-3-phosphoglycerate dehydrogenase	1.0	0.9985	3	9	9	9	3	3	3	3	3	3	3	3	3	261936.25	268512.1	103110.31	147069.62	147094.19	0.0	
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein R	1.0	0.9859	2	3	3	3	2	1	0	2	1	0	2	1	0	378648.88	87092.39	0.0	0.0	0.0	0.0	
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tumor protein D54	1.0	0.9865	2	2	2	2	0	1	1	0	1	1	0	1	1	48452.586	117783.85	49401.29	0.0	0.0	0.0	
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alpha-actinin-4	1.0	0.999	14	23	14	23	11	8	4	5	6	3	11	8	4	4238678.0	2475658.2	1852570.6	852328.8	889664.06	875243.9	
sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein Q	1.0	0.9989	2	4	4	4	2	1	1	2	1	1	2	1	1	754966.25	186118.62	150812.61	0.0	0.0	0.0	
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone H2B type 1-K	1.0	0.999	7	24	0	24	10	7	7	0	0	0	10	7	7	5.9614104E7	5.1208496E7	5.2404488E7	4.8634072E7	2.6576884E7	2.1590372E7	sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN
sp|O60869|EDF1_HUMAN	O60869	EDF1_HUMAN	EDF1	148	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endothelial differentiation-related factor 1	0.7849	0.9796	1	2	2	2	1	1	0	1	1	0	1	1	0	97149.78	97447.81	0.0	0.0	0.0	0.0	
sp|O75083|WDR1_HUMAN	O75083	WDR1_HUMAN	WDR1	606	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat-containing protein 1	1.0	0.9888	4	7	7	7	2	3	2	2	3	2	2	3	2	391055.44	368016.12	245051.25	110148.08	154706.12	165628.08	
sp|O75347|TBCA_HUMAN	O75347	TBCA_HUMAN	TBCA	108	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tubulin-specific chaperone A	1.0	0.9978	2	6	6	6	2	2	2	2	2	2	2	2	2	353835.44	360767.56	363249.56	242412.84	270021.03	265173.88	
