Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5790.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5791.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5792.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5793.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5794.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5897.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5899.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5900.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5901.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_200nlmin_15cm_4-29-2024_Slot2-91_5902.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5903.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5904.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5905.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5906.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5907.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5913.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5914.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5915.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5916.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5917.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_15cm_4-27-2024_Slot2-91_5824.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5825.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5826.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5827.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5828.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5829.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5830.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5831.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5832.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5833.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5860.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5861.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5862.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5863.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-28-2024_Slot2-91_5864.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5908.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5909.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5910.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5911.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_300nlmin_15cm_4-29-2024_Slot2-91_5912.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5918.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-29-2024_Slot2-91_5919.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5920.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5921.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_350nlmin_15cm_4-30-2024_Slot2-91_5922.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1805.26		3603.7					1307.45	2882.71	3035.76		1079.1		1388.24	1905.7	1221.21	1655.67	1250.7	1082.31				960.832		1617.25	899.483		1447.92	1104.78	1809.57						710.959	1204.72	1125.82	1314.8	674.778	1081.28	966.497	813.053	804.336	929.012
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6				1809.17		1151.26	1228.79	1319.88			1213.71	1268.49	970.443	986.513	1107.68	1152.33	833.833	1150.67	1034.56	829.272		1266.11		1098.1	1805.64	1565.96	1163.28	1009.75	1345.11	1286.85						1229.1	985.426	1494.37	1033.73	1012.61	1188.85	1157.84	838.569	1287.95	1023.64
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2		1048.12	1376.92	1104.03			944.583		1050.03		949.848	1003.27	1044.2	998.408	863.774	917.081	1404.62	933.745	770.04	1000.8	718.239		1983.87	993.443		893.9	740.029									835.599	804.2	886.876	996.953	843.595	925.13	982.764	1079.1		1164.99
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1							640.636	228.145						603.482	463	480.156		1762.24	336.767	1462.15						681.16				724.483						650.276	1168.43	1020.05		1527.34	1176.95	258.385	680.247		421.357
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2													1587.32	364.371	192.834		314.321	420.779		243.815								472.165								137.626	1396.99	578.184	128.385	2540.69		858.306	199.19	309.832	
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B							431.362				632.366	974.225		471.573	894.135	1065.84	960.646	228.876	363.488										266.454							834.305	976.757		324.009	675.963			743.52	514.487	1069.51
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10															424.709					315.569	1040.76																	170.906							
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5	1870.41				1958.54			1331.45	1307.18	1503.39		2041.5					1315.63		1598.9						1691.57													2102.97				949.532	1204.82		
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1			677.419			595.25	584.163	767.009	661.666		588.832		452.957	958.339	661.84	858.266	835.331	797.13	868.96	669.153		993.644	948.758	497.364		921.821		729.307		783.044						517.604		563.6	816.496	683.808	557.918	1093.95	738.412		465.736
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2					1684.93	2324.07	1576.56	1306.77	924.19		1667.12		1701.11	1659.94		1832.94	2222.19	1520.48	1559.89	1325.17								1320.06		2134.11						2389.54	3113.34	2474.99	2588.75	2368.83		1780.02		1823.46	2605.41
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1430.94	1716.96	1554.85	1925.94	2444.49	2328.47	1630.15	1720.78	1660.07	1540.48	2104.71	1449.28	1627.61	1636.11	1615.9	1233.25	2227.5	1551.12	1669.61	1625.57		2430.11	2562.22	1712.25	2429.13	1700.4		2465.86	1342.45	1781.93						1409.74	1671.91	1498.52	1659.49	1953.47	1524.7	1430.18	1371.72	1915.24	1543.5
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3										163.002		463.095	322.627				644.241		352.816	387.042																						199.974			388.165
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	4193.38	3718.14	2829.93	6450.86	2761.94	4158.48	4197.98	4764.74	4145.3	3756.14	4746.68	3396.37	3593.6	2605.65	4036.42	4160.47	3689.71	4238.41	3646.2	3360.31	4652.81	3513.11		3765.61	4485.81	4030.92	3623.65	4770.21	4302.29	5207.68	7139.5					3541.15	3997.6	4559.37	3717.4	3021.06	4228.19	3473.23	4472.63	4150.57	3501.96
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1									1844.16		1037.89	641.645	1091.89	820.226	294.046	1307.14	780.32			923.965			3260.14														1038.03	967.661			604.42	1337.71		1521.32	
A6NHS7	A6NHS7	MANS4_HUMAN	MANSC4	MANSC domain-containing protein 4		569.428															1042.78	657.589	690.996	823.74									772.085							474.441			440.562		493.894			707.378	
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B												328.05																441.892													732.482				
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1																		666.22																											
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C											1547.02		1493.22			1313.91	1162.38																				450.056	593.513			818.895			645.929	367.578
A8CG34;Q96HA1	A8CG34;Q96HA1	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C																									1719.37																				505.307
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	5437.04	5458.61	6587.62	5902.19	5919.9	5686.99	4429.9	5795.94	4997.9	4800.95	6309.48	6914.99	5070.37	5528.95	5184.86	6879.46	6794.54	6392.54	6011.1	5940.56	3734.79	4760.71	5819.14	4717.07	5946.48	4132.62	6437.22	5001.43	7475.6	4558.59						5482.45	4964.04	6745.02	5494.94	4871.63	5642.83	5568.68	6340	6764.48	5072.23
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	3201.27	3571.16	2986.69	3691.27	3545.98	2709.96	3761.6	3060.11	3175.62	3234.09	2860.77	2942.49	2770.66	2910.34	2906.35	2692.83	2857.67	2977.09	2784.82	2571.5	3627.22	3875.58	3412.09	3009.69	4021.19	3385.12	3740.86	3378.61	4047.16	3734.8						2584.15	3070.56	2520.79	3098.08	2713.57	3539.33	2770.36	2537.72	2607.4	3035.82
