Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5845.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5846.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5847.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5848.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5849.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5850.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5851.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5852.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5853.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5854.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5855.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5856.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5857.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5858.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5859.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5790.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5791.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5792.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5793.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_20min_15cm_4-26-2024_Slot2-91_5794.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_15cm_4-27-2024_Slot2-91_5824.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5825.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5826.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5827.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_150nlmin_15cm_4-27-2024_Slot2-91_5828.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5829.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5830.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5831.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5832.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_200nlmin_15cm_4-27-2024_Slot2-91_5833.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5865.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5866.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5867.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5868.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_200nlmin_15cm_4-28-2024_Slot2-91_5869.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5870.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5871.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5872.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5873.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_250nlmin_15cm_4-28-2024_Slot2-91_5874.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5875.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_087_DIA_20min_II_300nlmin_15cm_4-28-2024_Slot2-91_5876.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1043.23	851.032	1336.65				713.25	678.066	732.74	968.827		973.389	837.33		909.734			1659.66					795.762	426.233	1126.81	753.826	412.568	613.013	730.353	797.63												
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6							3203.48			535.22	983.865		664.915		393.9				961.635			618.286				762.515	532.912	745.843	622.607	682.141												
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2				730.248	1105.09		1080.22	924.152	1015.57				886.498	1195.41	790.424		360.758		545.486				1534.98	637.727		504.062	477.909		555.323													
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5																1089.35									961.443																	
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1																	1193.51					678.697		442.644		908.394		335.166	451.487	293.032												
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1567.1		1442.07		1419.83	856.511	2281.36	1426.39	916.098	1866.67	1410.36	1386.32	1373.26	1405.32	1848.28	1187	1455.52	1651.45	1430.4	1758.78		4885.59	2243.37	1638.2	1955.78	1400.93	1398.65	2022.47	1401.51	1551.58												
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1											3207.87					2526.71	2157.48	1707.77	3800.09	1613.75		2164.6		2534.71	3012.39	2390.53	2181.61	3016.96	2623.33	3167.77												
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1						288.205						1255.98	855.404										1173.97			416.23																
A6NIH7	A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B																509.044	363.089																									
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3	A8MWX3;Q9NQA3;A8K0Z3;Q6VEQ5;C4AMC7	WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN;WASH4_HUMAN;WASH6_HUMAN	WASH2P;WASH3P;WASH4P;WASH6P;WASHC1	WASH complex subunit 1																				355.309									249.638													
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	4556.31	4171.76	4228.11	4885.74	3309.35	5574.99	4778.13	5202.91	3303.72	4467.84	6437.08	5393.7	5229.38	3599.24	4656.33	4749.79	4099.88	5343.57	5005.28	3939.13		4751.12	5453.35	6413.35	6107.46	3728.52	6002.02	4196.11	4923.29	4106.42												
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	1633.92	2350.13	2412.63	1776.17	2004.87	2358.51	1963.96	1562.25	1723.11	2133.72	1919.01	2142.22	2338.74	2669.81	2168	2529.24	2999.27	2394.15	2884.57	3086.56		2817.67	2831.17	2509.07	2945.83	2567.38	2640.5	2594.43	3314.23	2542.85												
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		41299.3	33555.6	40310.4	34145.7	38718.5	30756	30136.8	32791.3	34173.5	32286.3	32060.4	33152.4	30684.7	33299.8	34748.8	27794.7	31918	30660.3	34153.1	30323.9		38254.9	33517.8	28207.2	33857.1	33174	31955.9	41273.5	38050.1	35525.4												
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		1111.02			1116.7	724.849																	248.941					403.801		745.088	784.319												
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein																		467.01	675.2	635.467			598.534	525.746	321.095		762.16		392.832	793.967	458.233												
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin			789.603		1066.39		1186.73			794.864								1898.62	2513.5				1342.29		1712.49		1401.95	1091.69	2246.84	556.051	1354.86												
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	3055.71	3917.01	3260.11	2690.3	2890.84	3767.53	3933.52	4093.71	3808.95	4315.23	4953.97	3892.55	3639.63	4642.25	4137.97	3959.21	2877.74	3601.81	3374.07	4423.45		4518.24	3158.88	3002.6	3959.52	3849.85	3943.36	3644.97	2947.52	3193.87												
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98																519.86	723.019			506.062			1388.48	396.405	932.872	693.236	831.537	377.191	629.155	624.242												
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein					2006.41		1826.71		725.202			1265.15															805.964		1761.35													
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1965.68	1294.45	1483.39	854.822	1593.61	1270.2	1140.47	2086.87	1488.22	1292.57		1287.54	1848.02	1453.78	1946.33	2306.64	1998.75	1846.53	1741.78			815.802			2802.15		1810.92	1381.73	1216.79	1863.37												
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal		1056.47	1323.85	1150.73		1043.26	807.72	1199.44		1357.14	1301.57	838.19	849.922	812.816	319.591			505.375	926.807	660.547				1831.5	976.642	910.995	647.327	980.483	851.345	749.791												
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	674.11	858.48	739.521	948.719				887.426	560.192		862.24	860.262		639.738	559.898		580.837		1011.43			1001.62		856.933																		
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A																	726.366	991.648	661.119	979.854		1153.29	954.172	1643.61	1678.14	858.583	853.906	1004.34	906.301	824.618												
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1460.3		781.992	645.32	2429.86			1127.16	1083.7	1021.76	1371.15	1579.17	1301.53		842.914	1790.04			1753.05			1121.91	531.47	3446.02	1613.49	1432.38	1500.82	1336.62	1329.3	1320.56												
