Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5628.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5629.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5630.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5631.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_100nlminA_25cm_4-20-2024_Slot2-91_5632.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5633.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5634.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5635.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5636.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_150nlminA_25cm_4-21-2024_Slot2-91_5637.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5639.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5640.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5641.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5642.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminA_25cm_4-21-2024_Slot2-91_5643.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5659.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5660.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5661.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5662.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminB_25cm_4-21-2024_Slot2-91_5663.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-21-2024_Slot2-91_5664.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5665.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5666.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5667.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_200nlminC_25cm_4-22-2024_Slot2-91_5668.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5644.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5645.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5646.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5647.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_250nlminA_25cm_4-21-2024_Slot2-91_5648.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5649.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5650.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5651.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5652.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250ng_058_DIA_300nlminB_25cm_4-21-2024_Slot2-91_5653.d
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial						3826.26					1656.21	1304.92	1263.35	1257.32	2031.19	2053.51			2856.92	884.699	1259.13	1873.49	1657.63	2228.77	1747.71		1002.79		1689.59	1132.69	1185.98	1401.8	1586.98	1638.4	2250.26
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6										307.993	980.98	808.272	702.48	532.817	550.594	1074.04	1268.33	1119.89	1136.57	1072.57	1276.32	936.132	1360.61	800.516	536.318	1181.34	951.438	821.756	1316.8	1347.42	644.157	1671.9	741.133	945.17	674.296
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2						1328.72				1738	586.324	769.929	659.347		907.666	378.965	964.333	1286.47	543.204	940.499	820.959	518.545	950.14	950.329	608.768	470.226	1136.25	1081.99	593.636	799.357	1037.36	1058.51	1234.25	1858.2	589.902
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1														567.539				569.794	914.922	688.558	197.201		741.886	679.442	383.906	738.302	722.99	341.536		367.523	230.756		607.036	542.711	881.239
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2						354.707	556.441	247.459					194.68	335.563					488.044					326.566	297.057										
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B						880.722		248.387		860.318		1227.55		720.643	1221.99	829.494	1195.9	827.175	652.804	1061.11	1052.56	877.141		811.143	810.642			1909.82	654.688	2191.73		1243.2	650.497		1001.09
A4FU69	A4FU69	EFCB5_HUMAN	EFCAB5	EF-hand calcium-binding domain-containing protein 5						3050.45		1303.08	2090.27	2798.69									1173.18									1600.19							
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1											812.508	450.441	808.806			549.894	710.867	579.027	483.155	754.657	330.884	630.42	541.767	754.39	693.22	817.174	1499.23	733.792	682.82		798.433	604.247	620.57	907.893	762.673
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2						1800.89		2490.53	1575.55	1694.66	1453.18	2527.59	2896.55	2660.27	2484.25	1449.68	1762.35	1576.12	1052.59	2557.58	2732.41	1756.71	1867.45		1771.89	1873.89		2057.17	1600.47	2203.94		1300.86	2614.87	1489.13	1414.42
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase						1586.2	2843.79	3677.04	2037.01	1577.07	2284.12	1615.53	1799.46	2538.48	3048.35	1927.89	1818.42	1932.46	2941.21	1799.43	2652.63	2545.11	2283.81	3037.66	3008.09	2655.28	2639.37	2602.63	2370.22	2718.64	2209.29	2321.98	2811.06	2478.56	1605
A6NHG4;P30046	A6NHG4;P30046	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	D-dopachrome decarboxylase-like protein						11247.6	10941.7	11050.7	7211.33	8944.04	11379.3	9759.49	10123	10318.4	11134.2	12263.1	9746.92	9747.83	9518.53	8953.54	10156.4	10263.8	10581.7	10349.1	8932.74	8591.84	8430.78	9802.13	8378.23	9994.44	9065.66	8996.42	8650.85	5207.55	7904.6
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1								1206.2			2359.76	2992.75	3654.07	3121.6	3269.1	3942.18	3650.93	3930.8	1995.36	3771.61	3779.37	1922.6	3524.59	3682.27	3446.73	4104.3	5004.69	4298.82	4135.29	3985.45	4563.25	2996.53	3701.74	2830.12	4573.8
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1										936.005	599.678		1136.34	766.787	852.183	797.915							960.537	1259.78	859.988	798.107	1247.05		519.623					689.496	1294.64
A6NHS7	A6NHS7	MANS4_HUMAN	MANSC4	MANSC domain-containing protein 4									743.088		367.82					914.971			629.807				477.087		1074.19			1197.65	1067.84			1102.94			
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B															187.182	238.387					256.015				259.776										321.636
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1															936.426	1217.38													883.207						
A6ZKI3;Q9BWD3	Q9BWD3;Q17RB0;A6ZKI3	RTL8A_HUMAN;RTL8C_HUMAN	RTL8A;RTL8C	Retrotransposon Gag-like protein 8C						617.583				995.462			710.964			448.426						546.458						695.087	749.372			629.995	1029.3		
A8MQ03	A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1											1141.83					1058.52																			
