Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-07_4449.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-07_4462.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-07_4475.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-08_4450.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-08_4463.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c2_bulk_DIA_30ng_15min_3-19-2024_Slot2-08_4476.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_10ng_15min_3-18-2024_Slot2-09_4451.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_20ng_15min_3-19-2024_Slot2-09_4464.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_c3_bulk_DIA_30ng_15min_3-19-2024_Slot2-09_4477.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_10ng_15min_3-18-2024_Slot2-10_4452.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_20ng_15min_3-19-2024_Slot2-10_4465.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v1_bulk_DIA_30ng_15min_3-19-2024_Slot2-10_4478.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4453.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4466.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v2_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4479.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_10ng_15min_3-18-2024_Slot2-11_4454.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_20ng_15min_3-19-2024_Slot2-11_4467.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_f_astro_v3_bulk_DIA_30ng_15min_3-19-2024_Slot2-11_4480.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_10ng_15min_3-18-2024_Slot2-01_4443.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_20ng_15min_3-19-2024_Slot2-01_4456.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c1_bulk_DIA_30ng_15min_3-19-2024_Slot2-01_4469.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_10ng_15min_3-18-2024_Slot2-02_4444.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_20ng_15min_3-19-2024_Slot2-02_4457.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c2_bulk_DIA_30ng_15min_3-19-2024_Slot2-02_4470.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_10ng_15min_3-18-2024_Slot2-03_4445.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_20ng_15min_3-19-2024_Slot2-03_4458.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_c3_bulk_DIA_30ng_15min_3-19-2024_Slot2-03_4471.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_10ng_15min_3-18-2024_Slot2-04_4446.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_20ng_15min_3-19-2024_Slot2-04_4459.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v1_bulk_DIA_30ng_15min_3-19-2024_Slot2-04_4472.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_10ng_15min_3-18-2024_Slot2-05_4447.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_20ng_15min_3-19-2024_Slot2-05_4460.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v2_bulk_DIA_30ng_15min_3-19-2024_Slot2-05_4473.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_10ng_15min_3-18-2024_Slot2-06_4448.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_20ng_15min_3-19-2024_Slot2-06_4461.d	D:\LucyC\20240320_pri_astro_w229E_bulk_SCP_DIA\Lucy_pri_m_astro_v3_bulk_DIA_30ng_15min_3-19-2024_Slot2-06_4474.d
A0A024RBG1	A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	5044.33	4710.1	4949.33	5320.35	4862	5271.2	6184.69	5613.75	4310.27	14773	10085.5	11085.9	10957	12607	12597.2	11104	10404.2	11815.1	2935.52	3092.17	3007.28	2195.57	2526.46	2000.73	2738.92	3094.52	2685.91	6727.69	6236.47	5674.07	8175.44	7240.61	7495.91	9208.08	11043	11089.7
A0A096LP01	A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	2415.54	2430.33	3012.55	1671.09	2022.49	2530.92	3099.4	2650.62	2510.58			2484.63		2385.39				2735.97	4352.91	3846.64	3861.66	1536.81	3839.31	4606.17	3608.44	3723.95	5348.05		3064.48	2957.78		3384.85	3048.39			3121.88
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"		1802.36		4743.43	1827.3	2865.57		3489.84	1301.65	35686.1	35266.5	31565.4	30427.6	26086.1	26879.8	31008.3	31026.7	29236.4		2918.05	2917.38				3550.97		13167.5	30297.6	25897.4	27420.1	26498.3	26177.5	19594	30016.4	29552.4	24424.5
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1											3531.76	4440.27			2873.84	2408.17	2451.32											4835.93	5186.52	6581.08	8020.37	8059.73	7845.3	4388.84	7119.56	8068.85
A0A0U1RR11;A0A0U1RRI6;P0DPI3	A0A0U1RR11;P0DPI3;A0A0U1RRI6	CENL1_HUMAN;CENL2_HUMAN;CENL3_HUMAN	CENPVL1;CENPVL2;CENPVL3	Centromere protein V-like protein 1	32501.5	29770.7	30993.3	35254.4	29916.1	30524.7	29827.4	28633.4	28676.1	40167.1	31148.5	34924.7	41218.5	32279.8	35573.1		26931.4	34041.4	23850.7	22499.8	21640.8	19158.2	18225.4	19488.5	19816.4	16388.7	17975.3	49753.6	51295.5	53212.2	48302.7	46688.9		35431.1	27529.4	
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47																													399.321	469.074	269.004					
A0AVF1	A0AVF1	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56	5183.39	5646.32	6448.46	4098.23	5678.97	5893.31	5516.73	5365.18	6026.46	5246.68	4585.31	5031.29	4412.89	5090.99	4743.09	3834.16	3781.4	5250.98	4303.1	4521.71	5294.95	5437.87	5182.28	5392.25	5302.14	5573.32	5008.84	4214.46	4354.76	4265.85		4375.75	5259.71		2771.92	3453.41
A0AVI4	A0AVI4	TM129_HUMAN	TMEM129	E3 ubiquitin-protein ligase TM129	1896.59	1852.66	2416.67	2756.41	2422.26	2853.67		1914.87	2044.84		2202.75	2415.09								1922.92	2192.4	1810.58	1759.8	1464.82		1695.37	2145.34	1813.62	2342.57	1567.86		1597.07	1909.88		3075.42	2231.35
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	68079	69165	64441.8	66574.7	69818.4	66247.9	71420.3	72627.8	65576.9	60007.9	60098.9	61565.8	43590.9	51119.6	51547.6	50233.8	52205.3	50726.6	59276.2	61272.6	52394.2	61989.8	59759.2	53547	66232.5	62155.3	54005.9	56140.9	58408.3	50534.7	52320.2	52530.8	49388.3	43817.4	48148.9	50287.7
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	35484.7	33217.7	34629.7	33463.2	33375.4	34061.1	29279.6	32656.7	31294.9	25952.8	30291.4	28240.2	24189	23990.8	25005.1	24119.8	23598.9	26335.3	31563.6	33493.8	32723.3	32999.9	33022.6	33851.7	31884.8	31749.7	31236.7	27942.1	30394.8	28271	28917.6	28771.7	28940.9	22106.1	24490.1	26952
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	1970.59	1998.5	2480.53	2423.83	1652.13	2876.62	2033.42	2703.33	2461.42	2775.55	1845.24	2560.88		1620.27		1675.81			1767.79	2358.22	2887.38	2228.44	2321.13	2542.34	2256.71	2272.72	2795.95	2319.55	3137.14	3299.96	2389.74	1947.11	2378.12		1828.65	3009.33
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	6632.27	8034.44	7620.57	7063.08	7581.8	8164.92	7599.88	7878.86	8647.86	13761.9	13106.8	15791.2	15311.3	15717.2	15826.8	13278	15674.2	15864.9	7267.87	7725.3	6842.49	7369.71	6846.53	7577.79	7774.29	7398.9	7256.72	25266.7	28889.8	29949.9	25698.5	28687.4	29627	31515.2	35292.9	38812.1
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3892.7	4799.32	4413.92	5185.93	4819.63	4395.68	3804.05	4721.68	3951.14	5872.57	5039.59	4999.95	3258.47		5643.33		4199.18	5079.44	4658.75	4627.14	3795.4	4333.05	4950.47	4330.84	5210.85	4122.7	3985.35	4186.52	5302.47	4721.02	6437.12	5177.9	6772.43	6217.4	5391.27	6503.75
A0PK00	A0PK00	T120B_HUMAN	TMEM120B	Transmembrane protein 120B	4316.02	5016	4829.98	5104.88	4399.24	3799.53	5657.9	4612.3	4192.2			4176.77			4243.2				3079.06	2726.55	3786.53	4276.55	4434.59	2969.16	3040.9	3144.06	3579.55		2718.7	2495.54		3258.13	3597.56			
A0ZSE6	A0ZSE6	CC50C_HUMAN	TMEM30CP	Cell cycle control protein 50C										5841.17	7830.77								6549.28						6572.64	5253.95		7710.66				7464.3		10356.3		
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10	6479.68	6177.98	5905.65	5955.96	6150.04	5950.78	6552.79	5628.19	6015.88	4366.38	3402.09	4107.42	2854.15	6002.69	5435.97		3577.95	3269.34	7327.56	7402.61	6910.44	7144.32	7978.59	6327	8361.94	7701.79	7501.11	4328.44	5815.67	4982.66	4359.16	5000.95	4830.29	5436.74	4885.8	5954.59
