Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	LFQ.intensity.control_231_1	LFQ.intensity.control_231_2	LFQ.intensity.control_231_3	LFQ.intensity.control_468_1	LFQ.intensity.control_468_2	LFQ.intensity.control_468_3	LFQ.intensity.control_468_42hr_1	LFQ.intensity.control_468_42hr_2	LFQ.intensity.control_468_42hr_3	LFQ.intensity.drug_231_1	LFQ.intensity.drug_231_2	LFQ.intensity.drug_231_3	LFQ.intensity.drug_468_1	LFQ.intensity.drug_468_2	LFQ.intensity.drug_468_3	LFQ.intensity.drug_468_42hr_1	LFQ.intensity.drug_468_42hr_2	LFQ.intensity.drug_468_42hr_3	LFQ.intensity.high_231_2	LFQ.intensity.high_231_3	LFQ.intensity.high_drug_231_2	LFQ.intensity.high_drug_231_3	LFQ.intensity.high_231_1	LFQ.intensity.low_468_1	LFQ.intensity.low_468_2	LFQ.intensity.low_468_3	LFQ.intensity.low_468_42hr_1	LFQ.intensity.low_468_42hr_2	LFQ.intensity.low_468_42hr_3	LFQ.intensity.high_drug_231_1	LFQ.intensity.low_drug_468_42hr_3	LFQ.intensity.low_drug_468_1	LFQ.intensity.low_drug_468_2	LFQ.intensity.low_drug_468_3	LFQ.intensity.low_drug_468_42hr_1	LFQ.intensity.low_drug_468_42hr_2	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	"Keratin, type I cytoskeletal 15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
contam_sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN		246	Bos taurus	1:Experimental evidence at protein level	Cationic trypsin	4.16E+10	4.30E+10	2.74E+10	2.62E+10	2.60E+10	4.26E+10	2.19E+10	4.26E+10	2.48E+10	4.10E+10	3.70E+10	4.23E+10	2.24E+10	2.40E+10	2.56E+10	3.11E+10	2.75E+10	3.16E+10	3.98E+10	3.82E+10	2.92E+10	2.93E+10	3.91E+10	4.81E+10	4.10E+10	5.96E+10	3.63E+10	3.51E+10	3.29E+10	5.72E+10	2.10E+10	2.52E+10	3.70E+10	2.42E+10	2.70E+10	3.42E+10	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	9.93E+07	5.89E+07	0	0	0	0	0	1.38E+08	0	0	0	2.61E+07	0	5.99E+07	4.42E+07	6.02E+07	1.06E+08	5.29E+07	6.42E+07	6.27E+07	0	6.30E+07	5.50E+07	0	1.12E+08	0	1.82E+08	1.67E+08	1.48E+08	7.47E+07	0	7.16E+07	7.31E+07	0	1.26E+08	1.19E+08	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.23E+09	1.35E+09	1.01E+09	5.40E+08	4.14E+08	5.74E+08	2.74E+08	5.01E+08	2.61E+08	1.09E+09	1.10E+09	1.01E+09	2.87E+08	2.70E+08	2.62E+08	3.06E+08	4.10E+08	3.05E+08	7.34E+08	6.71E+08	1.16E+09	1.56E+09	7.73E+08	1.01E+09	9.52E+08	6.91E+08	5.13E+08	5.28E+08	4.29E+08	1.52E+09	2.76E+08	7.61E+08	8.55E+08	7.28E+08	3.58E+08	5.70E+08	
contam_sp|P25691|K2M3_SHEEP	P25691	K2M3_SHEEP		502	Ovis aries	1:Experimental evidence at protein level	"Keratin, type II microfibrillar, component 5"	6.19E+08	6.33E+08	4.89E+08	1.62E+09	0	0	0	2.55E+08	0	7.29E+08	7.86E+08	1.11E+09	0	3.12E+08	0	9.50E+08	4.00E+08	3.00E+08	6.19E+08	5.50E+08	5.60E+08	6.19E+08	5.50E+08	0	0	0	0	0	0	7.58E+08	1.16E+08	0	0	0	0	5.02E+08	
sp|A0A096LP01|SIM26_HUMAN	A0A096LP01	SIM26_HUMAN	SMIM26	95	Homo sapiens OX=9606	3:Protein inferred from homology	Small integral membrane protein 26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	PAL4C_HUMAN	PPIAL4C	164	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Peptidyl-prolyl cis-trans isomerase A-like 4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp|P0DN37|PAL4G_HUMAN
sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	Homo sapiens OX=9606	5:Protein uncertain	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	8.85E+07	8.19E+07	8.03E+07	5.08E+08	5.27E+08	6.76E+08	6.76E+08	1.01E+09	6.71E+08	7.94E+07	8.15E+07	7.27E+07	7.48E+08	7.79E+08	6.76E+08	9.07E+08	1.03E+09	9.32E+08	9.21E+07	0	6.31E+07	5.14E+07	8.99E+07	5.42E+08	5.66E+08	3.41E+08	8.68E+08	9.01E+08	6.76E+08	1.19E+08	5.19E+08	5.52E+08	6.83E+08	5.52E+08	7.33E+08	9.72E+08	sp|P0DPI2|GAL3A_HUMAN
sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	54	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein PIGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A0U1RRE5|NBDY_HUMAN	A0A0U1RRE5	NBDY_HUMAN	NBDY	68	Homo sapiens OX=9606	1:Experimental evidence at protein level	Negative regulator of P-body association	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
sp|A0A0U1RRL7|MMPOS_HUMAN	A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	71	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein MMP24	0	8.18E+07	7.49E+07	0	0	0	0	0	0	8.88E+07	6.93E+07	7.22E+07	0	0	0	0	0	0	1.36E+08	1.05E+08	0	0	1.45E+08	0	0	0	0	0	0	8.43E+07	0	0	0	0	0	0	
sp|A0A2R8Y619|H2BK1_HUMAN	A0A2R8Y619	H2BK1_HUMAN	H2BK1	122	Homo sapiens OX=9606	3:Protein inferred from homology	Histone H2B type 2-K1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
